id,name,date,incomplete,total,percentage
03001,l'Atzúbia,2021-01-31,3,277,0.99
03002,Agost,2021-01-31,11,784,0.99
03003,Agres,2021-01-31,1,307,1.00
03004,Aigües,2021-01-31,12,159,0.92
03005,Albatera,2021-01-31,70,789,0.91
03006,Alcalalí,2021-01-31,19,501,0.96
03007,Alcocer de Planes,2021-01-31,0,63,1.00
03008,Alcoleja,2021-01-31,2,80,0.98
03009,Alcoi / Alcoy,2021-01-31,138,2644,0.95
03010,Alfafara,2021-01-31,3,191,0.98
03011,l'Alfàs del Pi,2021-01-31,197,1334,0.85
03012,Algorfa,2021-01-31,6,589,0.99
03013,Algueña,2021-01-31,5,214,0.98
03014,Alacant / Alicante,2021-01-31,465,14642,0.97
03015,Almoradí,2021-01-31,68,1576,0.96
03016,Almudaina,2021-01-31,4,77,0.95
03017,l'Alqueria d'Asnar,2021-01-31,11,46,0.76
03018,Altea,2021-01-31,328,1690,0.81
03019,Aspe,2021-01-31,47,1239,0.96
03020,Balones,2021-01-31,5,81,0.94
03021,Banyeres de Mariola,2021-01-31,84,759,0.89
03022,Benasau,2021-01-31,0,124,1.00
03023,Beneixama,2021-01-31,0,272,1.00
03024,Benejúzar,2021-01-31,7,402,0.98
03025,Benferri,2021-01-31,9,271,0.97
03026,Beniarbeig,2021-01-31,23,370,0.94
03027,Beniardá,2021-01-31,4,172,0.98
03028,Beniarrés,2021-01-31,23,323,0.93
03029,Benigembla,2021-01-31,6,278,0.98
03030,Benidoleig,2021-01-31,32,360,0.91
03031,Benidorm,2021-01-31,284,3552,0.92
03032,Benifallim,2021-01-31,2,69,0.97
03033,Benifato,2021-01-31,1,174,0.99
03034,Benijófar,2021-01-31,24,349,0.93
03035,Benilloba,2021-01-31,0,142,1.00
03036,Benillup,2021-01-31,0,26,1.00
03037,Benimantell,2021-01-31,1,332,1.00
03038,Benimarfull,2021-01-31,10,90,0.89
03039,Benimassot,2021-01-31,11,102,0.89
03040,Benimeli,2021-01-31,6,148,0.96
03041,Benissa,2021-01-31,285,2295,0.88
03042,el Poble Nou de Benitatxell / Benitachell,2021-01-31,219,659,0.67
03043,Biar,2021-01-31,2,708,1.00
03044,Bigastro,2021-01-31,27,364,0.93
03045,Bolulla,2021-01-31,1,184,0.99
03046,Busot,2021-01-31,40,361,0.89
03047,Calp,2021-01-31,400,2967,0.87
03048,Callosa d'en Sarrià,2021-01-31,44,732,0.94
03049,Callosa de Segura,2021-01-31,94,920,0.90
03050,el Campello,2021-01-31,135,1446,0.91
03051,el Camp de Mirra / Campo de Mirra,2021-01-31,1,132,0.99
03052,Cañada,2021-01-31,1,221,1.00
03053,Castalla,2021-01-31,49,1591,0.97
03054,Castell de Castells,2021-01-31,3,401,0.99
03055,Catral,2021-01-31,49,702,0.93
03056,Cocentaina,2021-01-31,61,1457,0.96
03057,Confrides,2021-01-31,5,266,0.98
