id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
04001,Abla,2021-02-03,26,149,0.83,10597.65,875.14,0.92
04002,Abrucena,2021-02-03,7,96,0.93,8028.24,307.15,0.96
04003,Adra,2021-02-03,35,648,0.95,82878.30,3364.35,0.96
04004,Albánchez,2021-02-03,2,73,0.97,7939.12,43.60,0.99
04005,Alboloduy,2021-02-03,7,74,0.91,5662.09,346.76,0.94
04006,Albox,2021-02-03,69,275,0.75,42104.43,12964.76,0.69
04007,Alcolea,2021-02-03,16,75,0.79,5706.51,643.08,0.89
04008,Alcóntar,2021-02-03,17,52,0.67,6798.55,2337.09,0.66
04009,Alcudia de Monteagud,2021-02-03,3,33,0.91,1936.18,107.23,0.94
04010,Alhabia,2021-02-03,64,113,0.43,6793.75,2909.30,0.57
04011,Alhama de Almería,2021-02-03,13,116,0.89,15412.77,1382.61,0.91
04012,Alicún,2021-02-03,1,21,0.95,1631.34,68.72,0.96
04013,Almería,2021-02-03,282,3109,0.91,397388.65,21087.91,0.95
04014,Almócita,2021-02-03,2,36,0.94,2580.21,169.20,0.93
04015,Alsodux,2021-02-03,2,14,0.86,1565.90,572.55,0.63
04016,Antas,2021-02-03,26,175,0.85,23797.51,3407.75,0.86
04017,Arboleas,2021-02-03,30,430,0.93,66911.70,2396.05,0.96
04018,Armuña de Almanzora,2021-02-03,3,35,0.91,4355.15,913.65,0.79
04019,Bacares,2021-02-03,1,47,0.98,3607.53,14.88,1.00
04020,Bayárcal,2021-02-03,19,66,0.71,3193.21,732.75,0.77
04021,Bayarque,2021-02-03,1,39,0.97,3321.16,65.46,0.98
04022,Bédar,2021-02-03,24,111,0.78,13012.42,4367.20,0.66
04023,Beires,2021-02-03,3,43,0.93,2012.91,91.72,0.95
04024,Benahadux,2021-02-03,26,143,0.82,16822.36,1740.66,0.90
04026,Benitagla,2021-02-03,0,34,1.00,1680.78,0.00,1.00
04027,Benizalón,2021-02-03,3,42,0.93,2474.74,151.48,0.94
04028,Bentarique,2021-02-03,3,32,0.91,1983.18,237.05,0.88
04029,Berja,2021-02-03,96,256,0.63,31624.87,9523.92,0.70
04030,Canjáyar,2021-02-03,2,87,0.98,6512.16,90.33,0.99
04031,Cantoria,2021-02-03,66,132,0.50,31297.36,11606.75,0.63
04032,Carboneras,2021-02-03,128,320,0.60,44988.75,13885.48,0.69
04033,Castro de Filabres,2021-02-03,13,57,0.77,2660.79,318.24,0.88
04034,Cóbdar,2021-02-03,0,22,1.00,2214.52,0.00,1.00
04035,Cuevas del Almanzora,2021-02-03,258,626,0.59,75944.22,25881.13,0.66
04036,Chercos,2021-02-03,0,14,1.00,2010.68,0.00,1.00
04037,Chirivel,2021-02-03,16,177,0.91,23539.36,1372.26,0.94
04038,Dalías,2021-02-03,32,179,0.82,14517.33,1242.55,0.91
04041,Enix,2021-02-03,9,62,0.85,5713.13,779.41,0.86
04043,Felix,2021-02-03,5,98,0.95,4889.63,211.11,0.96
04044,Fines,2021-02-03,18,112,0.84,25042.43,1724.99,0.93
