id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
05001,Adanero,2021-02-13,1,53,0.98,6643.38,61.66,0.99
05002,La Adrada,2021-02-13,127,192,0.34,37951.63,27140.77,0.28
05005,Albornos,2021-02-13,0,27,1.00,3351.84,0.00,1.00
05007,Aldeanueva de Santa Cruz,2021-02-13,0,24,1.00,1978.00,0.00,1.00
05008,Aldeaseca,2021-02-13,0,23,1.00,3254.17,0.00,1.00
05010,La Aldehuela,2021-02-13,0,28,1.00,3113.59,0.00,1.00
05012,Amavida,2021-02-13,9,42,0.79,2991.02,496.76,0.83
05013,El Arenal,2021-02-13,0,115,1.00,9397.42,0.00,1.00
05014,Arenas de San Pedro,2021-02-13,15,411,0.96,47852.71,2374.59,0.95
05015,Arevalillo,2021-02-13,6,34,0.82,2427.12,464.98,0.81
05016,Arévalo,2021-02-13,8,285,0.97,39442.50,704.75,0.98
05017,Aveinte,2021-02-13,6,33,0.82,3419.70,162.49,0.95
05018,Avellaneda,2021-02-13,2,21,0.90,1369.38,141.23,0.90
05019,Ávila,2021-02-13,104,1583,0.93,228377.53,8899.94,0.96
05021,El Barco de Ávila,2021-02-13,5,169,0.97,21363.93,295.28,0.99
05022,El Barraco,2021-02-13,192,352,0.45,34386.17,12458.28,0.64
05023,Barromán,2021-02-13,0,29,1.00,3905.70,0.00,1.00
05024,Becedas,2021-02-13,0,70,1.00,6848.30,0.00,1.00
05025,Becedillas,2021-02-13,12,37,0.68,3749.62,1098.92,0.71
05026,Bercial de Zapardiel,2021-02-13,0,28,1.00,3250.17,0.00,1.00
05027,Las Berlanas,2021-02-13,0,50,1.00,7224.28,0.00,1.00
05029,Bernuy-Zapardiel,2021-02-13,3,21,0.86,3130.86,326.69,0.90
05030,Berrocalejo de Aragona,2021-02-13,8,30,0.73,2594.06,289.83,0.89
05033,Blascomillán,2021-02-13,0,35,1.00,4347.35,0.00,1.00
05034,Blasconuño de Matacabras,2021-02-13,0,10,1.00,844.06,0.00,1.00
05035,Blascosancho,2021-02-13,5,52,0.90,5277.46,374.83,0.93
05036,El Bohodón,2021-02-13,5,37,0.86,3930.89,405.81,0.90
05037,Bohoyo,2021-02-13,0,64,1.00,6684.70,0.00,1.00
05038,Bonilla de la Sierra,2021-02-13,0,41,1.00,5631.81,0.00,1.00
05039,Brabos,2021-02-13,2,40,0.95,3395.82,127.80,0.96
05040,Bularros,2021-02-13,0,38,1.00,4228.07,0.00,1.00
05041,Burgohondo,2021-02-13,73,93,0.22,13819.37,10293.76,0.26
05042,Cabezas de Alambre,2021-02-13,0,24,1.00,3411.19,0.00,1.00
05043,Cabezas del Pozo,2021-02-13,0,20,1.00,2544.79,0.00,1.00
05044,Cabezas del Villar,2021-02-13,17,76,0.78,10148.98,996.62,0.90
05045,Cabizuela,2021-02-13,4,18,0.78,2474.65,426.69,0.83
05046,Canales,2021-02-13,6,14,0.57,1626.95,507.21,0.69
05047,Candeleda,2021-02-13,18,266,0.93,28019.50,1222.29,0.96
05048,Cantiveros,2021-02-13,8,29,0.72,3367.43,957.23,0.72
05049,Cardeñosa,2021-02-13,0,46,1.00,6760.54,0.00,1.00
05051,La Carrera,2021-02-13,17,36,0.53,3357.03,1259.54,0.62
05052,Casas del Puerto,2021-02-13,4,30,0.87,2815.83,382.19,0.86
05053,Casasola,2021-02-13,21,39,0.46,3372.36,1900.39,0.44
05054,Casavieja,2021-02-13,20,108,0.81,13892.91,1342.45,0.90
05055,Casillas,2021-02-13,23,50,0.54,6610.42,1619.10,0.76
05056,Castellanos de Zapardiel,2021-02-13,2,19,0.89,2621.81,217.11,0.92
05057,Cebreros,2021-02-13,56,233,0.76,30499.95,4560.25,0.85
05058,Cepeda la Mora,2021-02-13,0,38,1.00,3900.88,0.00,1.00
05059,Cillán,2021-02-13,0,24,1.00,2846.57,0.00,1.00
05060,Cisla,2021-02-13,5,32,0.84,3478.97,639.02,0.82
05061,La Colilla,2021-02-13,4,61,0.93,8219.69,849.09,0.90
05062,Collado de Contreras,2021-02-13,0,27,1.00,4319.31,0.00,1.00
05063,Collado del Mirón,2021-02-13,0,15,1.00,1091.37,0.00,1.00
05064,Constanzana,2021-02-13,5,23,0.78,2166.56,301.87,0.86
05065,Crespos,2021-02-13,0,79,1.00,10559.97,0.00,1.00
05066,Cuevas del Valle,2021-02-13,12,50,0.76,5406.16,905.21,0.83
05067,Chamartín,2021-02-13,0,23,1.00,2265.96,0.00,1.00
05069,Donjimeno,2021-02-13,0,15,1.00,2997.28,0.00,1.00
05070,Donvidas,2021-02-13,0,9,1.00,1137.87,0.00,1.00
05072,Espinosa de los Caballeros,2021-02-13,0,19,1.00,2214.87,0.00,1.00
05073,Flores de Ávila,2021-02-13,4,63,0.94,7128.31,436.88,0.94
05074,Fontiveros,2021-02-13,25,65,0.62,9135.26,1937.37,0.79
05075,Fresnedilla,2021-02-13,14,14,0.00,2129.51,2129.51,0.00
05076,El Fresno,2021-02-13,11,53,0.79,6113.75,1595.14,0.74
05077,Fuente el Sauz,2021-02-13,3,26,0.88,3712.87,375.12,0.90
05078,Fuentes de Año,2021-02-13,0,25,1.00,3721.30,0.00,1.00
05079,Gallegos de Altamiros,2021-02-13,5,52,0.90,5297.46,317.57,0.94
05080,Gallegos de Sobrinos,2021-02-13,22,22,0.00,4093.96,4093.96,0.00
05081,Garganta del Villar,2021-02-13,10,26,0.62,2894.51,1076.61,0.63
05082,Gavilanes,2021-02-13,70,72,0.03,7401.77,7078.20,0.04
05083,Gemuño,2021-02-13,0,44,1.00,4131.90,0.00,1.00
05084,Gilbuena,2021-02-13,0,17,1.00,2181.99,0.00,1.00
05085,Gil García,2021-02-13,3,15,0.80,1088.20,132.83,0.88
05086,Gimialcón,2021-02-13,1,24,0.96,2704.04,69.85,0.97
05087,Gotarrendura,2021-02-13,0,62,1.00,4271.55,0.00,1.00
05088,Grandes y San Martín,2021-02-13,1,29,0.97,3199.56,49.37,0.98
05089,Guisando,2021-02-13,4,59,0.93,5218.65,199.66,0.96
05090,Gutierre-Muñoz,2021-02-13,0,22,1.00,2057.68,0.00,1.00
05092,Hernansancho,2021-02-13,14,40,0.65,3975.50,1272.44,0.68
05093,Herradón de Pinares,2021-02-13,102,194,0.47,26496.77,11220.16,0.58
05094,Herreros de Suso,2021-02-13,1,46,0.98,5800.15,92.15,0.98
