id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
02001,Abengibre,2021-02-13,11,79,0.86,9092.71,311.04,0.97
02002,Alatoz,2021-02-13,12,59,0.80,7476.44,444.78,0.94
02003,Albacete,2021-02-13,416,2099,0.80,345945.34,53620.77,0.85
02004,Albatana,2021-02-13,28,72,0.61,9449.28,2725.63,0.71
02005,Alborea,2021-02-13,23,79,0.71,10096.96,1964.10,0.81
02006,Alcadozo,2021-02-13,48,107,0.55,12663.74,3596.43,0.72
02007,Alcalá del Júcar,2021-02-13,76,159,0.52,19674.29,7706.74,0.61
02008,Alcaraz,2021-02-13,77,210,0.63,20594.51,5577.82,0.73
02009,Almansa,2021-02-13,95,450,0.79,82125.43,12148.67,0.85
02010,Alpera,2021-02-13,27,88,0.69,16621.14,3682.35,0.78
02011,Ayna,2021-02-13,100,214,0.53,13800.61,6911.84,0.50
02012,Balazote,2021-02-13,61,156,0.61,21019.78,7892.49,0.62
02013,Balsa de Ves,2021-02-13,18,91,0.80,9485.66,1434.99,0.85
02014,El Ballestero,2021-02-13,9,53,0.83,7391.70,1006.72,0.86
02015,Barrax,2021-02-13,19,151,0.87,24713.87,1113.32,0.95
02016,Bienservida,2021-02-13,21,101,0.79,8431.53,1040.90,0.88
02017,Bogarra,2021-02-13,135,255,0.47,14229.18,6498.85,0.54
02018,Bonete,2021-02-13,27,66,0.59,8418.55,2523.47,0.70
02019,El Bonillo,2021-02-13,36,119,0.70,25999.72,8705.12,0.67
02020,Carcelén,2021-02-13,7,56,0.88,4357.50,560.23,0.87
02021,Casas de Juan Núñez,2021-02-13,11,75,0.85,13745.55,1670.64,0.88
02022,Casas de Lázaro,2021-02-13,68,110,0.38,9916.53,5061.26,0.49
02023,Casas de Ves,2021-02-13,7,75,0.91,12387.02,692.81,0.94
02024,Casas-Ibáñez,2021-02-13,27,180,0.85,24739.32,2220.27,0.91
02025,Caudete,2021-02-13,72,303,0.76,49859.98,11511.52,0.77
02026,Cenizate,2021-02-13,14,87,0.84,12576.86,1060.79,0.92
02027,Corral-Rubio,2021-02-13,11,45,0.76,4406.56,724.35,0.84
02028,Cotillas,2021-02-13,11,71,0.85,3453.39,302.65,0.91
02029,Chinchilla de Monte-Aragón,2021-02-13,148,431,0.66,58646.88,24086.43,0.59
02030,Elche de la Sierra,2021-02-13,175,488,0.64,45005.01,10350.93,0.77
02031,Férez,2021-02-13,31,88,0.65,7715.10,2123.86,0.72
02032,Fuensanta,2021-02-13,29,80,0.64,7168.21,1466.31,0.80
02033,Fuente-Álamo,2021-02-13,23,170,0.86,24620.89,1942.23,0.92
02034,Fuentealbilla,2021-02-13,26,145,0.82,18135.57,2596.95,0.86
02035,La Gineta,2021-02-13,46,174,0.74,24246.90,4282.48,0.82
02036,Golosalvo,2021-02-13,3,26,0.88,2470.63,105.39,0.96
02037,Hellín,2021-02-13,281,971,0.71,120909.50,27570.87,0.77
02038,La Herrera,2021-02-13,17,43,0.60,5867.36,1416.61,0.76
02039,Higueruela,2021-02-13,15,113,0.87,13195.99,1487.65,0.89
02040,Hoya-Gonzalo,2021-02-13,6,68,0.91,6810.94,183.96,0.97
