id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08001,Abrera,2021-02-03,22,352,0.94,63601.26,1523.88,0.98
08002,Aguilar de Segarra,2021-02-03,0,5,1.00,570.85,0.00,1.00
08003,Alella,2021-02-03,9,298,0.97,55827.47,424.96,0.99
08004,Alpens,2021-02-03,17,47,0.64,3992.48,864.57,0.78
08005,l'Ametlla del Vallès,2021-02-03,45,275,0.84,70939.45,5741.52,0.92
08006,Arenys de Mar,2021-02-03,9,263,0.97,39587.06,406.82,0.99
08007,Arenys de Munt,2021-02-03,25,183,0.86,36290.19,4015.57,0.89
08008,Argençola,2021-02-03,4,35,0.89,3341.69,181.93,0.95
08009,Argentona,2021-02-03,42,289,0.85,56376.86,4834.25,0.91
08010,Artés,2021-02-03,5,162,0.97,24799.86,311.46,0.99
08011,Avià,2021-02-03,3,61,0.95,9188.69,284.65,0.97
08012,Avinyó,2021-02-03,4,96,0.96,13318.17,231.08,0.98
08013,Avinyonet del Penedès,2021-02-03,0,114,1.00,15214.41,0.00,1.00
08014,Aiguafreda,2021-02-03,12,98,0.88,14634.22,381.41,0.97
08015,Badalona,2021-02-03,3,1792,1.00,232006.29,153.74,1.00
08016,Bagà,2021-02-03,16,100,0.84,8993.45,570.29,0.94
08017,Balenyà,2021-02-03,15,132,0.89,16924.75,609.28,0.96
08018,Balsareny,2021-02-03,4,94,0.96,11357.92,205.01,0.98
08019,Barcelona,2021-02-03,75,7431,0.99,921873.48,4903.83,0.99
08020,Begues,2021-02-03,5,311,0.98,53777.94,308.13,0.99
08021,Bellprat,2021-02-03,0,15,1.00,1075.61,0.00,1.00
08022,Berga,2021-02-03,23,341,0.93,43698.10,656.96,0.98
08023,Bigues i Riells,2021-02-03,37,317,0.88,90242.06,3080.89,0.97
08024,Borredà,2021-02-03,0,39,1.00,3964.13,0.00,1.00
08025,el Bruc,2021-02-03,0,106,1.00,21324.32,0.00,1.00
08026,el Brull,2021-02-03,1,5,0.80,1106.03,41.56,0.96
08027,les Cabanyes,2021-02-03,1,40,0.98,6017.12,16.55,1.00
08028,Cabrera d'Anoia,2021-02-03,1,117,0.99,32148.87,39.60,1.00
08029,Cabrera de Mar,2021-02-03,7,177,0.96,28396.28,418.12,0.99
08030,Cabrils,2021-02-03,6,261,0.98,49501.19,84.50,1.00
08031,Calaf,2021-02-03,12,130,0.91,17749.27,611.68,0.97
08032,Caldes d'Estrac,2021-02-03,7,75,0.91,11949.44,542.77,0.95
08033,Caldes de Montbui,2021-02-03,49,384,0.87,74768.29,3180.24,0.96
08034,Calders,2021-02-03,3,59,0.95,13331.16,77.91,0.99
08035,Calella,2021-02-03,6,175,0.97,34920.97,1266.25,0.96
08036,Calonge de Segarra,2021-02-03,3,20,0.85,1786.90,216.73,0.88
08037,Calldetenes,2021-02-03,4,114,0.96,11274.04,121.72,0.99
08038,Callús,2021-02-03,4,61,0.93,9714.30,310.44,0.97
08039,Campins,2021-02-03,0,23,1.00,5514.09,0.00,1.00
08040,Canet de Mar,2021-02-03,3,298,0.99,37528.50,375.57,0.99
08041,Canovelles,2021-02-03,20,159,0.87,34544.01,1498.08,0.96
08042,Cànoves i Samalús,2021-02-03,24,110,0.78,21677.50,1571.08,0.93
08043,Canyelles,2021-02-03,4,245,0.98,56601.65,229.88,1.00
08044,Capellades,2021-02-03,0,97,1.00,15507.82,0.00,1.00
08045,Capolat,2021-02-03,0,1,1.00,140.86,0.00,1.00
08046,Cardedeu,2021-02-03,62,393,0.84,64593.30,3694.87,0.94
08047,Cardona,2021-02-03,8,121,0.93,18239.05,311.73,0.98
08048,Carme,2021-02-03,0,31,1.00,4217.89,0.00,1.00
08049,Casserres,2021-02-03,9,82,0.89,8242.24,414.71,0.95
08050,Castellar del Riu,2021-02-03,0,4,1.00,1981.98,0.00,1.00
08051,Castellar del Vallès,2021-02-03,30,565,0.95,105480.76,1189.45,0.99
08052,Castellar de n'Hug,2021-02-03,7,33,0.79,2534.99,144.74,0.94
08053,Castellbell i el Vilar,2021-02-03,3,151,0.98,29566.26,51.84,1.00
08054,Castellbisbal,2021-02-03,12,385,0.97,73756.14,481.77,0.99
08055,Castellcir,2021-02-03,1,51,0.98,11111.32,57.43,0.99
08056,Castelldefels,2021-02-03,58,839,0.93,141869.31,3396.12,0.98
08057,Castell de l'Areny,2021-02-03,1,5,0.80,808.53,73.20,0.91
08058,Castellet i la Gornal,2021-02-03,9,194,0.95,29746.73,394.28,0.99
