id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
18001,ES-GR,ES-AN,Agrón,2021-02-13,0,45,1.00,0.00,3952.77,1.00
18002,ES-GR,ES-AN,Alamedilla,2021-02-13,0,83,1.00,0.00,7021.00,1.00
18003,ES-GR,ES-AN,Albolote,2021-02-13,18,649,0.97,1027.98,88465.72,0.99
18004,ES-GR,ES-AN,Albondón,2021-02-13,0,138,1.00,0.00,9287.06,1.00
18005,ES-GR,ES-AN,Albuñán,2021-02-13,0,76,1.00,0.00,9409.01,1.00
18006,ES-GR,ES-AN,Albuñol,2021-02-13,2,371,0.99,91.83,27680.41,1.00
18007,ES-GR,ES-AN,Albuñuelas,2021-02-13,0,128,1.00,0.00,8113.68,1.00
18010,ES-GR,ES-AN,Aldeire,2021-02-13,1,122,0.99,34.36,10595.22,1.00
18011,ES-GR,ES-AN,Alfacar,2021-02-13,1,310,1.00,12.70,35721.74,1.00
18012,ES-GR,ES-AN,Algarinejo,2021-02-13,0,166,1.00,0.00,16611.80,1.00
18013,ES-GR,ES-AN,Alhama de Granada,2021-02-13,0,334,1.00,0.00,34104.15,1.00
18014,ES-GR,ES-AN,Alhendín,2021-02-13,3,448,0.99,207.74,63876.55,1.00
18015,ES-GR,ES-AN,Alicún de Ortega,2021-02-13,0,42,1.00,0.00,4882.98,1.00
18016,ES-GR,ES-AN,Almegíjar,2021-02-13,1,76,0.99,12.95,3442.24,1.00
18017,ES-GR,ES-AN,Almuñécar,2021-02-13,0,845,1.00,0.00,122356.64,1.00
18018,ES-GR,ES-AN,Alquife,2021-02-13,0,135,1.00,0.00,12025.50,1.00
18020,ES-GR,ES-AN,Arenas del Rey,2021-02-13,0,60,1.00,0.00,6068.44,1.00
18021,ES-GR,ES-AN,Armilla,2021-02-13,14,504,0.97,478.13,54164.15,0.99
18022,ES-GR,ES-AN,Atarfe,2021-02-13,1,814,1.00,73.76,90231.05,1.00
18023,ES-GR,ES-AN,Baza,2021-02-13,7,907,0.99,218.27,108273.39,1.00
18024,ES-GR,ES-AN,Beas de Granada,2021-02-13,0,87,1.00,0.00,9279.46,1.00
