id,ES-M,ES-MD,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28001,ES-M,ES-MD,La Acebeda,2021-02-13,5,12,0.58,163.73,834.70,0.80
28002,ES-M,ES-MD,Ajalvir,2021-02-13,4,126,0.97,242.94,16277.10,0.99
28003,ES-M,ES-MD,Alameda del Valle,2021-02-13,8,42,0.81,698.63,5461.88,0.87
28004,ES-M,ES-MD,El Álamo,2021-02-13,53,278,0.81,3959.73,54184.90,0.93
28005,ES-M,ES-MD,Alcalá de Henares,2021-02-13,379,2422,0.84,29619.43,312872.68,0.91
28006,ES-M,ES-MD,Alcobendas,2021-02-13,509,1614,0.68,33285.31,197004.45,0.83
28007,ES-M,ES-MD,Alcorcón,2021-02-13,118,1169,0.90,6809.06,181198.71,0.96
28008,ES-M,ES-MD,Aldea del Fresno,2021-02-13,35,152,0.77,9932.66,31287.60,0.68
28009,ES-M,ES-MD,Algete,2021-02-13,90,304,0.70,10235.07,69981.21,0.85
28010,ES-M,ES-MD,Alpedrete,2021-02-13,45,406,0.89,3084.03,70357.58,0.96
28011,ES-M,ES-MD,Ambite,2021-02-13,1,80,0.99,239.99,18421.80,0.99
28012,ES-M,ES-MD,Anchuelo,2021-02-13,3,69,0.96,122.05,8782.98,0.99
28013,ES-M,ES-MD,Aranjuez,2021-02-13,97,782,0.88,5315.13,142618.38,0.96
28014,ES-M,ES-MD,Arganda del Rey,2021-02-13,190,995,0.81,18513.26,151247.22,0.88
28015,ES-M,ES-MD,Arroyomolinos,2021-02-13,25,313,0.92,1836.88,71454.60,0.97
28016,ES-M,ES-MD,El Atazar,2021-02-13,5,37,0.86,123.06,2187.92,0.94
28017,ES-M,ES-MD,Batres,2021-02-13,4,87,0.95,928.91,17610.22,0.95
28018,ES-M,ES-MD,Becerril de la Sierra,2021-02-13,25,373,0.93,1428.26,52639.08,0.97
28019,ES-M,ES-MD,Belmonte de Tajo,2021-02-13,2,101,0.98,90.76,10970.26,0.99
28020,ES-M,ES-MD,Berzosa del Lozoya,2021-02-13,13,48,0.73,554.81,4856.20,0.89
28021,ES-M,ES-MD,El Berrueco,2021-02-13,9,58,0.84,917.46,7472.67,0.88
28022,ES-M,ES-MD,Boadilla del Monte,2021-02-13,135,1021,0.87,17694.44,238007.38,0.93
28023,ES-M,ES-MD,El Boalo,2021-02-13,24,411,0.94,1755.28,58095.65,0.97
28024,ES-M,ES-MD,Braojos,2021-02-13,1,45,0.98,24.81,4038.46,0.99
28025,ES-M,ES-MD,Brea de Tajo,2021-02-13,8,56,0.86,1043.44,6510.41,0.84
28026,ES-M,ES-MD,Brunete,2021-02-13,21,232,0.91,3923.98,34975.10,0.89
28027,ES-M,ES-MD,Buitrago del Lozoya,2021-02-13,16,126,0.87,452.10,13045.85,0.97
28028,ES-M,ES-MD,Bustarviejo,2021-02-13,39,196,0.80,3437.47,25309.71,0.86
28029,ES-M,ES-MD,Cabanillas de la Sierra,2021-02-13,6,55,0.89,438.77,10797.68,0.96
28030,ES-M,ES-MD,La Cabrera,2021-02-13,38,222,0.83,2303.88,24248.95,0.90
28031,ES-M,ES-MD,Cadalso de los Vidrios,2021-02-13,1,160,0.99,20.52,29801.97,1.00
28032,ES-M,ES-MD,Camarma de Esteruelas,2021-02-13,24,198,0.88,3097.53,40477.20,0.92
28033,ES-M,ES-MD,Campo Real,2021-02-13,29,163,0.82,2939.05,22794.26,0.87
28034,ES-M,ES-MD,Canencia,2021-02-13,11,60,0.82,275.92,6820.78,0.96
28035,ES-M,ES-MD,Carabaña,2021-02-13,13,113,0.88,888.13,13403.70,0.93
28036,ES-M,ES-MD,Casarrubuelos,2021-02-13,46,153,0.70,3557.79,17507.10,0.80
28037,ES-M,ES-MD,Cenicientos,2021-02-13,9,189,0.95,537.10,18994.75,0.97
28038,ES-M,ES-MD,Cercedilla,2021-02-13,58,363,0.84,4243.59,48114.32,0.91
28039,ES-M,ES-MD,Cervera de Buitrago,2021-02-13,5,25,0.80,263.08,2220.07,0.88
28040,ES-M,ES-MD,Ciempozuelos,2021-02-13,13,296,0.96,2660.33,50243.18,0.95
28041,ES-M,ES-MD,Cobeña,2021-02-13,30,196,0.85,1722.86,26467.13,0.93
28042,ES-M,ES-MD,Colmenar del Arroyo,2021-02-13,39,120,0.68,1827.47,15700.86,0.88
28043,ES-M,ES-MD,Colmenar de Oreja,2021-02-13,84,382,0.78,10887.18,83047.15,0.87
28044,ES-M,ES-MD,Colmenarejo,2021-02-13,1,337,1.00,9.91,49093.36,1.00
28045,ES-M,ES-MD,Colmenar Viejo,2021-02-13,174,939,0.81,17831.47,164484.29,0.89
28046,ES-M,ES-MD,Collado Mediano,2021-02-13,15,268,0.94,1326.71,46505.13,0.97
28047,ES-M,ES-MD,Collado Villalba,2021-02-13,17,1034,0.98,431.67,121903.62,1.00
28048,ES-M,ES-MD,Corpa,2021-02-13,5,38,0.87,607.39,5777.46,0.89
28049,ES-M,ES-MD,Coslada,2021-02-13,38,606,0.94,1787.21,85635.11,0.98
28050,ES-M,ES-MD,Cubas de la Sagra,2021-02-13,6,131,0.95,667.42,24772.39,0.97
28051,ES-M,ES-MD,Chapinería,2021-02-13,32,133,0.76,4525.96,24380.24,0.81
28052,ES-M,ES-MD,Chinchón,2021-02-13,39,202,0.81,11232.28,38840.71,0.71
28053,ES-M,ES-MD,Daganzo de Arriba,2021-02-13,29,200,0.86,2456.92,37348.44,0.93
28054,ES-M,ES-MD,El Escorial,2021-02-13,46,431,0.89,5614.29,90375.31,0.94
28055,ES-M,ES-MD,Estremera,2021-02-13,8,123,0.93,3512.49,16349.81,0.79
28056,ES-M,ES-MD,Fresnedillas de la Oliva,2021-02-13,11,106,0.90,272.50,11467.69,0.98
28057,ES-M,ES-MD,Fresno de Torote,2021-02-13,14,97,0.86,1196.27,26312.82,0.95
28058,ES-M,ES-MD,Fuenlabrada,2021-02-13,66,763,0.91,7969.90,114020.18,0.93
28059,ES-M,ES-MD,Fuente el Saz de Jarama,2021-02-13,26,145,0.82,1617.03,24805.95,0.93
28060,ES-M,ES-MD,Fuentidueña de Tajo,2021-02-13,5,139,0.96,748.91,21275.72,0.96
28061,ES-M,ES-MD,Galapagar,2021-02-13,10,1085,0.99,381.40,166528.18,1.00
28062,ES-M,ES-MD,Garganta de los Montes,2021-02-13,39,92,0.58,3628.73,9812.94,0.63
28063,ES-M,ES-MD,Gargantilla del Lozoya y Pinilla de Buitrago,2021-02-13,30,83,0.64,3925.71,11837.44,0.67
28064,ES-M,ES-MD,Gascones,2021-02-13,10,27,0.63,702.72,2671.27,0.74
28065,ES-M,ES-MD,Getafe,2021-02-13,428,2002,0.79,36021.63,291998.81,0.88
28066,ES-M,ES-MD,Griñón,2021-02-13,11,339,0.97,812.08,56455.85,0.99
