id,ES-MU,ES-MC,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
30001,ES-MU,ES-MC,Abanilla,2021-02-13,137,371,0.63,22266.49,52273.96,0.57
30002,ES-MU,ES-MC,Abarán,2021-02-13,70,247,0.72,8627.40,32376.47,0.73
30003,ES-MU,ES-MC,Águilas,2021-02-13,414,950,0.56,60768.36,149193.80,0.59
30004,ES-MU,ES-MC,Albudeite,2021-02-13,19,94,0.80,1016.72,9941.79,0.90
30005,ES-MU,ES-MC,Alcantarilla,2021-02-13,112,512,0.78,14569.70,83332.06,0.83
30006,ES-MU,ES-MC,Aledo,2021-02-13,26,76,0.66,2450.92,8010.56,0.69
30007,ES-MU,ES-MC,Alguazas,2021-02-13,60,172,0.65,8536.51,30052.23,0.72
30008,ES-MU,ES-MC,Alhama de Murcia,2021-02-13,171,748,0.77,17920.84,130649.77,0.86
30009,ES-MU,ES-MC,Archena,2021-02-13,123,483,0.75,9978.34,73878.33,0.86
30010,ES-MU,ES-MC,Beniel,2021-02-13,35,219,0.84,5325.14,29987.09,0.82
30011,ES-MU,ES-MC,Blanca,2021-02-13,25,160,0.84,1209.46,17376.23,0.93
30012,ES-MU,ES-MC,Bullas,2021-02-13,68,381,0.82,12714.62,71930.46,0.82
30013,ES-MU,ES-MC,Calasparra,2021-02-13,105,381,0.72,23226.92,67128.05,0.65
30014,ES-MU,ES-MC,Campos del Río,2021-02-13,11,101,0.89,564.09,14355.65,0.96
30015,ES-MU,ES-MC,Caravaca de la Cruz,2021-02-13,354,523,0.32,52808.98,81032.01,0.35
30016,ES-MU,ES-MC,Cartagena,2021-02-13,1523,6434,0.76,178301.89,809958.95,0.78
30017,ES-MU,ES-MC,Cehegín,2021-02-13,241,668,0.64,36991.18,91886.61,0.60
30018,ES-MU,ES-MC,Ceutí,2021-02-13,31,407,0.92,2295.75,63433.36,0.96
30019,ES-MU,ES-MC,Cieza,2021-02-13,53,395,0.87,7364.82,66255.19,0.89
30020,ES-MU,ES-MC,Fortuna,2021-02-13,128,362,0.65,32418.04,73128.47,0.56
30021,ES-MU,ES-MC,Fuente Álamo de Murcia,2021-02-13,518,879,0.41,105399.15,158153.24,0.33
30022,ES-MU,ES-MC,Jumilla,2021-02-13,142,378,0.62,20123.59,66713.89,0.70
30023,ES-MU,ES-MC,Librilla,2021-02-13,58,221,0.74,7729.80,26749.28,0.71
30024,ES-MU,ES-MC,Lorca,2021-02-13,830,2128,0.61,75201.20,229013.48,0.67
30025,ES-MU,ES-MC,Lorquí,2021-02-13,99,375,0.74,15911.65,70764.79,0.78
30026,ES-MU,ES-MC,Mazarrón,2021-02-13,643,1526,0.58,68623.71,237269.83,0.71
30027,ES-MU,ES-MC,Molina de Segura,2021-02-13,599,1601,0.63,121339.62,373157.48,0.67
30028,ES-MU,ES-MC,Moratalla,2021-02-13,255,461,0.45,25225.09,46366.13,0.46
30029,ES-MU,ES-MC,Mula,2021-02-13,104,480,0.78,12237.63,64157.20,0.81
30030,ES-MU,ES-MC,Murcia,2021-02-13,3894,9546,0.59,623746.11,1554101.68,0.60
30031,ES-MU,ES-MC,Ojós,2021-02-13,5,32,0.84,228.20,2877.68,0.92
30032,ES-MU,ES-MC,Pliego,2021-02-13,24,219,0.89,1500.38,21609.84,0.93
30033,ES-MU,ES-MC,Puerto Lumbreras,2021-02-13,74,407,0.82,6746.10,59383.05,0.89
30034,ES-MU,ES-MC,Ricote,2021-02-13,13,98,0.87,625.14,8764.29,0.93
30035,ES-MU,ES-MC,San Javier,2021-02-13,288,1131,0.75,34047.66,199427.11,0.83
30036,ES-MU,ES-MC,San Pedro del Pinatar,2021-02-13,119,774,0.85,20881.53,146125.17,0.86
30037,ES-MU,ES-MC,Torre Pacheco,2021-02-13,320,2030,0.84,32640.96,289212.97,0.89
30038,ES-MU,ES-MC,Las Torres de Cotillas,2021-02-13,148,576,0.74,25540.30,128748.58,0.80
30039,ES-MU,ES-MC,Totana,2021-02-13,215,611,0.65,27741.03,96870.61,0.71
30040,ES-MU,ES-MC,Ulea,2021-02-13,14,64,0.78,475.94,5129.00,0.91
30041,ES-MU,ES-MC,La Unión,2021-02-13,183,685,0.73,18559.88,78105.30,0.76
30042,ES-MU,ES-MC,Villanueva del Río Segura,2021-02-13,30,117,0.74,2287.35,14194.56,0.84
30043,ES-MU,ES-MC,Yecla,2021-02-13,259,482,0.46,52381.32,107776.20,0.51
30901,ES-MU,ES-MC,Santomera,2021-02-13,78,406,0.81,22093.78,64619.59,0.66
30902,ES-MU,ES-MC,Los Alcázares,2021-02-13,13,732,0.98,1074.78,147778.24,0.99
