id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
01001,Alegría-Dulantzi,2021-02-13,5,114,0.96,325.49,13553.29,0.98
01002,Amurrio,2021-02-13,5,224,0.98,76.68,38408.48,1.00
01003,Aramaio,2021-02-13,3,52,0.94,77.60,5546.10,0.99
01004,Artziniega,2021-02-13,72,73,0.01,7352.94,7576.70,0.03
01006,Armiñón,2021-02-13,0,35,1.00,0.00,4058.98,1.00
01008,Arratzua-Ubarrundia,2021-02-13,0,93,1.00,0.00,14357.10,1.00
01009,Asparrena,2021-02-13,3,159,0.98,285.73,19994.90,0.99
01010,Ayala/Aiara,2021-02-13,58,217,0.73,3462.80,34620.13,0.90
01011,Baños de Ebro/Mañueta,2021-02-13,0,32,1.00,0.00,4350.97,1.00
01013,Barrundia,2021-02-13,0,148,1.00,0.00,22402.52,1.00
01014,Berantevilla,2021-02-13,0,89,1.00,0.00,10635.07,1.00
01016,Bernedo,2021-02-13,0,141,1.00,0.00,13075.79,1.00
01017,Campezo/Kanpezu,2021-02-13,0,149,1.00,0.00,13158.89,1.00
01018,Zigoitia,2021-02-13,1,211,1.00,124.55,32429.13,1.00
01019,Kripan,2021-02-13,0,25,1.00,0.00,2424.04,1.00
01020,Kuartango,2021-02-13,3,76,0.96,84.81,14014.45,0.99
01021,Elburgo/Burgelu,2021-02-13,2,61,0.97,90.15,8772.77,0.99
01022,Elciego,2021-02-13,3,79,0.96,585.93,8127.49,0.93
01023,Elvillar/Bilar,2021-02-13,0,37,1.00,0.00,4685.21,1.00
01027,Iruraiz-Gauna,2021-02-13,0,69,1.00,0.00,9680.55,1.00
01028,Labastida/Bastida,2021-02-13,3,135,0.98,210.74,16495.99,0.99
01030,Lagrán,2021-02-13,0,66,1.00,0.00,5203.63,1.00
01031,Laguardia,2021-02-13,0,117,1.00,0.00,15664.45,1.00
01032,Lanciego/Lantziego,2021-02-13,0,53,1.00,0.00,5359.95,1.00
01033,Lapuebla de Labarca,2021-02-13,4,48,0.92,231.47,6834.02,0.97
01034,Leza,2021-02-13,0,30,1.00,0.00,3596.90,1.00
01036,Laudio/Llodio,2021-02-13,41,260,0.84,1590.53,37811.13,0.96
01037,Arraia-Maeztu,2021-02-13,2,164,0.99,57.66,16706.98,1.00
01039,Moreda de Álava,2021-02-13,0,28,1.00,0.00,2915.29,1.00
01041,Navaridas,2021-02-13,0,29,1.00,0.00,2641.27,1.00
01043,Oyón/Oion,2021-02-13,5,101,0.95,532.37,15961.18,0.97
01044,Peñacerrada-Urizaharra,2021-02-13,2,81,0.98,147.95,7767.29,0.98
01046,Erriberagoitia/Ribera Alta,2021-02-13,0,164,1.00,0.00,18773.82,1.00
01047,Ribera Baja/Erribera Beitia,2021-02-13,0,117,1.00,0.00,19968.26,1.00
01049,Añana,2021-02-13,0,37,1.00,0.00,3508.24,1.00
01051,Agurain/Salvatierra,2021-02-13,0,118,1.00,0.00,18597.19,1.00
01052,Samaniego,2021-02-13,1,24,0.96,57.15,5235.75,0.99
01053,San Millán/Donemiliaga,2021-02-13,3,199,0.98,134.74,23015.24,0.99
01054,Urkabustaiz,2021-02-13,7,139,0.95,497.30,29223.47,0.98
01055,Valdegovía/Gaubea,2021-02-13,1,260,1.00,85.33,30688.34,1.00
01056,Valle de Arana/Harana,2021-02-13,0,65,1.00,0.00,6089.89,1.00
01057,Villabuena de Álava/Eskuernaga,2021-02-13,0,15,1.00,0.00,3601.12,1.00
01058,Legutio,2021-02-13,5,117,0.96,267.78,18598.90,0.99
01059,Vitoria-Gasteiz,2021-02-13,120,2756,0.96,13329.10,398260.88,0.97
01060,Yécora/Iekora,2021-02-13,0,36,1.00,0.00,4460.07,1.00
01061,Zalduondo,2021-02-13,0,39,1.00,0.00,3871.65,1.00
01062,Zambrana,2021-02-13,0,95,1.00,0.00,7272.69,1.00
01063,Zuia,2021-02-13,12,206,0.94,863.46,35729.16,0.98
01409,Okondo,2021-02-13,1,18,0.94,24.62,2556.19,0.99
01901,Iruña Oka/Iruña de Oca,2021-02-13,0,304,1.00,0.00,35301.02,1.00
01902,Lantarón,2021-02-13,0,158,1.00,0.00,19766.88,1.00
20001,Abaltzisketa,2021-02-13,0,0,1,0.00,0.00,1
20002,Aduna,2021-02-13,14,18,0.22,1147.72,1397.66,0.18
20003,Aizarnazabal,2021-02-13,15,18,0.17,1715.24,2157.06,0.20
20004,Albiztur,2021-02-13,2,19,0.89,126.34,962.72,0.87
20005,Alegia,2021-02-13,9,40,0.78,1245.04,3532.08,0.65
20006,Alkiza,2021-02-13,0,23,1.00,0.00,1053.80,1.00
20007,Altzo,2021-02-13,1,2,0.50,288.25,454.36,0.37
20008,Amezketa,2021-02-13,5,24,0.79,595.08,1006.46,0.41
20009,Andoain,2021-02-13,63,167,0.62,5371.69,19075.91,0.72
20010,Anoeta,2021-02-13,23,35,0.34,1606.32,2779.64,0.42
20011,Antzuola,2021-02-13,43,65,0.34,2509.10,4346.63,0.42
20012,Arama,2021-02-13,0,20,1.00,0.00,853.21,1.00
20013,Aretxabaleta,2021-02-13,64,105,0.39,6617.96,12007.48,0.45
20014,Asteasu,2021-02-13,7,45,0.84,560.86,5241.49,0.89
