id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
41001,Aguadulce,2021-02-03,46,46,0.00,10117.96,10117.96,0.00
41002,Alanís,2021-02-03,32,57,0.44,7982.32,4773.23,0.40
41003,Albaida del Aljarafe,2021-02-03,12,87,0.86,10725.32,528.80,0.95
41004,Alcalá de Guadaíra,2021-02-03,795,1480,0.46,270963.59,137026.97,0.49
41005,Alcalá del Río,2021-02-03,194,261,0.26,42739.81,28173.93,0.34
41006,Alcolea del Río,2021-02-03,35,138,0.75,17359.25,3236.97,0.81
41007,La Algaba,2021-02-03,111,466,0.76,45573.13,4591.21,0.90
41008,Algámitas,2021-02-03,18,58,0.69,6677.33,1623.19,0.76
41009,Almadén de la Plata,2021-02-03,28,33,0.15,5954.15,5108.07,0.14
41010,Almensilla,2021-02-03,67,115,0.42,33468.57,17526.55,0.48
41011,Arahal,2021-02-03,102,437,0.77,79005.97,26322.73,0.67
41012,Aznalcázar,2021-02-03,31,167,0.81,26337.52,7712.72,0.71
41013,Aznalcóllar,2021-02-03,60,275,0.78,47176.99,9038.59,0.81
41014,Badolatosa,2021-02-03,21,104,0.80,14132.34,1142.46,0.92
41015,Benacazón,2021-02-03,87,116,0.25,22364.69,16589.82,0.26
41016,Bollullos de la Mitación,2021-02-03,43,336,0.87,66168.90,3608.92,0.95
41017,Bormujos,2021-02-03,129,430,0.70,67421.00,15952.74,0.76
41018,Brenes,2021-02-03,23,182,0.87,36858.07,3320.00,0.91
41019,Burguillos,2021-02-03,51,284,0.82,39971.21,3690.99,0.91
41020,Las Cabezas de San Juan,2021-02-03,335,530,0.37,75277.73,46560.83,0.38
41021,Camas,2021-02-03,260,547,0.52,72561.64,27553.66,0.62
41022,La Campana,2021-02-03,39,182,0.79,25474.22,5131.81,0.80
41023,Cantillana,2021-02-03,35,317,0.89,41421.74,2390.75,0.94
41024,Carmona,2021-02-03,272,734,0.63,164851.44,100752.27,0.39
41025,Carrión de los Céspedes,2021-02-03,23,87,0.74,13345.58,3465.96,0.74
41026,Casariche,2021-02-03,42,201,0.79,31812.56,5145.69,0.84
41027,Castilblanco de los Arroyos,2021-02-03,68,213,0.68,42186.15,22791.96,0.46
41028,Castilleja de Guzmán,2021-02-03,12,75,0.84,11094.54,512.29,0.95
41029,Castilleja de la Cuesta,2021-02-03,53,303,0.83,31797.33,3709.70,0.88
41030,Castilleja del Campo,2021-02-03,11,32,0.66,3392.42,797.33,0.76
41031,El Castillo de las Guardas,2021-02-03,69,108,0.36,20643.11,14508.69,0.30
41032,Cazalla de la Sierra,2021-02-03,55,206,0.73,25455.24,6645.09,0.74
41033,Constantina,2021-02-03,36,141,0.74,16104.19,3593.48,0.78
41034,Coria del Río,2021-02-03,94,425,0.78,91538.94,17820.68,0.81
41035,Coripe,2021-02-03,12,71,0.83,7829.57,764.88,0.90
41036,El Coronil,2021-02-03,39,170,0.77,25337.17,6797.56,0.73
41037,Los Corrales,2021-02-03,19,118,0.84,18362.51,1877.90,0.90
41038,Dos Hermanas,2021-02-03,702,2005,0.65,319096.52,80327.45,0.75
41039,Écija,2021-02-03,276,762,0.64,120252.46,44365.51,0.63
41040,Espartinas,2021-02-03,112,639,0.82,103971.38,8200.62,0.92
41041,Estepa,2021-02-03,87,204,0.57,40908.13,16410.96,0.60
41042,Fuentes de Andalucía,2021-02-03,41,246,0.83,37765.13,2025.87,0.95
41043,El Garrobo,2021-02-03,24,68,0.65,9492.20,3069.12,0.68
41044,Gelves,2021-02-03,104,230,0.55,42338.50,13816.44,0.67
41045,Gerena,2021-02-03,162,164,0.01,35936.13,35229.26,0.02
41046,Gilena,2021-02-03,27,107,0.75,17787.51,2128.96,0.88
41047,Gines,2021-02-03,57,398,0.86,46904.13,2361.11,0.95
41048,Guadalcanal,2021-02-03,22,79,0.72,12374.86,4118.85,0.67
41049,Guillena,2021-02-03,195,580,0.66,114951.03,40591.52,0.65
41050,Herrera,2021-02-03,29,207,0.86,31892.11,2221.93,0.93
41051,Huévar del Aljarafe,2021-02-03,70,81,0.14,22205.08,16268.45,0.27
41052,La Lantejuela,2021-02-03,22,139,0.84,22091.85,2469.40,0.89
41053,Lebrija,2021-02-03,106,733,0.86,111695.38,13773.72,0.88
41054,Lora de Estepa,2021-02-03,19,82,0.77,11165.79,1604.40,0.86
41055,Lora del Río,2021-02-03,202,316,0.36,58146.23,34197.48,0.41
41056,La Luisiana,2021-02-03,43,154,0.72,29381.34,7435.07,0.75
41057,El Madroño,2021-02-03,16,16,0.00,2558.07,2558.07,0.00
41058,Mairena del Alcor,2021-02-03,229,688,0.67,120787.26,45532.95,0.62
41059,Mairena del Aljarafe,2021-02-03,307,661,0.54,110269.92,38311.97,0.65
41060,Marchena,2021-02-03,143,452,0.68,59498.79,15656.06,0.74
41061,Marinaleda,2021-02-03,93,130,0.28,15514.39,10526.76,0.32
41062,Martín de la Jara,2021-02-03,27,101,0.73,13501.89,964.53,0.93
41063,Los Molares,2021-02-03,60,93,0.35,15361.39,10321.52,0.33
41064,Montellano,2021-02-03,130,151,0.14,33143.72,29799.92,0.10
41065,Morón de la Frontera,2021-02-03,102,676,0.85,72887.92,5252.13,0.93
41066,Las Navas de la Concepción,2021-02-03,29,29,0.00,6734.97,6734.97,0.00
41067,Olivares,2021-02-03,26,258,0.90,31551.57,1276.79,0.96
41068,Osuna,2021-02-03,155,317,0.51,60235.72,24819.41,0.59
41069,Los Palacios y Villafranca,2021-02-03,190,649,0.71,106909.15,29500.06,0.72
41070,Palomares del Río,2021-02-03,163,210,0.22,50072.27,37083.63,0.26
41071,Paradas,2021-02-03,106,139,0.24,30612.99,25966.19,0.15
41072,Pedrera,2021-02-03,24,118,0.80,24489.63,3816.32,0.84
41073,El Pedroso,2021-02-03,72,91,0.21,11860.78,9023.58,0.24
41074,Peñaflor,2021-02-03,51,123,0.59,21181.08,10220.90,0.52
41075,Pilas,2021-02-03,97,381,0.75,67164.07,12149.12,0.82
41076,Pruna,2021-02-03,14,101,0.86,13848.90,1487.66,0.89
41077,La Puebla de Cazalla,2021-02-03,21,229,0.91,31208.86,973.04,0.97
41078,La Puebla de los Infantes,2021-02-03,33,127,0.74,15785.70,2396.20,0.85
41079,La Puebla del Río,2021-02-03,179,200,0.11,41215.25,37126.90,0.10
41080,El Real de la Jara,2021-02-03,9,58,0.84,9543.83,1566.51,0.84
41081,La Rinconada,2021-02-03,272,618,0.56,138389.09,57828.40,0.58
41082,La Roda de Andalucía,2021-02-03,32,129,0.75,18905.99,3864.28,0.80
41083,El Ronquillo,2021-02-03,28,91,0.69,12025.20,2965.40,0.75
41084,El Rubio,2021-02-03,41,80,0.49,17362.34,6842.05,0.61
41085,Salteras,2021-02-03,80,320,0.75,43287.56,7800.30,0.82
41086,San Juan de Aznalfarache,2021-02-03,79,249,0.68,33851.44,9004.47,0.73
41087,Sanlúcar la Mayor,2021-02-03,40,310,0.87,56509.03,17523.43,0.69
41088,San Nicolás del Puerto,2021-02-03,23,37,0.38,4265.94,2519.35,0.41
41089,Santiponce,2021-02-03,24,153,0.84,27406.29,3406.02,0.88
41090,El Saucejo,2021-02-03,47,151,0.69,19091.35,2749.30,0.86
41091,Sevilla,2021-02-03,1519,6570,0.77,886293.34,159146.04,0.82
41092,Tocina,2021-02-03,18,250,0.93,36611.14,1301.65,0.96
41093,Tomares,2021-02-03,135,481,0.72,67142.53,10153.00,0.85
41094,Umbrete,2021-02-03,102,206,0.50,31098.79,12952.52,0.58
41095,Utrera,2021-02-03,542,1243,0.56,199309.31,94169.58,0.53
41096,Valencina de la Concepción,2021-02-03,49,294,0.83,45917.87,4321.69,0.91
41097,Villamanrique de la Condesa,2021-02-03,24,180,0.87,28068.82,2116.63,0.92
41098,Villanueva del Ariscal,2021-02-03,27,236,0.89,32139.86,1597.53,0.95
41099,Villanueva del Río y Minas,2021-02-03,125,325,0.62,37804.76,10950.41,0.71
41100,Villanueva de San Juan,2021-02-03,31,31,0.00,4625.11,4625.11,0.00
41101,Villaverde del Río,2021-02-03,40,181,0.78,34414.90,10274.27,0.70
41102,El Viso del Alcor,2021-02-03,61,528,0.88,74792.38,8496.05,0.89
41901,Cañada Rosal,2021-02-03,13,210,0.94,33638.12,1165.60,0.97
41902,Isla Mayor,2021-02-03,55,206,0.73,28370.81,6197.50,0.78
41903,El Cuervo de Sevilla,2021-02-03,35,235,0.85,40568.34,8245.76,0.80
