id,ES-TE,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
44001,ES-TE,ES-AR,Ababuj,2021-02-13,3,17,0.82,182.61,1798.15,0.90
44002,ES-TE,ES-AR,Abejuela,2021-02-13,6,19,0.68,436.21,1404.64,0.69
44003,ES-TE,ES-AR,Aguatón,2021-02-13,0,7,1.00,0.00,667.31,1.00
44004,ES-TE,ES-AR,Aguaviva / Aiguaviva de Bergantes,2021-02-13,0,75,1.00,0.00,7722.24,1.00
44005,ES-TE,ES-AR,Aguilar del Alfambra,2021-02-13,11,24,0.54,1367.56,3278.10,0.58
44006,ES-TE,ES-AR,Alacón,2021-02-13,7,32,0.78,706.87,3528.99,0.80
44007,ES-TE,ES-AR,Alba,2021-02-13,3,23,0.87,170.37,2515.04,0.93
44008,ES-TE,ES-AR,Albalate del Arzobispo,2021-02-13,43,89,0.52,3840.73,9462.26,0.59
44009,ES-TE,ES-AR,Albarracín,2021-02-13,10,137,0.93,894.05,11050.32,0.92
44010,ES-TE,ES-AR,Albentosa,2021-02-13,29,44,0.34,2263.16,3780.64,0.40
44011,ES-TE,ES-AR,Alcaine,2021-02-13,6,16,0.63,464.35,1400.07,0.67
44012,ES-TE,ES-AR,Alcalá de la Selva,2021-02-13,3,100,0.97,260.55,15285.29,0.98
44013,ES-TE,ES-AR,Alcañiz,2021-02-13,3,304,0.99,409.32,43115.07,0.99
44014,ES-TE,ES-AR,Alcorisa,2021-02-13,84,162,0.48,8455.35,17211.67,0.51
44016,ES-TE,ES-AR,Alfambra,2021-02-13,10,39,0.74,461.76,5752.50,0.92
44017,ES-TE,ES-AR,Aliaga,2021-02-13,15,79,0.81,1414.09,7113.22,0.80
44018,ES-TE,ES-AR,Almohaja,2021-02-13,3,10,0.70,383.15,1052.42,0.64
44019,ES-TE,ES-AR,Alobras,2021-02-13,2,12,0.83,15.17,1400.43,0.99
44020,ES-TE,ES-AR,Alpeñés,2021-02-13,1,4,0.75,45.76,714.74,0.94
44021,ES-TE,ES-AR,Allepuz,2021-02-13,16,26,0.38,647.21,2566.02,0.75
44022,ES-TE,ES-AR,Alloza,2021-02-13,34,79,0.57,4952.08,10649.02,0.53
44023,ES-TE,ES-AR,Allueva,2021-02-13,2,15,0.87,118.78,880.19,0.87
44024,ES-TE,ES-AR,Anadón,2021-02-13,1,5,0.80,44.61,689.31,0.94
44025,ES-TE,ES-AR,Andorra,2021-02-13,38,390,0.90,2604.89,42821.84,0.94
44026,ES-TE,ES-AR,Arcos de las Salinas,2021-02-13,16,38,0.58,1485.73,3502.27,0.58
