id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
03001,l'Atzúbia,2021-02-03,3,24,0.88,4992.88,916.05,0.82
03002,Agost,2021-02-03,11,112,0.90,18020.16,1253.13,0.93
03003,Agres,2021-02-03,1,20,0.95,1851.65,17.36,0.99
03004,Aigües,2021-02-03,12,61,0.80,10159.17,2088.92,0.79
03005,Albatera,2021-02-03,70,241,0.71,52704.75,17367.54,0.67
03006,Alcalalí,2021-02-03,19,106,0.82,14451.31,1732.06,0.88
03007,Alcocer de Planes,2021-02-03,0,12,1.00,1171.10,0.00,1.00
03008,Alcoleja,2021-02-03,2,12,0.83,1139.81,96.41,0.92
03009,Alcoi / Alcoy,2021-02-03,138,789,0.83,121387.39,16723.23,0.86
03010,Alfafara,2021-02-03,3,12,0.75,2242.11,138.74,0.94
03011,l'Alfàs del Pi,2021-02-03,197,687,0.71,119267.01,31599.26,0.74
03012,Algorfa,2021-02-03,6,230,0.97,44826.30,1136.69,0.97
03013,Algueña,2021-02-03,5,145,0.97,17120.40,476.74,0.97
03014,Alacant / Alicante,2021-02-03,465,3633,0.87,564440.21,55374.95,0.90
03015,Almoradí,2021-02-03,68,381,0.82,70355.05,8867.29,0.87
03016,Almudaina,2021-02-03,4,18,0.78,1294.81,88.59,0.93
03017,l'Alqueria d'Asnar,2021-02-03,11,32,0.66,3320.19,644.09,0.81
03018,Altea,2021-02-03,328,668,0.51,160053.25,80352.52,0.50
03019,Aspe,2021-02-03,47,429,0.89,81619.05,5288.80,0.94
03020,Balones,2021-02-03,5,25,0.80,1537.12,288.13,0.81
03021,Banyeres de Mariola,2021-02-03,84,251,0.67,37174.14,11736.27,0.68
03022,Benasau,2021-02-03,0,11,1.00,2002.84,0.00,1.00
03023,Beneixama,2021-02-03,0,54,1.00,13718.36,0.00,1.00
03024,Benejúzar,2021-02-03,7,160,0.96,28027.71,662.94,0.98
03025,Benferri,2021-02-03,9,142,0.94,20356.76,1125.09,0.94
03026,Beniarbeig,2021-02-03,23,104,0.78,13038.62,1840.54,0.86
03027,Beniardá,2021-02-03,4,13,0.69,632.27,184.49,0.71
03028,Beniarrés,2021-02-03,23,38,0.39,3149.79,1778.22,0.44
03029,Benigembla,2021-02-03,6,30,0.80,3271.15,354.87,0.89
03030,Benidoleig,2021-02-03,32,59,0.46,11508.86,6013.10,0.48
03031,Benidorm,2021-02-03,284,915,0.69,149617.13,36731.76,0.75
03032,Benifallim,2021-02-03,2,20,0.90,1499.03,414.71,0.72
03033,Benifato,2021-02-03,1,4,0.75,178.31,7.17,0.96
03034,Benijófar,2021-02-03,24,175,0.86,31888.88,4209.40,0.87
03035,Benilloba,2021-02-03,0,43,1.00,4376.48,0.00,1.00
03036,Benillup,2021-02-03,0,6,1.00,665.75,0.00,1.00
03037,Benimantell,2021-02-03,1,4,0.75,399.78,60.65,0.85
03038,Benimarfull,2021-02-03,10,33,0.70,3598.23,493.60,0.86
03039,Benimassot,2021-02-03,11,13,0.15,903.11,610.44,0.32
03040,Benimeli,2021-02-03,6,19,0.68,1432.25,344.96,0.76
03041,Benissa,2021-02-03,285,552,0.48,129727.49,69784.08,0.46
03042,el Poble Nou de Benitatxell / Benitachell,2021-02-03,219,297,0.26,72058.56,51284.11,0.29
03043,Biar,2021-02-03,2,161,0.99,20224.88,84.22,1.00
03044,Bigastro,2021-02-03,27,213,0.87,27624.85,2849.86,0.90
03045,Bolulla,2021-02-03,1,15,0.93,1001.27,33.14,0.97
03046,Busot,2021-02-03,40,156,0.74,40898.93,5150.51,0.87
03047,Calp,2021-02-03,400,854,0.53,173983.00,76089.43,0.56
03048,Callosa d'en Sarrià,2021-02-03,44,136,0.68,24771.97,16037.89,0.35
03049,Callosa de Segura,2021-02-03,94,526,0.82,77010.21,15775.17,0.80
03050,el Campello,2021-02-03,135,659,0.80,121991.13,14474.09,0.88
03051,el Camp de Mirra / Campo de Mirra,2021-02-03,1,34,0.97,5432.16,10.23,1.00
03052,Cañada,2021-02-03,1,62,0.98,10312.31,74.80,0.99
03053,Castalla,2021-02-03,49,336,0.85,60219.50,7463.02,0.88
03054,Castell de Castells,2021-02-03,3,28,0.89,2226.11,111.79,0.95
03055,Catral,2021-02-03,49,346,0.86,58806.56,8517.67,0.86
03056,Cocentaina,2021-02-03,61,246,0.75,37464.80,5327.49,0.86
03057,Confrides,2021-02-03,5,27,0.81,2482.00,293.86,0.88
03058,Cox,2021-02-03,37,339,0.89,61672.98,4987.57,0.92
03059,Crevillent,2021-02-03,312,795,0.61,138708.98,61543.27,0.56
03060,Quatretondeta,2021-02-03,0,29,1.00,1605.32,0.00,1.00
03061,Daya Nueva,2021-02-03,0,93,1.00,13533.56,0.00,1.00
03062,Daya Vieja,2021-02-03,10,62,0.84,7028.72,803.61,0.89
03063,Dénia,2021-02-03,557,1301,0.57,224583.04,72331.37,0.68
03064,Dolores,2021-02-03,0,228,1.00,47373.70,0.00,1.00
03065,Elx / Elche,2021-02-03,1631,3997,0.59,783289.62,314089.51,0.60
03066,Elda,2021-02-03,157,761,0.79,104780.16,13011.88,0.88
03067,Facheca,2021-02-03,0,8,1.00,777.55,0.00,1.00
03068,Famorca,2021-02-03,0,10,1.00,538.56,0.00,1.00
03069,Finestrat,2021-02-03,218,462,0.53,80909.43,32514.97,0.60
03070,Formentera del Segura,2021-02-03,0,136,1.00,17510.38,0.00,1.00
03071,Gata de Gorgos,2021-02-03,59,106,0.44,15382.20,8268.45,0.46
03072,Gaianes,2021-02-03,0,22,1.00,2409.41,0.00,1.00
03073,Gorga,2021-02-03,4,9,0.56,1242.64,531.47,0.57
03074,Granja de Rocamora,2021-02-03,15,84,0.82,10810.39,1259.36,0.88
03075,el Castell de Guadalest,2021-02-03,6,14,0.57,2216.44,1568.44,0.29
03076,Guardamar del Segura,2021-02-03,52,768,0.93,112373.28,6755.61,0.94
03077,el Fondó de les Neus / Hondón de las Nieves,2021-02-03,20,145,0.86,25246.23,3130.51,0.88
03078,Hondón de los Frailes,2021-02-03,4,48,0.92,7123.62,453.27,0.94
03079,Ibi,2021-02-03,121,423,0.71,63724.24,13627.93,0.79
03080,Jacarilla,2021-02-03,14,109,0.87,15050.32,1828.88,0.88
03081,Xaló,2021-02-03,16,40,0.60,6364.32,3154.73,0.50
03082,Xàbia / Jávea,2021-02-03,651,1464,0.56,296286.59,111457.84,0.62
03083,Xixona / Jijona,2021-02-03,47,167,0.72,20549.50,6857.72,0.67
03084,l'Orxa / Lorcha,2021-02-03,2,5,0.60,534.53,102.42,0.81
03085,Llíber,2021-02-03,6,16,0.63,931.43,208.29,0.78
03086,Millena,2021-02-03,2,6,0.67,755.13,206.59,0.73
03088,Monforte del Cid,2021-02-03,75,344,0.78,73601.23,13431.50,0.82
03089,Monòver / Monóvar,2021-02-03,104,460,0.77,71005.54,18085.06,0.75
03090,Mutxamel,2021-02-03,142,572,0.75,118168.01,16850.36,0.86
03091,Murla,2021-02-03,2,22,0.91,3260.98,16.76,0.99
03092,Muro de Alcoy,2021-02-03,56,153,0.63,21522.73,6290.73,0.71
03093,Novelda,2021-02-03,29,340,0.91,68821.77,5102.40,0.93
03094,la Nucia,2021-02-03,197,582,0.66,105113.30,36454.44,0.65
03095,Ondara,2021-02-03,36,161,0.78,17513.30,2830.79,0.84
03096,Onil,2021-02-03,43,237,0.82,30213.46,3354.14,0.89
03097,Orba,2021-02-03,31,123,0.75,23891.73,2800.00,0.88
03098,Orxeta,2021-02-03,2,51,0.96,6854.38,57.87,0.99
03099,Orihuela,2021-02-03,774,3802,0.80,608486.82,114466.72,0.81
03100,Parcent,2021-02-03,4,19,0.79,4001.42,2126.37,0.47
03101,Pedreguer,2021-02-03,48,234,0.79,53874.44,8361.38,0.84
03102,Pego,2021-02-03,39,220,0.82,45988.34,7498.44,0.84
03103,Penàguila,2021-02-03,5,18,0.72,2026.70,692.15,0.66
03104,Petrer,2021-02-03,174,662,0.74,81446.30,11000.18,0.86
03105,el Pinós / Pinoso,2021-02-03,60,326,0.82,48111.22,8460.04,0.82
03106,Planes,2021-02-03,31,62,0.50,6495.41,2180.12,0.66
03107,Polop,2021-02-03,30,216,0.86,34328.22,4804.60,0.86
03109,Rafal,2021-02-03,10,161,0.94,21928.69,750.91,0.97
03110,el Ràfol d'Almúnia,2021-02-03,21,45,0.53,7936.07,4596.19,0.42
03111,Redován,2021-02-03,71,266,0.73,36703.37,13404.91,0.63
03112,Relleu,2021-02-03,7,39,0.82,5445.88,962.66,0.82
03113,Rojales,2021-02-03,260,1297,0.80,202159.98,22965.79,0.89
03114,la Romana,2021-02-03,14,74,0.81,19038.86,2960.75,0.84
03115,Sagra,2021-02-03,5,23,0.78,2576.97,440.52,0.83
03116,Salinas,2021-02-03,20,117,0.83,17335.22,2928.36,0.83
03117,Sanet y Negrals,2021-02-03,8,42,0.81,5330.40,471.95,0.91
03118,San Fulgencio,2021-02-03,67,390,0.83,76162.54,11023.37,0.86
03119,Sant Joan d'Alacant,2021-02-03,40,335,0.88,65114.34,4188.09,0.94
03120,San Miguel de Salinas,2021-02-03,29,431,0.93,54130.17,1307.08,0.98
03121,Santa Pola,2021-02-03,100,1000,0.90,143381.19,12084.21,0.92
03122,Sant Vicent del Raspeig / San Vicente del Raspeig,2021-02-03,161,806,0.80,146382.86,16220.10,0.89
03123,Sax,2021-02-03,21,249,0.92,34041.49,2216.72,0.93
03124,Sella,2021-02-03,18,42,0.57,4699.68,1837.87,0.61
03125,Senija,2021-02-03,7,34,0.79,4548.58,297.05,0.93
03127,Tàrbena,2021-02-03,1,7,0.86,730.97,17.48,0.98
03128,Teulada,2021-02-03,250,780,0.68,158620.27,40312.18,0.75
03129,Tibi,2021-02-03,13,72,0.82,19226.13,1034.07,0.95
03130,Tollos,2021-02-03,1,8,0.88,517.56,37.26,0.93
03131,Tormos,2021-02-03,8,23,0.65,2274.27,738.29,0.68
03132,la Torre de les Maçanes / Torremanzanas,2021-02-03,18,41,0.56,7932.19,1807.68,0.77
03133,Torrevieja,2021-02-03,511,2433,0.79,413897.25,51192.27,0.88
03134,la Vall d'Alcalà,2021-02-03,1,13,0.92,1371.01,96.11,0.93
03135,la Vall d'Ebo,2021-02-03,1,14,0.93,1362.41,47.76,0.96
03136,Vall de Gallinera,2021-02-03,20,40,0.50,4119.52,1625.21,0.61
03137,la Vall de Laguar,2021-02-03,2,51,0.96,3534.12,41.84,0.99
03138,el Verger,2021-02-03,51,215,0.76,26383.29,4350.14,0.84
03139,la Vila Joiosa / Villajoyosa,2021-02-03,249,505,0.51,87739.56,42845.59,0.51
03140,Villena,2021-02-03,34,478,0.93,68600.26,4678.90,0.93
03901,els Poblets,2021-02-03,42,320,0.87,39183.47,1807.88,0.95
03902,Pilar de la Horadada,2021-02-03,80,1172,0.93,225469.28,9495.83,0.96
03903,Los Montesinos,2021-02-03,32,195,0.84,31344.80,4023.61,0.87
03904,San Isidro,2021-02-03,8,80,0.90,18925.48,1229.18,0.94
12001,Atzeneta del Maestrat,2021-02-03,4,91,0.96,8918.74,208.67,0.98
12002,Aín,2021-02-03,1,35,0.97,1767.86,15.97,0.99
12003,Albocàsser,2021-02-03,11,52,0.79,7566.66,2836.45,0.63
12004,Alcalà de Xivert,2021-02-03,54,376,0.86,65124.03,7039.84,0.89
12005,l'Alcora,2021-02-03,53,420,0.87,44101.12,6530.87,0.85
12006,Alcudia de Veo,2021-02-03,6,60,0.90,2914.55,172.45,0.94
12007,Alfondeguilla,2021-02-03,0,43,1.00,3581.58,0.00,1.00
12008,Algimia de Almonacid,2021-02-03,3,67,0.96,3711.07,130.54,0.96
12009,Almassora,2021-02-03,101,553,0.82,90795.08,10478.86,0.88
12010,Almedíjar,2021-02-03,10,27,0.63,3475.16,1562.02,0.55
12011,Almenara,2021-02-03,8,260,0.97,43300.48,421.21,0.99
12012,Altura,2021-02-03,5,253,0.98,19791.32,272.32,0.99
12013,Arañuel,2021-02-03,2,9,0.78,701.30,187.72,0.73
12014,Ares del Maestrat,2021-02-03,20,42,0.52,4078.23,631.15,0.85
12015,Argelita,2021-02-03,1,30,0.97,2087.58,46.92,0.98
12016,Artana,2021-02-03,6,125,0.95,12381.27,721.70,0.94
12017,Ayódar,2021-02-03,9,43,0.79,3955.37,531.81,0.87
12018,Azuébar,2021-02-03,0,63,1.00,4257.87,0.00,1.00
12020,Barracas,2021-02-03,2,17,0.88,2397.86,153.14,0.94
12021,Betxí,2021-02-03,32,144,0.78,33102.40,11474.61,0.65
12022,Bejís,2021-02-03,4,44,0.91,4233.12,343.75,0.92
12024,Benafer,2021-02-03,8,32,0.75,4009.09,2334.33,0.42
12025,Benafigos,2021-02-03,5,35,0.86,1920.20,145.98,0.92
12026,Benassal,2021-02-03,11,101,0.89,10730.89,2158.81,0.80
12027,Benicarló,2021-02-03,27,429,0.94,71413.30,1458.41,0.98
12028,Benicàssim / Benicasim,2021-02-03,68,879,0.92,113529.97,2889.85,0.97
12029,Benlloc,2021-02-03,1,63,0.98,6204.25,54.14,0.99
12031,Borriol,2021-02-03,60,274,0.78,46912.23,11293.66,0.76
12032,Borriana / Burriana,2021-02-03,41,614,0.93,90790.37,3477.05,0.96
12033,Cabanes,2021-02-03,48,253,0.81,42923.25,7308.70,0.83
12034,Càlig,2021-02-03,8,70,0.89,9040.82,845.26,0.91
12036,Canet lo Roig,2021-02-03,13,51,0.75,5823.78,1330.13,0.77
12037,Castell de Cabres,2021-02-03,1,8,0.88,766.29,37.64,0.95
12038,Castellfort,2021-02-03,0,39,1.00,2873.97,0.00,1.00
12039,Castellnovo,2021-02-03,5,63,0.92,6919.64,353.87,0.95
12040,Castelló de la Plana,2021-02-03,434,2749,0.84,363226.39,55264.56,0.85
12041,Castillo de Villamalefa,2021-02-03,4,70,0.94,4598.05,154.85,0.97
12042,Catí,2021-02-03,0,50,1.00,5472.41,0.00,1.00
12043,Caudiel,2021-02-03,18,83,0.78,7726.24,1456.16,0.81
12044,Cervera del Maestre,2021-02-03,14,48,0.71,4935.48,1243.12,0.75
