id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
47001,Adalia,2021-02-03,0,22,1.00,2748.65,0.00,1.00
47002,Aguasal,2021-02-03,6,19,0.68,1235.41,236.65,0.81
47003,Aguilar de Campos,2021-02-03,0,38,1.00,5539.41,0.00,1.00
47004,Alaejos,2021-02-03,11,88,0.88,13885.41,919.43,0.93
47005,Alcazarén,2021-02-03,18,88,0.80,10213.19,2051.93,0.80
47006,Aldea de San Miguel,2021-02-03,8,45,0.82,4421.42,227.95,0.95
47007,Aldeamayor de San Martín,2021-02-03,109,369,0.70,76508.57,19645.54,0.74
47008,Almenara de Adaja,2021-02-03,0,6,1.00,563.29,0.00,1.00
47009,Amusquillo,2021-02-03,4,32,0.88,2615.59,417.87,0.84
47010,Arroyo de la Encomienda,2021-02-03,54,429,0.87,72462.89,2909.93,0.96
47011,Ataquines,2021-02-03,16,56,0.71,6851.15,1681.27,0.75
47012,Bahabón,2021-02-03,5,31,0.84,3345.66,218.54,0.93
47013,Barcial de la Loma,2021-02-03,0,27,1.00,3306.71,0.00,1.00
47014,Barruelo del Valle,2021-02-03,0,17,1.00,1881.44,0.00,1.00
47015,Becilla de Valderaduey,2021-02-03,0,46,1.00,5993.61,0.00,1.00
47016,Benafarces,2021-02-03,0,24,1.00,2098.49,0.00,1.00
47017,Bercero,2021-02-03,0,34,1.00,2670.04,0.00,1.00
47018,Berceruelo,2021-02-03,0,18,1.00,1475.54,0.00,1.00
47019,Berrueces,2021-02-03,0,42,1.00,3099.28,0.00,1.00
47020,Bobadilla del Campo,2021-02-03,5,60,0.92,5382.25,225.36,0.96
47021,Bocigas,2021-02-03,1,16,0.94,1717.90,34.01,0.98
47022,Bocos de Duero,2021-02-03,4,7,0.43,560.85,267.13,0.52
47023,Boecillo,2021-02-03,117,378,0.69,70097.46,12005.86,0.83
47024,Bolaños de Campos,2021-02-03,0,51,1.00,4947.49,0.00,1.00
47025,Brahojos de Medina,2021-02-03,3,46,0.93,3282.89,190.45,0.94
47026,Bustillo de Chaves,2021-02-03,1,25,0.96,2823.90,237.72,0.92
47027,Cabezón de Pisuerga,2021-02-03,14,163,0.91,24803.27,1450.42,0.94
47028,Cabezón de Valderaduey,2021-02-03,0,14,1.00,1682.01,0.00,1.00
47029,Cabreros del Monte,2021-02-03,0,22,1.00,2698.89,0.00,1.00
47030,Campaspero,2021-02-03,9,62,0.85,9255.97,773.17,0.92
47031,El Campillo,2021-02-03,2,46,0.96,5476.27,940.06,0.83
47032,Camporredondo,2021-02-03,6,37,0.84,3393.44,282.84,0.92
47033,Canalejas de Peñafiel,2021-02-03,3,36,0.92,4925.22,101.46,0.98
47034,Canillas de Esgueva,2021-02-03,12,38,0.68,3113.47,501.11,0.84
47035,Carpio,2021-02-03,13,122,0.89,10884.87,1275.81,0.88
47036,Casasola de Arión,2021-02-03,0,77,1.00,5705.99,0.00,1.00
47037,Castrejón de Trabancos,2021-02-03,15,49,0.69,5152.93,1486.62,0.71
47038,Castrillo de Duero,2021-02-03,9,63,0.86,4077.25,520.25,0.87
47039,Castrillo-Tejeriego,2021-02-03,22,49,0.55,3083.90,686.89,0.78
47040,Castrobol,2021-02-03,0,13,1.00,2704.45,0.00,1.00
47041,Castrodeza,2021-02-03,0,52,1.00,4007.08,0.00,1.00
47042,Castromembibre,2021-02-03,0,36,1.00,2379.06,0.00,1.00
47043,Castromonte,2021-02-03,0,76,1.00,6258.66,0.00,1.00
47044,Castronuevo de Esgueva,2021-02-03,20,61,0.67,6182.03,825.73,0.87
47045,Castronuño,2021-02-03,4,86,0.95,8584.03,138.53,0.98
47046,Castroponce,2021-02-03,0,30,1.00,3681.44,0.00,1.00
47047,Castroverde de Cerrato,2021-02-03,19,47,0.60,2666.31,472.15,0.82
47048,Ceinos de Campos,2021-02-03,0,45,1.00,4872.47,0.00,1.00
47049,Cervillego de la Cruz,2021-02-03,12,43,0.72,3382.19,635.90,0.81
47050,Cigales,2021-02-03,7,180,0.96,20577.74,460.32,0.98
47051,Ciguñuela,2021-02-03,0,42,1.00,3833.37,0.00,1.00
47052,Cistérniga,2021-02-03,37,200,0.82,31396.45,7102.03,0.77
47053,Cogeces de Íscar,2021-02-03,3,22,0.86,2677.93,495.46,0.81
47054,Cogeces del Monte,2021-02-03,6,46,0.87,6384.92,473.79,0.93
47055,Corcos,2021-02-03,0,56,1.00,5258.83,0.00,1.00
47056,Corrales de Duero,2021-02-03,1,18,0.94,1597.13,89.12,0.94
47057,Cubillas de Santa Marta,2021-02-03,0,26,1.00,2121.10,0.00,1.00
47058,Cuenca de Campos,2021-02-03,0,21,1.00,3536.88,0.00,1.00
47059,Curiel de Duero,2021-02-03,7,39,0.82,4162.75,1069.04,0.74
47060,Encinas de Esgueva,2021-02-03,0,51,1.00,4593.18,0.00,1.00
47061,Esguevillas de Esgueva,2021-02-03,54,92,0.41,5615.76,1707.37,0.70
47062,Fombellida,2021-02-03,6,63,0.90,3694.64,469.77,0.87
47063,Fompedraza,2021-02-03,10,19,0.47,2363.87,523.09,0.78
47064,Fontihoyuelo,2021-02-03,0,19,1.00,1700.44,0.00,1.00
47065,Fresno el Viejo,2021-02-03,18,112,0.84,8129.84,706.91,0.91
47066,Fuensaldaña,2021-02-03,3,140,0.98,26407.28,368.44,0.99
47067,Fuente el Sol,2021-02-03,0,27,1.00,2145.09,0.00,1.00
47068,Fuente-Olmedo,2021-02-03,5,35,0.86,2187.37,244.06,0.89
47069,Gallegos de Hornija,2021-02-03,0,33,1.00,2110.95,0.00,1.00
47070,Gatón de Campos,2021-02-03,0,17,1.00,1958.17,0.00,1.00
47071,Geria,2021-02-03,0,43,1.00,3676.33,0.00,1.00
47073,Herrín de Campos,2021-02-03,0,26,1.00,2868.00,0.00,1.00
47074,Hornillos de Eresma,2021-02-03,10,23,0.57,2765.02,979.43,0.65
47075,Íscar,2021-02-03,30,208,0.86,33160.14,2671.23,0.92
47076,Laguna de Duero,2021-02-03,73,482,0.85,86854.36,6723.70,0.92
47077,Langayo,2021-02-03,16,37,0.57,4654.96,816.01,0.82
47078,Lomoviejo,2021-02-03,9,31,0.71,3067.92,703.04,0.77
47079,Llano de Olmedo,2021-02-03,0,17,1.00,1790.68,0.00,1.00
47080,Manzanillo,2021-02-03,1,6,0.83,648.29,36.19,0.94
47081,Marzales,2021-02-03,0,18,1.00,1494.03,0.00,1.00
47082,Matapozuelos,2021-02-03,23,107,0.79,15570.06,3288.00,0.79
47083,Matilla de los Caños,2021-02-03,0,20,1.00,1519.63,0.00,1.00
47084,Mayorga,2021-02-03,0,90,1.00,13943.74,0.00,1.00
47085,Medina del Campo,2021-02-03,41,421,0.90,57215.72,5855.65,0.90
47086,Medina de Rioseco,2021-02-03,1,204,1.00,23366.99,59.71,1.00
47087,Megeces,2021-02-03,3,54,0.94,5629.97,103.71,0.98
47088,Melgar de Abajo,2021-02-03,0,30,1.00,3535.64,0.00,1.00
47089,Melgar de Arriba,2021-02-03,0,31,1.00,3844.13,0.00,1.00
47090,Mojados,2021-02-03,66,182,0.64,33833.78,12597.10,0.63
47091,Monasterio de Vega,2021-02-03,2,21,0.90,2058.73,129.71,0.94
47092,Montealegre de Campos,2021-02-03,0,30,1.00,3154.06,0.00,1.00
47093,Montemayor de Pililla,2021-02-03,9,122,0.93,12612.90,658.52,0.95
47094,Moral de la Reina,2021-02-03,1,40,0.98,4236.27,94.32,0.98
47095,Moraleja de las Panaderas,2021-02-03,6,15,0.60,1321.32,563.60,0.57
47096,Morales de Campos,2021-02-03,0,28,1.00,2451.06,0.00,1.00
47097,Mota del Marqués,2021-02-03,3,52,0.94,6640.05,220.19,0.97
47098,Mucientes,2021-02-03,2,94,0.98,7415.93,15.79,1.00
47099,La Mudarra,2021-02-03,0,44,1.00,2395.72,0.00,1.00
47100,Muriel,2021-02-03,3,33,0.91,3236.49,133.82,0.96
47101,Nava del Rey,2021-02-03,14,144,0.90,14759.07,1067.23,0.93
47102,Nueva Villa de las Torres,2021-02-03,1,28,0.96,3704.82,135.22,0.96
47103,Olivares de Duero,2021-02-03,10,50,0.80,4297.86,1013.87,0.76
47104,Olmedo,2021-02-03,37,167,0.78,20490.21,3170.50,0.85
47105,Olmos de Esgueva,2021-02-03,1,26,0.96,3117.42,62.09,0.98
47106,Olmos de Peñafiel,2021-02-03,6,24,0.75,1608.63,225.25,0.86
47109,Palazuelo de Vedija,2021-02-03,0,47,1.00,4842.22,0.00,1.00
47110,La Parrilla,2021-02-03,5,59,0.92,6788.35,178.01,0.97
47111,La Pedraja de Portillo,2021-02-03,20,86,0.77,10957.32,1968.63,0.82
47112,Pedrajas de San Esteban,2021-02-03,3,131,0.98,24879.87,744.81,0.97
47113,Pedrosa del Rey,2021-02-03,0,40,1.00,4625.58,0.00,1.00
47114,Peñafiel,2021-02-03,58,249,0.77,29555.93,5369.43,0.82
47115,Peñaflor de Hornija,2021-02-03,0,59,1.00,4368.29,0.00,1.00
47116,Pesquera de Duero,2021-02-03,17,59,0.71,4428.93,711.29,0.84
47117,Piña de Esgueva,2021-02-03,4,28,0.86,3464.31,310.90,0.91
47118,Piñel de Abajo,2021-02-03,1,40,0.98,2534.22,25.76,0.99
47119,Piñel de Arriba,2021-02-03,6,38,0.84,2601.30,170.39,0.93
47121,Pollos,2021-02-03,8,51,0.84,7440.26,664.88,0.91
47122,Portillo,2021-02-03,6,160,0.96,17635.20,303.49,0.98
47123,Pozal de Gallinas,2021-02-03,28,84,0.67,9145.96,2676.70,0.71
47124,Pozaldez,2021-02-03,11,77,0.86,7341.63,430.96,0.94
47125,Pozuelo de la Orden,2021-02-03,0,17,1.00,2334.57,0.00,1.00
47126,Puras,2021-02-03,0,3,1.00,686.41,0.00,1.00
47127,Quintanilla de Arriba,2021-02-03,7,26,0.73,2240.11,367.09,0.84
47128,Quintanilla del Molar,2021-02-03,0,11,1.00,1398.36,0.00,1.00
47129,Quintanilla de Onésimo,2021-02-03,22,84,0.74,10575.49,1996.12,0.81
47130,Quintanilla de Trigueros,2021-02-03,0,22,1.00,1647.30,0.00,1.00
47131,Rábano,2021-02-03,6,23,0.74,3313.29,568.21,0.83
47132,Ramiro,2021-02-03,3,19,0.84,1439.19,80.22,0.94
47133,Renedo de Esgueva,2021-02-03,21,129,0.84,24866.84,2639.84,0.89
47134,Roales de Campos,2021-02-03,0,36,1.00,3669.33,0.00,1.00
47135,Robladillo,2021-02-03,0,14,1.00,1127.53,0.00,1.00
47137,Roturas,2021-02-03,0,23,1.00,1526.62,0.00,1.00
47138,Rubí de Bracamonte,2021-02-03,1,27,0.96,3249.67,11.69,1.00
47139,Rueda,2021-02-03,62,222,0.72,17241.24,3457.98,0.80
47140,Saelices de Mayorga,2021-02-03,0,31,1.00,3406.41,0.00,1.00
47141,Salvador de Zapardiel,2021-02-03,12,39,0.69,3044.54,542.66,0.82
47142,San Cebrián de Mazote,2021-02-03,0,36,1.00,3536.46,0.00,1.00
47143,San Llorente,2021-02-03,5,41,0.88,2270.55,151.52,0.93
47144,San Martín de Valvení,2021-02-03,9,35,0.74,2552.79,662.27,0.74
47145,San Miguel del Arroyo,2021-02-03,20,114,0.82,12613.42,1898.11,0.85
47146,San Miguel del Pino,2021-02-03,0,33,1.00,3635.95,0.00,1.00
