id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
04001,ES-AL,ES-AN,Abla,2021-03-07,26,149,0.83,875.14,10597.65,0.92
04002,ES-AL,ES-AN,Abrucena,2021-03-07,7,96,0.93,307.15,8028.24,0.96
04003,ES-AL,ES-AN,Adra,2021-03-07,35,648,0.95,3364.35,82878.30,0.96
04004,ES-AL,ES-AN,Albánchez,2021-03-07,2,73,0.97,43.60,7939.12,0.99
04005,ES-AL,ES-AN,Alboloduy,2021-03-07,7,74,0.91,346.76,5662.09,0.94
04006,ES-AL,ES-AN,Albox,2021-03-07,69,275,0.75,13017.95,42155.81,0.69
04007,ES-AL,ES-AN,Alcolea,2021-03-07,16,75,0.79,643.08,5706.51,0.89
04008,ES-AL,ES-AN,Alcóntar,2021-03-07,17,52,0.67,2337.09,6798.55,0.66
04009,ES-AL,ES-AN,Alcudia de Monteagud,2021-03-07,3,33,0.91,107.23,1936.18,0.94
04010,ES-AL,ES-AN,Alhabia,2021-03-07,64,113,0.43,2909.30,6793.75,0.57
04011,ES-AL,ES-AN,Alhama de Almería,2021-03-07,13,116,0.89,1382.61,15412.77,0.91
04012,ES-AL,ES-AN,Alicún,2021-03-07,1,21,0.95,68.72,1631.34,0.96
04013,ES-AL,ES-AN,Almería,2021-03-07,280,3111,0.91,21027.36,397390.03,0.95
04014,ES-AL,ES-AN,Almócita,2021-03-07,2,32,0.94,169.20,1902.32,0.91
04015,ES-AL,ES-AN,Alsodux,2021-03-07,6,19,0.68,1129.52,2374.05,0.52
04016,ES-AL,ES-AN,Antas,2021-03-07,26,175,0.85,3407.75,23797.51,0.86
04017,ES-AL,ES-AN,Arboleas,2021-03-07,30,430,0.93,2396.05,66911.70,0.96
04018,ES-AL,ES-AN,Armuña de Almanzora,2021-03-07,3,35,0.91,913.65,4355.15,0.79
04019,ES-AL,ES-AN,Bacares,2021-03-07,1,47,0.98,14.88,3607.53,1.00
04020,ES-AL,ES-AN,Bayárcal,2021-03-07,19,66,0.71,732.75,3193.21,0.77
04021,ES-AL,ES-AN,Bayarque,2021-03-07,1,39,0.97,65.46,3321.16,0.98
04022,ES-AL,ES-AN,Bédar,2021-03-07,24,111,0.78,4367.20,13012.42,0.66
04023,ES-AL,ES-AN,Beires,2021-03-07,3,43,0.93,91.72,2012.91,0.95
04024,ES-AL,ES-AN,Benahadux,2021-03-07,26,143,0.82,1740.66,16822.36,0.90
04026,ES-AL,ES-AN,Benitagla,2021-03-07,0,34,1.00,0.00,1680.78,1.00
04027,ES-AL,ES-AN,Benizalón,2021-03-07,3,42,0.93,151.48,2474.74,0.94
04028,ES-AL,ES-AN,Bentarique,2021-03-07,3,32,0.91,237.05,1983.18,0.88
04029,ES-AL,ES-AN,Berja,2021-03-07,96,256,0.63,9523.92,31624.87,0.70
04030,ES-AL,ES-AN,Canjáyar,2021-03-07,2,87,0.98,90.33,6512.16,0.99
