id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
-10985742,ES-HU,ES-AR,Comunero de Ansó y Hecho,2021-03-07,0,0,1,0.00,0.00,1
22001,ES-HU,ES-AR,Abiego,2021-03-07,3,31,0.90,218.88,2984.64,0.93
22002,ES-HU,ES-AR,Abizanda,2021-03-07,21,29,0.28,1513.19,2080.20,0.27
22003,ES-HU,ES-AR,Adahuesca,2021-03-07,3,16,0.81,474.86,1629.09,0.71
22004,ES-HU,ES-AR,Agüero,2021-03-07,29,50,0.42,1802.79,3714.55,0.51
22006,ES-HU,ES-AR,Aísa,2021-03-07,23,57,0.60,2763.12,5665.70,0.51
22007,ES-HU,ES-AR,Albalate de Cinca,2021-03-07,43,70,0.39,5048.59,8620.13,0.41
22008,ES-HU,ES-AR,Albalatillo,2021-03-07,5,25,0.80,435.67,3083.44,0.86
22009,ES-HU,ES-AR,Albelda,2021-03-07,10,30,0.67,701.04,3308.98,0.79
22011,ES-HU,ES-AR,Albero Alto,2021-03-07,2,20,0.90,258.11,2166.41,0.88
22012,ES-HU,ES-AR,Albero Bajo,2021-03-07,9,24,0.63,524.39,2827.71,0.81
22013,ES-HU,ES-AR,Alberuela de Tubo,2021-03-07,24,24,0.00,3977.83,3977.83,0.00
22014,ES-HU,ES-AR,Alcalá de Gurrea,2021-03-07,0,36,1.00,0.00,4630.65,1.00
22015,ES-HU,ES-AR,Alcalá del Obispo,2021-03-07,10,39,0.74,1408.53,4719.29,0.70
22016,ES-HU,ES-AR,Alcampell / el Campell,2021-03-07,3,55,0.95,315.22,5982.10,0.95
22017,ES-HU,ES-AR,Alcolea de Cinca,2021-03-07,23,52,0.56,1912.83,7077.54,0.73
22018,ES-HU,ES-AR,Alcubierre,2021-03-07,11,35,0.69,1740.73,5707.85,0.70
22019,ES-HU,ES-AR,Alerre,2021-03-07,0,19,1.00,0.00,2467.32,1.00
22020,ES-HU,ES-AR,Alfántega,2021-03-07,20,29,0.31,1097.66,2407.34,0.54
22021,ES-HU,ES-AR,Almudévar,2021-03-07,25,142,0.82,3347.54,25764.99,0.87
22022,ES-HU,ES-AR,Almunia de San Juan,2021-03-07,25,51,0.51,1815.06,7512.00,0.76
22023,ES-HU,ES-AR,Almuniente,2021-03-07,21,42,0.50,4681.70,6852.98,0.32
22024,ES-HU,ES-AR,Alquézar,2021-03-07,23,38,0.39,3119.99,4731.23,0.34
22025,ES-HU,ES-AR,Altorricón / el Torricó,2021-03-07,18,81,0.78,1262.66,9160.28,0.86
22027,ES-HU,ES-AR,Angüés,2021-03-07,18,54,0.67,1797.34,5178.98,0.65
22028,ES-HU,ES-AR,Ansó,2021-03-07,5,48,0.90,270.07,3310.25,0.92
22029,ES-HU,ES-AR,Antillón,2021-03-07,5,20,0.75,146.84,1299.51,0.89
22032,ES-HU,ES-AR,Aragüés del Puerto,2021-03-07,6,53,0.89,300.92,2615.22,0.88
22035,ES-HU,ES-AR,Arén,2021-03-07,13,26,0.50,1506.89,2820.39,0.47
22036,ES-HU,ES-AR,Argavieso,2021-03-07,13,13,0.00,1681.37,1681.37,0.00
22037,ES-HU,ES-AR,Arguis,2021-03-07,3,40,0.93,209.49,3255.50,0.94
22039,ES-HU,ES-AR,Ayerbe,2021-03-07,1,52,0.98,63.23,7111.70,0.99
22040,ES-HU,ES-AR,Azanuy-Alins,2021-03-07,19,31,0.39,1910.35,3164.01,0.40
22041,ES-HU,ES-AR,Azara,2021-03-07,8,8,0.00,1352.09,1352.09,0.00
22042,ES-HU,ES-AR,Azlor,2021-03-07,5,5,0.00,1516.21,1516.21,0.00
22043,ES-HU,ES-AR,Baells,2021-03-07,8,14,0.43,1043.75,1412.42,0.26
22044,ES-HU,ES-AR,Bailo,2021-03-07,38,68,0.44,2402.87,5511.19,0.56
22045,ES-HU,ES-AR,Baldellou,2021-03-07,2,3,0.33,179.07,602.86,0.70
22046,ES-HU,ES-AR,Ballobar,2021-03-07,5,54,0.91,449.94,6111.05,0.93
22047,ES-HU,ES-AR,Banastás,2021-03-07,0,22,1.00,0.00,3820.92,1.00
22048,ES-HU,ES-AR,Barbastro,2021-03-07,99,473,0.79,8949.89,58347.61,0.85
22049,ES-HU,ES-AR,Barbués,2021-03-07,0,11,1.00,0.00,1045.71,1.00
22050,ES-HU,ES-AR,Barbuñales,2021-03-07,7,15,0.53,479.97,2464.38,0.81
22051,ES-HU,ES-AR,Bárcabo,2021-03-07,15,15,0.00,1174.43,1174.43,0.00
22052,ES-HU,ES-AR,Belver de Cinca,2021-03-07,18,41,0.56,1736.35,7094.07,0.76
22053,ES-HU,ES-AR,Benabarre,2021-03-07,35,104,0.66,2945.11,11058.19,0.73
22054,ES-HU,ES-AR,Benasque,2021-03-07,86,143,0.40,8929.29,14758.10,0.39
22055,ES-HU,ES-AR,Berbegal,2021-03-07,11,36,0.69,966.63,3192.91,0.70
22057,ES-HU,ES-AR,Bielsa,2021-03-07,23,43,0.47,2053.55,4148.84,0.51
22058,ES-HU,ES-AR,Bierge,2021-03-07,11,40,0.73,1099.98,3643.69,0.70
22059,ES-HU,ES-AR,Biescas,2021-03-07,111,321,0.65,9694.10,26482.61,0.63
22060,ES-HU,ES-AR,Binaced,2021-03-07,26,79,0.67,1744.14,9758.86,0.82
22061,ES-HU,ES-AR,Binéfar,2021-03-07,53,244,0.78,5897.77,31044.32,0.81
22062,ES-HU,ES-AR,Bisaurri,2021-03-07,34,37,0.08,2419.64,2697.94,0.10
22063,ES-HU,ES-AR,Biscarrués,2021-03-07,0,20,1.00,0.00,2526.98,1.00
22064,ES-HU,ES-AR,Blecua y Torres,2021-03-07,15,30,0.50,1533.03,3228.44,0.53
22066,ES-HU,ES-AR,Boltaña,2021-03-07,28,83,0.66,2894.23,9152.55,0.68
22067,ES-HU,ES-AR,Bonansa,2021-03-07,5,12,0.58,277.14,962.94,0.71
22068,ES-HU,ES-AR,Borau,2021-03-07,5,14,0.64,272.05,943.83,0.71
22069,ES-HU,ES-AR,Broto,2021-03-07,40,83,0.52,4866.26,10097.24,0.52
22072,ES-HU,ES-AR,Caldearenas,2021-03-07,17,46,0.63,1122.18,4509.21,0.75
22074,ES-HU,ES-AR,Campo,2021-03-07,16,37,0.57,1223.56,4190.15,0.71
22075,ES-HU,ES-AR,Camporrells,2021-03-07,2,2,0.00,237.92,237.92,0.00
22076,ES-HU,ES-AR,Canal de Berdún,2021-03-07,23,95,0.76,2146.06,7006.57,0.69
22077,ES-HU,ES-AR,Candasnos,2021-03-07,4,35,0.89,530.79,6602.79,0.92
