id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
-340042,ES-S,ES-CB,Campoo-Cabuérniga,2021-03-07,0,0,1,0.00,0.00,1
39001,ES-S,ES-CB,Alfoz de Lloredo,2021-03-07,39,284,0.86,4626.41,42523.23,0.89
39002,ES-S,ES-CB,Ampuero,2021-03-07,59,82,0.28,10491.99,15244.82,0.31
39003,ES-S,ES-CB,Anievas,2021-03-07,0,93,1.00,0.00,7591.52,1.00
39004,ES-S,ES-CB,Arenas de Iguña,2021-03-07,45,182,0.75,4971.53,19683.57,0.75
39005,ES-S,ES-CB,Argoños,2021-03-07,69,182,0.62,8173.69,25614.31,0.68
39006,ES-S,ES-CB,Arnuero,2021-03-07,58,216,0.73,9362.96,35384.71,0.74
39007,ES-S,ES-CB,Arredondo,2021-03-07,36,66,0.45,6618.23,9624.48,0.31
39008,ES-S,ES-CB,El Astillero,2021-03-07,152,331,0.54,17728.75,39467.74,0.55
39009,ES-S,ES-CB,Bárcena de Cicero,2021-03-07,2,209,0.99,55.57,34914.67,1.00
39010,ES-S,ES-CB,Bárcena de Pie de Concha,2021-03-07,45,45,0.00,5225.79,5225.79,0.00
39011,ES-S,ES-CB,Bareyo,2021-03-07,30,158,0.81,5214.41,27988.76,0.81
39012,ES-S,ES-CB,Cabezón de la Sal,2021-03-07,296,396,0.25,37085.89,47458.26,0.22
39013,ES-S,ES-CB,Cabezón de Liébana,2021-03-07,62,96,0.35,8897.04,14820.94,0.40
39014,ES-S,ES-CB,Cabuérniga,2021-03-07,88,167,0.47,7844.21,17358.96,0.55
39015,ES-S,ES-CB,Camaleño,2021-03-07,156,170,0.08,14776.72,15785.91,0.06
39016,ES-S,ES-CB,Camargo,2021-03-07,446,758,0.41,61392.72,117535.88,0.48
39017,ES-S,ES-CB,Campoo de Yuso,2021-03-07,79,128,0.38,11743.58,17953.17,0.35
39018,ES-S,ES-CB,Cartes,2021-03-07,134,175,0.23,12878.95,17561.41,0.27
39019,ES-S,ES-CB,Castañeda,2021-03-07,60,85,0.29,11807.88,15771.34,0.25
39020,ES-S,ES-CB,Castro-Urdiales,2021-03-07,223,747,0.70,23110.67,99938.63,0.77
39021,ES-S,ES-CB,Cieza,2021-03-07,33,42,0.21,3154.69,4269.01,0.26
39022,ES-S,ES-CB,Cillorigo de Liébana,2021-03-07,89,130,0.32,8967.49,12556.81,0.29
39023,ES-S,ES-CB,Colindres,2021-03-07,32,125,0.74,4053.58,20040.89,0.80
39024,ES-S,ES-CB,Comillas,2021-03-07,119,221,0.46,18347.48,27825.77,0.34
39025,ES-S,ES-CB,Los Corrales de Buelna,2021-03-07,0,607,1.00,0.00,49238.86,1.00
39026,ES-S,ES-CB,Corvera de Toranzo,2021-03-07,131,146,0.10,20628.42,23042.34,0.10
