id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05001,ES-AV,ES-CL,Adanero,2021-03-07,1,53,0.98,61.66,6643.38,0.99
05002,ES-AV,ES-CL,La Adrada,2021-03-07,130,197,0.34,27140.51,37951.37,0.28
05005,ES-AV,ES-CL,Albornos,2021-03-07,0,27,1.00,0.00,3351.84,1.00
05007,ES-AV,ES-CL,Aldeanueva de Santa Cruz,2021-03-07,0,24,1.00,0.00,1978.00,1.00
05008,ES-AV,ES-CL,Aldeaseca,2021-03-07,0,23,1.00,0.00,3254.17,1.00
05010,ES-AV,ES-CL,La Aldehuela,2021-03-07,0,28,1.00,0.00,3113.59,1.00
05012,ES-AV,ES-CL,Amavida,2021-03-07,9,42,0.79,496.76,2991.02,0.83
05013,ES-AV,ES-CL,El Arenal,2021-03-07,0,115,1.00,0.00,9397.42,1.00
05014,ES-AV,ES-CL,Arenas de San Pedro,2021-03-07,15,419,0.96,2374.59,47910.78,0.95
05015,ES-AV,ES-CL,Arevalillo,2021-03-07,6,34,0.82,464.98,2427.12,0.81
05016,ES-AV,ES-CL,Arévalo,2021-03-07,8,286,0.97,704.75,39492.85,0.98
05017,ES-AV,ES-CL,Aveinte,2021-03-07,6,33,0.82,162.49,3419.70,0.95
05018,ES-AV,ES-CL,Avellaneda,2021-03-07,2,21,0.90,141.23,1369.38,0.90
05019,ES-AV,ES-CL,Ávila,2021-03-07,104,1583,0.93,8899.94,228377.53,0.96
05021,ES-AV,ES-CL,El Barco de Ávila,2021-03-07,5,169,0.97,295.28,21363.93,0.99
05022,ES-AV,ES-CL,El Barraco,2021-03-07,192,352,0.45,12458.28,34386.17,0.64
05023,ES-AV,ES-CL,Barromán,2021-03-07,0,29,1.00,0.00,3905.70,1.00
05024,ES-AV,ES-CL,Becedas,2021-03-07,0,70,1.00,0.00,6848.30,1.00
05025,ES-AV,ES-CL,Becedillas,2021-03-07,12,37,0.68,1098.92,3749.62,0.71
05026,ES-AV,ES-CL,Bercial de Zapardiel,2021-03-07,0,28,1.00,0.00,3250.17,1.00
05027,ES-AV,ES-CL,Las Berlanas,2021-03-07,0,50,1.00,0.00,7224.28,1.00
05029,ES-AV,ES-CL,Bernuy-Zapardiel,2021-03-07,3,21,0.86,326.69,3130.86,0.90
05030,ES-AV,ES-CL,Berrocalejo de Aragona,2021-03-07,8,30,0.73,289.83,2594.17,0.89
05033,ES-AV,ES-CL,Blascomillán,2021-03-07,0,35,1.00,0.00,4347.35,1.00
05034,ES-AV,ES-CL,Blasconuño de Matacabras,2021-03-07,0,10,1.00,0.00,844.06,1.00
05035,ES-AV,ES-CL,Blascosancho,2021-03-07,5,52,0.90,374.83,5277.46,0.93
05036,ES-AV,ES-CL,El Bohodón,2021-03-07,5,37,0.86,405.81,3930.89,0.90
05037,ES-AV,ES-CL,Bohoyo,2021-03-07,0,64,1.00,0.00,6684.70,1.00
05038,ES-AV,ES-CL,Bonilla de la Sierra,2021-03-07,0,41,1.00,0.00,5631.81,1.00
05039,ES-AV,ES-CL,Brabos,2021-03-07,2,40,0.95,127.80,3395.82,0.96
05040,ES-AV,ES-CL,Bularros,2021-03-07,0,38,1.00,0.00,4228.07,1.00
05041,ES-AV,ES-CL,Burgohondo,2021-03-07,73,93,0.22,10293.76,13819.37,0.26
05042,ES-AV,ES-CL,Cabezas de Alambre,2021-03-07,0,24,1.00,0.00,3411.19,1.00
05043,ES-AV,ES-CL,Cabezas del Pozo,2021-03-07,0,20,1.00,0.00,2544.79,1.00
05044,ES-AV,ES-CL,Cabezas del Villar,2021-03-07,17,76,0.78,996.62,10148.98,0.90
05045,ES-AV,ES-CL,Cabizuela,2021-03-07,4,18,0.78,426.69,2474.65,0.83
05046,ES-AV,ES-CL,Canales,2021-03-07,6,14,0.57,507.21,1626.95,0.69
05047,ES-AV,ES-CL,Candeleda,2021-03-07,18,266,0.93,1222.29,28019.50,0.96
05048,ES-AV,ES-CL,Cantiveros,2021-03-07,8,29,0.72,957.23,3367.43,0.72
05049,ES-AV,ES-CL,Cardeñosa,2021-03-07,0,46,1.00,0.00,6760.54,1.00
05051,ES-AV,ES-CL,La Carrera,2021-03-07,17,36,0.53,1259.54,3357.03,0.62
05052,ES-AV,ES-CL,Casas del Puerto,2021-03-07,5,31,0.84,446.89,2880.53,0.84
05053,ES-AV,ES-CL,Casasola,2021-03-07,21,39,0.46,1900.39,3372.36,0.44
05054,ES-AV,ES-CL,Casavieja,2021-03-07,20,108,0.81,1342.45,13892.91,0.90
05055,ES-AV,ES-CL,Casillas,2021-03-07,23,50,0.54,1619.10,6610.42,0.76
05056,ES-AV,ES-CL,Castellanos de Zapardiel,2021-03-07,2,19,0.89,217.11,2621.81,0.92
05057,ES-AV,ES-CL,Cebreros,2021-03-07,56,233,0.76,4560.25,30499.95,0.85
05058,ES-AV,ES-CL,Cepeda la Mora,2021-03-07,0,38,1.00,0.00,3900.88,1.00
