id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
35001,ES-GC,ES-CN,Agaete,2021-03-07,33,187,0.82,2902.57,21740.45,0.87
35002,ES-GC,ES-CN,Agüimes,2021-03-07,46,686,0.93,2914.07,117112.22,0.98
35003,ES-GC,ES-CN,Antigua,2021-03-07,39,304,0.87,6225.95,68321.20,0.91
35004,ES-GC,ES-CN,Arrecife,2021-03-07,94,969,0.90,6884.84,124513.06,0.94
35005,ES-GC,ES-CN,Artenara,2021-03-07,3,27,0.89,347.72,6657.07,0.95
35006,ES-GC,ES-CN,Arucas,2021-03-07,36,661,0.95,1940.79,93076.83,0.98
35007,ES-GC,ES-CN,Betancuria,2021-03-07,12,48,0.75,2441.93,8558.27,0.71
35008,ES-GC,ES-CN,Firgas,2021-03-07,3,182,0.98,289.09,32977.00,0.99
35009,ES-GC,ES-CN,Gáldar,2021-03-07,19,589,0.97,1629.38,98368.62,0.98
35010,ES-GC,ES-CN,Haría,2021-03-07,10,248,0.96,346.98,37126.86,0.99
35011,ES-GC,ES-CN,Ingenio,2021-03-07,16,781,0.98,648.94,102068.28,0.99
35012,ES-GC,ES-CN,Mogán,2021-03-07,67,576,0.88,5521.53,92287.05,0.94
35013,ES-GC,ES-CN,Moya,2021-03-07,4,181,0.98,188.15,30997.05,0.99
35014,ES-GC,ES-CN,La Oliva,2021-03-07,227,951,0.76,40197.72,204590.89,0.80
35015,ES-GC,ES-CN,Pájara,2021-03-07,85,480,0.82,8109.14,65562.00,0.88
35016,ES-GC,ES-CN,Las Palmas de Gran Canaria,2021-03-07,256,3670,0.93,24558.53,558877.14,0.96
35017,ES-GC,ES-CN,Puerto del Rosario,2021-03-07,407,772,0.47,88405.88,180579.28,0.51
35018,ES-GC,ES-CN,San Bartolomé,2021-03-07,67,474,0.86,4111.68,65063.22,0.94
35019,ES-GC,ES-CN,San Bartolomé de Tirajana,2021-03-07,157,1242,0.87,15774.21,213631.88,0.93
35020,ES-GC,ES-CN,La Aldea de San Nicolás,2021-03-07,8,187,0.96,459.88,40069.15,0.99
35021,ES-GC,ES-CN,Santa Brígida,2021-03-07,13,369,0.96,1030.86,69431.81,0.99
35022,ES-GC,ES-CN,Santa Lucía de Tirajana,2021-03-07,103,870,0.88,6549.90,131874.49,0.95
35023,ES-GC,ES-CN,Santa María de Guía de Gran Canaria,2021-03-07,11,243,0.95,423.46,40703.67,0.99
35024,ES-GC,ES-CN,Teguise,2021-03-07,118,1079,0.89,7599.37,169079.30,0.96
35025,ES-GC,ES-CN,Tejeda,2021-03-07,4,49,0.92,518.74,12093.15,0.96
35026,ES-GC,ES-CN,Telde,2021-03-07,60,1848,0.97,3436.13,251857.34,0.99
35027,ES-GC,ES-CN,Teror,2021-03-07,7,270,0.97,389.45,36790.49,0.99
35028,ES-GC,ES-CN,Tías,2021-03-07,111,674,0.84,9463.20,117224.70,0.92
