id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08001,ES-B,ES-CT,Abrera,2021-03-07,23,354,0.94,1544.37,63621.75,0.98
08002,ES-B,ES-CT,Aguilar de Segarra,2021-03-07,0,5,1.00,0.00,570.85,1.00
08003,ES-B,ES-CT,Alella,2021-03-07,9,299,0.97,424.96,55920.48,0.99
08004,ES-B,ES-CT,Alpens,2021-03-07,8,45,0.82,376.00,3783.57,0.90
08005,ES-B,ES-CT,l'Ametlla del Vallès,2021-03-07,45,275,0.84,5741.52,70939.45,0.92
08006,ES-B,ES-CT,Arenys de Mar,2021-03-07,9,263,0.97,406.82,39587.06,0.99
08007,ES-B,ES-CT,Arenys de Munt,2021-03-07,25,183,0.86,4015.57,36289.45,0.89
08008,ES-B,ES-CT,Argençola,2021-03-07,4,35,0.89,181.93,3341.69,0.95
08009,ES-B,ES-CT,Argentona,2021-03-07,42,290,0.86,4834.25,56376.86,0.91
08010,ES-B,ES-CT,Artés,2021-03-07,5,163,0.97,311.46,24799.86,0.99
08011,ES-B,ES-CT,Avià,2021-03-07,3,61,0.95,284.65,9188.69,0.97
08012,ES-B,ES-CT,Avinyó,2021-03-07,4,96,0.96,231.08,13318.17,0.98
08013,ES-B,ES-CT,Avinyonet del Penedès,2021-03-07,0,114,1.00,0.00,15214.41,1.00
08014,ES-B,ES-CT,Aiguafreda,2021-03-07,12,98,0.88,381.41,14634.22,0.97
08015,ES-B,ES-CT,Badalona,2021-03-07,3,1796,1.00,153.74,231733.79,1.00
08016,ES-B,ES-CT,Bagà,2021-03-07,16,100,0.84,570.29,8993.45,0.94
08017,ES-B,ES-CT,Balenyà,2021-03-07,15,132,0.89,609.28,16924.75,0.96
08018,ES-B,ES-CT,Balsareny,2021-03-07,4,94,0.96,205.01,11357.92,0.98
08019,ES-B,ES-CT,Barcelona,2021-03-07,80,7554,0.99,4788.18,919090.52,0.99
08020,ES-B,ES-CT,Begues,2021-03-07,5,311,0.98,308.13,53777.94,0.99
08021,ES-B,ES-CT,Bellprat,2021-03-07,0,15,1.00,0.00,1075.61,1.00
08022,ES-B,ES-CT,Berga,2021-03-07,23,341,0.93,656.96,43698.10,0.98
08023,ES-B,ES-CT,Bigues i Riells,2021-03-07,37,317,0.88,3080.89,90242.06,0.97
08024,ES-B,ES-CT,Borredà,2021-03-07,0,39,1.00,0.00,3964.13,1.00
08025,ES-B,ES-CT,el Bruc,2021-03-07,0,106,1.00,0.00,21324.32,1.00
08026,ES-B,ES-CT,el Brull,2021-03-07,1,5,0.80,41.56,1106.03,0.96
08027,ES-B,ES-CT,les Cabanyes,2021-03-07,1,40,0.98,16.55,6017.12,1.00
08028,ES-B,ES-CT,Cabrera d'Anoia,2021-03-07,1,117,0.99,39.60,32148.87,1.00
08029,ES-B,ES-CT,Cabrera de Mar,2021-03-07,12,182,0.93,680.21,28658.36,0.98
08030,ES-B,ES-CT,Cabrils,2021-03-07,6,261,0.98,84.50,49501.19,1.00
08031,ES-B,ES-CT,Calaf,2021-03-07,12,130,0.91,611.68,17749.27,0.97
08032,ES-B,ES-CT,Caldes d'Estrac,2021-03-07,7,75,0.91,542.77,11949.44,0.95
08033,ES-B,ES-CT,Caldes de Montbui,2021-03-07,54,392,0.86,3211.43,74761.49,0.96
08034,ES-B,ES-CT,Calders,2021-03-07,3,59,0.95,77.91,13331.16,0.99
08035,ES-B,ES-CT,Calella,2021-03-07,6,175,0.97,1266.25,34920.97,0.96
08036,ES-B,ES-CT,Calonge de Segarra,2021-03-07,3,20,0.85,216.73,1786.90,0.88
08037,ES-B,ES-CT,Calldetenes,2021-03-07,6,119,0.95,121.72,11273.57,0.99
