id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
15001,ES-C,ES-GA,Abegondo,2021-03-07,144,154,0.06,29297.40,29962.33,0.02
15002,ES-C,ES-GA,Ames,2021-03-07,334,493,0.32,46036.65,72463.84,0.36
15003,ES-C,ES-GA,Aranga,2021-03-07,53,53,0.00,8768.42,8768.42,0.00
15004,ES-C,ES-GA,Ares,2021-03-07,12,233,0.95,782.05,40409.74,0.98
15005,ES-C,ES-GA,Arteixo,2021-03-07,291,859,0.66,33478.79,103714.97,0.68
15006,ES-C,ES-GA,Arzúa,2021-03-07,108,171,0.37,16852.65,25871.01,0.35
15007,ES-C,ES-GA,A Baña,2021-03-07,120,156,0.23,20490.51,26405.58,0.22
15008,ES-C,ES-GA,Bergondo,2021-03-07,57,126,0.55,5236.65,25195.80,0.79
15009,ES-C,ES-GA,Betanzos,2021-03-07,93,267,0.65,10906.42,31500.21,0.65
15010,ES-C,ES-GA,Boimorto,2021-03-07,29,29,0.00,7583.48,7583.48,0.00
15011,ES-C,ES-GA,Boiro,2021-03-07,111,344,0.68,16100.56,45041.61,0.64
15012,ES-C,ES-GA,Boqueixón,2021-03-07,43,67,0.36,9404.83,13837.44,0.32
15013,ES-C,ES-GA,Brión,2021-03-07,136,168,0.19,22485.60,30124.39,0.25
15014,ES-C,ES-GA,Cabana de Bergantiños,2021-03-07,284,286,0.01,53763.87,54250.31,0.01
15015,ES-C,ES-GA,Cabanas,2021-03-07,95,139,0.32,16359.26,23369.46,0.30
15016,ES-C,ES-GA,Camariñas,2021-03-07,350,480,0.27,32477.56,50660.07,0.36
15017,ES-C,ES-GA,Cambre,2021-03-07,268,428,0.37,52660.17,70996.09,0.26
15018,ES-C,ES-GA,A Capela,2021-03-07,66,66,0.00,5055.66,5055.66,0.00
15019,ES-C,ES-GA,Carballo,2021-03-07,219,600,0.64,66850.45,123025.49,0.46
15020,ES-C,ES-GA,Carnota,2021-03-07,298,303,0.02,40037.20,40538.23,0.01
15021,ES-C,ES-GA,Carral,2021-03-07,100,177,0.44,11408.09,23011.37,0.50
15022,ES-C,ES-GA,Cedeira,2021-03-07,180,320,0.44,24856.49,39682.09,0.37
15023,ES-C,ES-GA,Cee,2021-03-07,329,398,0.17,37817.14,47380.48,0.20
15024,ES-C,ES-GA,Cerceda,2021-03-07,35,90,0.61,3229.82,16881.89,0.81
15025,ES-C,ES-GA,Cerdido,2021-03-07,6,6,0.00,1154.37,1154.37,0.00
15027,ES-C,ES-GA,Coirós,2021-03-07,44,52,0.15,11675.51,13353.72,0.13
15028,ES-C,ES-GA,Corcubión,2021-03-07,85,110,0.23,6015.12,8654.38,0.30
15029,ES-C,ES-GA,Coristanco,2021-03-07,103,133,0.23,20241.89,25363.24,0.20
15030,ES-C,ES-GA,A Coruña,2021-03-07,23,3079,0.99,2032.45,298734.20,0.99
15031,ES-C,ES-GA,Culleredo,2021-03-07,110,499,0.78,13743.35,75179.15,0.82
15032,ES-C,ES-GA,Curtis,2021-03-07,174,255,0.32,15992.12,33564.66,0.52
15033,ES-C,ES-GA,Dodro,2021-03-07,133,146,0.09,18497.06,20048.62,0.08
15034,ES-C,ES-GA,Dumbría,2021-03-07,262,262,0.00,23276.55,23276.55,0.00
15035,ES-C,ES-GA,Fene,2021-03-07,55,228,0.76,6737.96,43255.45,0.84
15036,ES-C,ES-GA,Ferrol,2021-03-07,440,1201,0.63,42366.58,156685.46,0.73
15038,ES-C,ES-GA,Frades,2021-03-07,30,83,0.64,3448.69,20390.86,0.83
15039,ES-C,ES-GA,Irixoa,2021-03-07,28,29,0.03,6089.79,6551.83,0.07
15040,ES-C,ES-GA,Laxe,2021-03-07,173,240,0.28,22963.07,31401.53,0.27
15041,ES-C,ES-GA,A Laracha,2021-03-07,310,439,0.29,39331.79,57260.29,0.31
15042,ES-C,ES-GA,Lousame,2021-03-07,143,170,0.16,23279.84,27407.15,0.15
15043,ES-C,ES-GA,Malpica de Bergantiños,2021-03-07,361,448,0.19,58472.20,66032.71,0.11
15044,ES-C,ES-GA,Mañón,2021-03-07,131,192,0.32,10719.04,19169.29,0.44
15045,ES-C,ES-GA,Mazaricos,2021-03-07,475,494,0.04,54217.01,63440.39,0.15
15046,ES-C,ES-GA,Melide,2021-03-07,169,339,0.50,19491.35,44051.15,0.56
15047,ES-C,ES-GA,Mesía,2021-03-07,131,131,0.00,7554.18,7554.18,0.00
15048,ES-C,ES-GA,Miño,2021-03-07,117,225,0.48,15712.69,35715.39,0.56
15049,ES-C,ES-GA,Moeche,2021-03-07,19,31,0.39,2317.21,4379.93,0.47
15050,ES-C,ES-GA,Monfero,2021-03-07,67,67,0.00,11977.06,11977.06,0.00
15051,ES-C,ES-GA,Mugardos,2021-03-07,50,168,0.70,5542.26,30627.83,0.82
15052,ES-C,ES-GA,Muxía,2021-03-07,420,477,0.12,46735.56,51575.76,0.09
15053,ES-C,ES-GA,Muros,2021-03-07,330,399,0.17,45056.54,52040.37,0.13
15054,ES-C,ES-GA,Narón,2021-03-07,163,692,0.76,11584.17,92723.07,0.88
