id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
01001,ES-VI,ES-PV,Alegría-Dulantzi,2021-03-07,5,114,0.96,325.49,13550.84,0.98
01002,ES-VI,ES-PV,Amurrio,2021-03-07,5,224,0.98,76.68,38408.48,1.00
01003,ES-VI,ES-PV,Aramaio,2021-03-07,3,52,0.94,77.60,5546.10,0.99
01004,ES-VI,ES-PV,Artziniega,2021-03-07,72,73,0.01,7354.23,7578.00,0.03
01006,ES-VI,ES-PV,Armiñón,2021-03-07,0,35,1.00,0.00,4058.98,1.00
01008,ES-VI,ES-PV,Arratzua-Ubarrundia,2021-03-07,0,93,1.00,0.00,14357.10,1.00
01009,ES-VI,ES-PV,Asparrena,2021-03-07,3,159,0.98,285.73,19994.90,0.99
01010,ES-VI,ES-PV,Ayala/Aiara,2021-03-07,58,219,0.74,3462.80,34671.79,0.90
01011,ES-VI,ES-PV,Baños de Ebro/Mañueta,2021-03-07,0,32,1.00,0.00,4350.97,1.00
01013,ES-VI,ES-PV,Barrundia,2021-03-07,0,148,1.00,0.00,22402.52,1.00
01014,ES-VI,ES-PV,Berantevilla,2021-03-07,0,89,1.00,0.00,10635.07,1.00
01016,ES-VI,ES-PV,Bernedo,2021-03-07,0,141,1.00,0.00,13075.79,1.00
01017,ES-VI,ES-PV,Campezo/Kanpezu,2021-03-07,0,149,1.00,0.00,13158.89,1.00
01018,ES-VI,ES-PV,Zigoitia,2021-03-07,1,211,1.00,124.55,32429.13,1.00
01019,ES-VI,ES-PV,Kripan,2021-03-07,0,25,1.00,0.00,2424.04,1.00
01020,ES-VI,ES-PV,Kuartango,2021-03-07,3,76,0.96,84.81,14014.45,0.99
01021,ES-VI,ES-PV,Elburgo/Burgelu,2021-03-07,2,61,0.97,90.15,8772.77,0.99
01022,ES-VI,ES-PV,Elciego,2021-03-07,3,79,0.96,585.93,8127.49,0.93
01023,ES-VI,ES-PV,Elvillar/Bilar,2021-03-07,0,37,1.00,0.00,4685.21,1.00
01027,ES-VI,ES-PV,Iruraiz-Gauna,2021-03-07,0,69,1.00,0.00,9680.55,1.00
01028,ES-VI,ES-PV,Labastida/Bastida,2021-03-07,3,135,0.98,210.74,16495.99,0.99
01030,ES-VI,ES-PV,Lagrán,2021-03-07,0,66,1.00,0.00,5203.63,1.00
01031,ES-VI,ES-PV,Laguardia,2021-03-07,0,117,1.00,0.00,15664.45,1.00
01032,ES-VI,ES-PV,Lanciego/Lantziego,2021-03-07,0,53,1.00,0.00,5359.95,1.00
01033,ES-VI,ES-PV,Lapuebla de Labarca,2021-03-07,4,48,0.92,231.47,6834.02,0.97
01034,ES-VI,ES-PV,Leza,2021-03-07,0,30,1.00,0.00,3596.90,1.00
01036,ES-VI,ES-PV,Laudio/Llodio,2021-03-07,41,260,0.84,1590.53,37811.13,0.96
01037,ES-VI,ES-PV,Arraia-Maeztu,2021-03-07,2,164,0.99,57.66,16706.98,1.00
01039,ES-VI,ES-PV,Moreda de Álava,2021-03-07,0,28,1.00,0.00,2915.29,1.00
01041,ES-VI,ES-PV,Navaridas,2021-03-07,0,29,1.00,0.00,2641.27,1.00
01043,ES-VI,ES-PV,Oyón/Oion,2021-03-07,5,101,0.95,532.37,15961.18,0.97
01044,ES-VI,ES-PV,Peñacerrada-Urizaharra,2021-03-07,2,81,0.98,147.95,7767.29,0.98
01046,ES-VI,ES-PV,Erriberagoitia/Ribera Alta,2021-03-07,0,164,1.00,0.00,18773.82,1.00
01047,ES-VI,ES-PV,Ribera Baja/Erribera Beitia,2021-03-07,0,117,1.00,0.00,19968.26,1.00
01049,ES-VI,ES-PV,Añana,2021-03-07,0,37,1.00,0.00,3508.24,1.00
01051,ES-VI,ES-PV,Agurain/Salvatierra,2021-03-07,0,118,1.00,0.00,18597.19,1.00
01052,ES-VI,ES-PV,Samaniego,2021-03-07,1,24,0.96,57.15,5235.75,0.99
01053,ES-VI,ES-PV,San Millán/Donemiliaga,2021-03-07,3,199,0.98,134.74,23015.24,0.99
01054,ES-VI,ES-PV,Urkabustaiz,2021-03-07,7,139,0.95,497.30,29223.47,0.98
01055,ES-VI,ES-PV,Valdegovía/Gaubea,2021-03-07,1,260,1.00,85.33,30678.41,1.00
01056,ES-VI,ES-PV,Valle de Arana/Harana,2021-03-07,0,65,1.00,0.00,6089.89,1.00
01057,ES-VI,ES-PV,Villabuena de Álava/Eskuernaga,2021-03-07,0,15,1.00,0.00,3601.12,1.00
01058,ES-VI,ES-PV,Legutio,2021-03-07,5,117,0.96,267.78,18598.90,0.99
01059,ES-VI,ES-PV,Vitoria-Gasteiz,2021-03-07,120,2757,0.96,13331.62,398525.18,0.97
01060,ES-VI,ES-PV,Yécora/Iekora,2021-03-07,0,36,1.00,0.00,4460.07,1.00
01061,ES-VI,ES-PV,Zalduondo,2021-03-07,0,39,1.00,0.00,3871.65,1.00
01062,ES-VI,ES-PV,Zambrana,2021-03-07,0,95,1.00,0.00,7272.69,1.00
01063,ES-VI,ES-PV,Zuia,2021-03-07,12,206,0.94,863.46,35729.16,0.98
01409,ES-VI,ES-PV,Okondo,2021-03-07,1,18,0.94,24.62,2556.19,0.99
01901,ES-VI,ES-PV,Iruña Oka/Iruña de Oca,2021-03-07,0,304,1.00,0.00,35301.02,1.00
01902,ES-VI,ES-PV,Lantarón,2021-03-07,0,158,1.00,0.00,19766.88,1.00
-11179951,ES-VI,ES-PV,Entzia-Goiengo partzuergoa/Parzonería de Entzia-Arriba,2021-03-07,0,0,1,0.00,0.00,1
-11179952,ES-VI,ES-PV,Iturrietako partzuergoa/Parzonería de Iturrieta,2021-03-07,0,0,1,0.00,0.00,1
