id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
03001,ES-A,ES-VC,l'Atzúbia,2021-03-07,3,24,0.88,916.05,4992.88,0.82
03002,ES-A,ES-VC,Agost,2021-03-07,11,112,0.90,1253.13,18020.16,0.93
03003,ES-A,ES-VC,Agres,2021-03-07,1,20,0.95,17.36,1851.65,0.99
03004,ES-A,ES-VC,Aigües,2021-03-07,12,61,0.80,2088.92,10159.17,0.79
03005,ES-A,ES-VC,Albatera,2021-03-07,70,241,0.71,17367.54,52704.75,0.67
03006,ES-A,ES-VC,Alcalalí,2021-03-07,19,106,0.82,1732.06,14451.31,0.88
03007,ES-A,ES-VC,Alcocer de Planes,2021-03-07,0,12,1.00,0.00,1171.10,1.00
03008,ES-A,ES-VC,Alcoleja,2021-03-07,2,12,0.83,96.41,1139.81,0.92
03009,ES-A,ES-VC,Alcoi / Alcoy,2021-03-07,138,789,0.83,16723.23,121387.39,0.86
03010,ES-A,ES-VC,Alfafara,2021-03-07,3,12,0.75,138.74,2242.11,0.94
03011,ES-A,ES-VC,l'Alfàs del Pi,2021-03-07,197,687,0.71,31599.26,119267.01,0.74
03012,ES-A,ES-VC,Algorfa,2021-03-07,6,230,0.97,1136.69,44826.30,0.97
03013,ES-A,ES-VC,Algueña,2021-03-07,5,145,0.97,476.74,17120.40,0.97
03014,ES-A,ES-VC,Alacant / Alicante,2021-03-07,465,3634,0.87,55253.92,564454.97,0.90
03015,ES-A,ES-VC,Almoradí,2021-03-07,68,381,0.82,8867.29,70355.05,0.87
03016,ES-A,ES-VC,Almudaina,2021-03-07,4,18,0.78,88.59,1294.81,0.93
03017,ES-A,ES-VC,l'Alqueria d'Asnar,2021-03-07,11,32,0.66,644.09,3320.19,0.81
03018,ES-A,ES-VC,Altea,2021-03-07,328,668,0.51,80352.52,160053.25,0.50
03019,ES-A,ES-VC,Aspe,2021-03-07,47,429,0.89,5357.90,81688.16,0.93
03020,ES-A,ES-VC,Balones,2021-03-07,5,25,0.80,288.13,1537.12,0.81
03021,ES-A,ES-VC,Banyeres de Mariola,2021-03-07,84,251,0.67,11736.27,37174.14,0.68
03022,ES-A,ES-VC,Benasau,2021-03-07,0,11,1.00,0.00,2002.84,1.00
03023,ES-A,ES-VC,Beneixama,2021-03-07,0,54,1.00,0.00,13718.36,1.00
03024,ES-A,ES-VC,Benejúzar,2021-03-07,7,160,0.96,662.94,28027.71,0.98
03025,ES-A,ES-VC,Benferri,2021-03-07,9,142,0.94,1125.09,20356.76,0.94
03026,ES-A,ES-VC,Beniarbeig,2021-03-07,23,104,0.78,1840.54,13038.62,0.86
03027,ES-A,ES-VC,Beniardá,2021-03-07,4,13,0.69,184.49,632.27,0.71
03028,ES-A,ES-VC,Beniarrés,2021-03-07,23,38,0.39,1778.22,3149.79,0.44
03029,ES-A,ES-VC,Benigembla,2021-03-07,6,30,0.80,354.87,3271.15,0.89
03030,ES-A,ES-VC,Benidoleig,2021-03-07,32,59,0.46,6013.10,11508.86,0.48
03031,ES-A,ES-VC,Benidorm,2021-03-07,284,915,0.69,36731.76,149617.13,0.75
03032,ES-A,ES-VC,Benifallim,2021-03-07,2,20,0.90,414.71,1499.03,0.72
03033,ES-A,ES-VC,Benifato,2021-03-07,1,4,0.75,7.17,178.31,0.96
03034,ES-A,ES-VC,Benijófar,2021-03-07,24,175,0.86,4209.40,31888.72,0.87
03035,ES-A,ES-VC,Benilloba,2021-03-07,0,43,1.00,0.00,4376.48,1.00
03036,ES-A,ES-VC,Benillup,2021-03-07,0,6,1.00,0.00,665.75,1.00
03037,ES-A,ES-VC,Benimantell,2021-03-07,1,4,0.75,60.65,399.78,0.85
03038,ES-A,ES-VC,Benimarfull,2021-03-07,10,33,0.70,493.60,3598.23,0.86
03039,ES-A,ES-VC,Benimassot,2021-03-07,11,13,0.15,610.44,903.11,0.32
03040,ES-A,ES-VC,Benimeli,2021-03-07,6,19,0.68,344.96,1432.25,0.76
03041,ES-A,ES-VC,Benissa,2021-03-07,285,552,0.48,69784.08,129718.49,0.46
03042,ES-A,ES-VC,el Poble Nou de Benitatxell / Benitachell,2021-03-07,219,297,0.26,51284.11,72058.56,0.29
03043,ES-A,ES-VC,Biar,2021-03-07,2,161,0.99,84.22,20224.88,1.00
