id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
21001;ES-H;ES-AN;Alájar;2022-01-01;30;66;0.55;2504.36;6677.31;0.62
21002;ES-H;ES-AN;Aljaraque;2022-01-01;26;795;0.97;1773.49;126254.90;0.99
21003;ES-H;ES-AN;El Almendro;2022-01-01;0;49;1.00;0.00;6285.64;1.00
21004;ES-H;ES-AN;Almonaster la Real;2022-01-01;72;123;0.41;7586.50;12889.52;0.41
21005;ES-H;ES-AN;Almonte;2022-01-01;56;777;0.93;8125.85;123564.75;0.93
21006;ES-H;ES-AN;Alosno;2022-01-01;108;176;0.39;13198.48;26080.71;0.49
21007;ES-H;ES-AN;Aracena;2022-01-01;174;482;0.64;16283.17;47772.22;0.66
21008;ES-H;ES-AN;Aroche;2022-01-01;27;88;0.69;3365.63;10867.74;0.69
21009;ES-H;ES-AN;Arroyomolinos de León;2022-01-01;24;46;0.48;1930.46;5559.81;0.65
21010;ES-H;ES-AN;Ayamonte;2022-01-01;33;707;0.95;916.56;93840.55;0.99
21011;ES-H;ES-AN;Beas;2022-01-01;1;169;0.99;113.38;20078.42;0.99
21012;ES-H;ES-AN;Berrocal;2022-01-01;7;31;0.77;225.54;2782.29;0.92
21013;ES-H;ES-AN;Bollullos Par del Condado;2022-01-01;5;257;0.98;200.54;37199.05;0.99
21014;ES-H;ES-AN;Bonares;2022-01-01;0;122;1.00;0.00;12649.32;1.00
21015;ES-H;ES-AN;Cabezas Rubias;2022-01-01;11;58;0.81;551.77;7051.48;0.92
21016;ES-H;ES-AN;Cala;2022-01-01;15;62;0.76;1172.86;9199.75;0.87
21017;ES-H;ES-AN;Calañas;2022-01-01;0;90;1.00;0.00;10440.22;1.00
21018;ES-H;ES-AN;El Campillo;2022-01-01;12;92;0.87;454.82;12110.04;0.96
21019;ES-H;ES-AN;Campofrío;2022-01-01;27;44;0.39;3292.36;5904.29;0.44
21020;ES-H;ES-AN;Cañaveral de León;2022-01-01;5;32;0.84;347.14;3063.87;0.89
21021;ES-H;ES-AN;Cartaya;2022-01-01;11;582;0.98;596.29;79715.25;0.99
21022;ES-H;ES-AN;Castaño del Robledo;2022-01-01;17;36;0.53;709.07;2231.24;0.68
21023;ES-H;ES-AN;El Cerro de Andévalo;2022-01-01;27;68;0.60;4694.58;12204.56;0.62
21024;ES-H;ES-AN;Corteconcepción;2022-01-01;21;45;0.53;1861.17;4260.92;0.56
21025;ES-H;ES-AN;Cortegana;2022-01-01;111;182;0.39;13212.35;23435.16;0.44
21026;ES-H;ES-AN;Cortelazor;2022-01-01;8;35;0.77;473.11;2845.27;0.83
21027;ES-H;ES-AN;Cumbres de Enmedio;2022-01-01;0;4;1.00;0.00;805.26;1.00
21028;ES-H;ES-AN;Cumbres de San Bartolomé;2022-01-01;8;27;0.70;890.53;3763.65;0.76
21029;ES-H;ES-AN;Cumbres Mayores;2022-01-01;48;143;0.66;3099.55;12910.00;0.76
21030;ES-H;ES-AN;Chucena;2022-01-01;0;70;1.00;0.00;7060.45;1.00
21031;ES-H;ES-AN;Encinasola;2022-01-01;9;90;0.90;599.49;11522.23;0.95
21032;ES-H;ES-AN;Escacena del Campo;2022-01-01;2;77;0.97;95.62;8795.69;0.99
21033;ES-H;ES-AN;Fuenteheridos;2022-01-01;25;49;0.49;2297.77;4585.79;0.50
