id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
02001;ES-AB;ES-CM;Abengibre;2022-05-01;11;81;0.86;377.25;9290.98;0.96
02002;ES-AB;ES-CM;Alatoz;2022-05-01;12;59;0.80;444.78;7468.58;0.94
02003;ES-AB;ES-CM;Albacete;2022-05-01;488;2508;0.81;58619.18;389374.19;0.85
02004;ES-AB;ES-CM;Albatana;2022-05-01;23;70;0.67;2063.60;9355.30;0.78
02005;ES-AB;ES-CM;Alborea;2022-05-01;23;79;0.71;1964.10;10096.96;0.81
02006;ES-AB;ES-CM;Alcadozo;2022-05-01;48;107;0.55;3596.43;12443.89;0.71
02007;ES-AB;ES-CM;Alcalá del Júcar;2022-05-01;76;159;0.52;7581.78;19549.36;0.61
02008;ES-AB;ES-CM;Alcaraz;2022-05-01;90;229;0.61;5762.07;20756.23;0.72
02009;ES-AB;ES-CM;Almansa;2022-05-01;93;450;0.79;12059.87;82116.00;0.85
02010;ES-AB;ES-CM;Alpera;2022-05-01;27;88;0.69;3682.35;16666.28;0.78
02011;ES-AB;ES-CM;Aýna;2022-05-01;107;221;0.52;7076.70;13957.25;0.49
02012;ES-AB;ES-CM;Balazote;2022-05-01;61;156;0.61;7892.49;21019.78;0.62
02013;ES-AB;ES-CM;Balsa de Ves;2022-05-01;18;95;0.81;1426.77;9524.77;0.85
02014;ES-AB;ES-CM;El Ballestero;2022-05-01;9;53;0.83;1006.72;7391.70;0.86
02015;ES-AB;ES-CM;Barrax;2022-05-01;19;151;0.87;1203.29;24704.58;0.95
02016;ES-AB;ES-CM;Bienservida;2022-05-01;22;101;0.78;1044.51;8290.32;0.87
02017;ES-AB;ES-CM;Bogarra;2022-05-01;144;265;0.46;6559.34;14074.41;0.53
02018;ES-AB;ES-CM;Bonete;2022-05-01;27;66;0.59;2523.47;8418.55;0.70
02019;ES-AB;ES-CM;El Bonillo;2022-05-01;32;118;0.73;8130.24;25755.26;0.68
02020;ES-AB;ES-CM;Carcelén;2022-05-01;7;61;0.89;560.23;5567.56;0.90
02021;ES-AB;ES-CM;Casas de Juan Núñez;2022-05-01;11;75;0.85;1670.64;13745.55;0.88
02022;ES-AB;ES-CM;Casas de Lázaro;2022-05-01;68;110;0.38;5061.62;9916.89;0.49
02023;ES-AB;ES-CM;Casas de Ves;2022-05-01;7;75;0.91;692.81;12387.02;0.94
02024;ES-AB;ES-CM;Casas-Ibáñez;2022-05-01;27;180;0.85;2220.27;24739.32;0.91
02025;ES-AB;ES-CM;Caudete;2022-05-01;69;301;0.77;11232.10;48783.70;0.77
02026;ES-AB;ES-CM;Cenizate;2022-05-01;14;87;0.84;1060.79;12576.86;0.92
02027;ES-AB;ES-CM;Corral-Rubio;2022-05-01;11;45;0.76;724.35;4406.56;0.84
02028;ES-AB;ES-CM;Cotillas;2022-05-01;11;71;0.85;302.65;3444.64;0.91
02029;ES-AB;ES-CM;Chinchilla de Monte-Aragón;2022-05-01;150;437;0.66;23947.63;58735.07;0.59
02030;ES-AB;ES-CM;Elche de la Sierra;2022-05-01;177;490;0.64;10270.88;44924.36;0.77
02031;ES-AB;ES-CM;Férez;2022-05-01;31;88;0.65;2123.86;7715.10;0.72
