id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
32001;ES-OR;ES-GA;Allariz;2022-07-01;111;401;0.72;10246.75;44652.38;0.77
32002;ES-OR;ES-GA;Amoeiro;2022-07-01;179;179;0.00;36290.62;36290.62;0.00
32003;ES-OR;ES-GA;A Arnoia;2022-07-01;94;96;0.02;14404.74;14688.56;0.02
32004;ES-OR;ES-GA;Avión;2022-07-01;203;218;0.07;32151.47;35344.09;0.09
32005;ES-OR;ES-GA;Baltar;2022-07-01;135;137;0.01;17094.91;19218.57;0.11
32006;ES-OR;ES-GA;Bande;2022-07-01;268;286;0.06;27901.35;30094.38;0.07
32007;ES-OR;ES-GA;Baños de Molgas;2022-07-01;227;269;0.16;22789.02;29116.71;0.22
32008;ES-OR;ES-GA;Barbadás;2022-07-01;105;329;0.68;17064.81;56084.30;0.70
32009;ES-OR;ES-GA;O Barco de Valdeorras;2022-07-01;14;486;0.97;1428.13;63103.30;0.98
32010;ES-OR;ES-GA;Beade;2022-07-01;11;32;0.66;1145.74;5774.69;0.80
32011;ES-OR;ES-GA;Beariz;2022-07-01;77;93;0.17;9675.40;12538.49;0.23
32012;ES-OR;ES-GA;Os Blancos;2022-07-01;119;119;0.00;15527.04;15527.04;0.00
32013;ES-OR;ES-GA;Boborás;2022-07-01;273;293;0.07;37250.38;39943.34;0.07
32014;ES-OR;ES-GA;A Bola;2022-07-01;113;154;0.27;13121.11;17048.33;0.23
32015;ES-OR;ES-GA;O Bolo;2022-07-01;20;268;0.93;3016.52;40518.92;0.93
32016;ES-OR;ES-GA;Calvos de Randín;2022-07-01;175;176;0.01;23083.87;23129.10;0.00
32017;ES-OR;ES-GA;Carballeda de Valdeorras;2022-07-01;5;197;0.97;178.44;26706.18;0.99
32018;ES-OR;ES-GA;Carballeda de Avia;2022-07-01;149;171;0.13;20461.75;23064.02;0.11
32019;ES-OR;ES-GA;O Carballiño;2022-07-01;309;517;0.40;46182.42;76171.93;0.39
32020;ES-OR;ES-GA;Cartelle;2022-07-01;283;350;0.19;40767.09;50315.23;0.19
32021;ES-OR;ES-GA;Castrelo do Val;2022-07-01;192;236;0.19;18854.12;24292.87;0.22
