id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
19001;ES-GU;ES-CM;Abánades;2022-08-01;3;13;0.77;103.11;1248.57;0.92
19002;ES-GU;ES-CM;Ablanque;2022-08-01;5;25;0.80;133.63;1806.69;0.93
19003;ES-GU;ES-CM;Adobes;2022-08-01;4;18;0.78;145.38;1365.82;0.89
19004;ES-GU;ES-CM;Alaminos;2022-08-01;1;21;0.95;82.37;2070.82;0.96
19005;ES-GU;ES-CM;Alarilla;2022-08-01;0;8;1.00;0.00;1413.73;1.00
19006;ES-GU;ES-CM;Albalate de Zorita;2022-08-01;106;194;0.45;43796.16;94219.24;0.54
19007;ES-GU;ES-CM;Albares;2022-08-01;9;43;0.79;724.37;4989.30;0.85
19008;ES-GU;ES-CM;Albendiego;2022-08-01;0;7;1.00;0.00;1037.84;1.00
19009;ES-GU;ES-CM;Alcocer;2022-08-01;7;42;0.83;759.61;5647.67;0.87
19010;ES-GU;ES-CM;Alcolea de las Peñas;2022-08-01;4;14;0.71;159.02;1049.77;0.85
19011;ES-GU;ES-CM;Alcolea del Pinar;2022-08-01;75;113;0.34;5935.29;9431.09;0.37
19013;ES-GU;ES-CM;Alcoroches;2022-08-01;14;42;0.67;615.34;4183.38;0.85
19015;ES-GU;ES-CM;Aldeanueva de Guadalajara;2022-08-01;6;13;0.54;581.35;1828.35;0.68
19016;ES-GU;ES-CM;Algar de Mesa;2022-08-01;13;17;0.24;1348.86;1879.95;0.28
19017;ES-GU;ES-CM;Algora;2022-08-01;4;37;0.89;185.94;3060.55;0.94
19018;ES-GU;ES-CM;Alhóndiga;2022-08-01;5;30;0.83;295.58;3396.86;0.91
19019;ES-GU;ES-CM;Alique;2022-08-01;1;9;0.89;50.41;388.74;0.87
19020;ES-GU;ES-CM;Almadrones;2022-08-01;2;17;0.88;149.30;1647.03;0.91
19021;ES-GU;ES-CM;Almoguera;2022-08-01;10;60;0.83;1274.82;13751.37;0.91
19022;ES-GU;ES-CM;Almonacid de Zorita;2022-08-01;24;92;0.74;2832.88;11415.25;0.75
19023;ES-GU;ES-CM;Alocén;2022-08-01;3;26;0.88;264.10;3284.25;0.92
19024;ES-GU;ES-CM;Alovera;2022-08-01;46;302;0.85;5468.31;63446.19;0.91
19027;ES-GU;ES-CM;Alustante;2022-08-01;22;81;0.73;1405.77;5901.53;0.76
19031;ES-GU;ES-CM;Angón;2022-08-01;1;13;0.92;62.82;1593.01;0.96
19032;ES-GU;ES-CM;Anguita;2022-08-01;26;90;0.71;1320.04;7536.63;0.82
19033;ES-GU;ES-CM;Anquela del Ducado;2022-08-01;32;44;0.27;1609.81;2884.56;0.44
19034;ES-GU;ES-CM;Anquela del Pedregal;2022-08-01;8;13;0.38;467.86;1170.00;0.60
19036;ES-GU;ES-CM;Aranzueque;2022-08-01;10;34;0.71;900.14;5399.35;0.83
19037;ES-GU;ES-CM;Arbancón;2022-08-01;6;61;0.90;124.65;4331.27;0.97
19038;ES-GU;ES-CM;Arbeteta;2022-08-01;1;18;0.94;98.17;1334.68;0.93
19039;ES-GU;ES-CM;Argecilla;2022-08-01;4;27;0.85;108.17;2326.49;0.95
19040;ES-GU;ES-CM;Armallones;2022-08-01;28;38;0.26;883.74;2240.59;0.61
19041;ES-GU;ES-CM;Armuña de Tajuña;2022-08-01;10;32;0.69;679.51;4012.34;0.83
19042;ES-GU;ES-CM;Arroyo de las Fraguas;2022-08-01;1;14;0.93;38.76;932.13;0.96
19043;ES-GU;ES-CM;Atanzón;2022-08-01;1;33;0.97;32.84;3069.01;0.99
19044;ES-GU;ES-CM;Atienza;2022-08-01;12;122;0.90;1282.87;10262.33;0.87
19045;ES-GU;ES-CM;Auñón;2022-08-01;11;43;0.74;1329.44;4815.34;0.72
19046;ES-GU;ES-CM;Azuqueca de Henares;2022-08-01;104;536;0.81;7980.88;81721.52;0.90
19047;ES-GU;ES-CM;Baides;2022-08-01;14;16;0.13;2103.07;2640.52;0.20
19048;ES-GU;ES-CM;Baños de Tajo;2022-08-01;3;15;0.80;71.16;879.65;0.92
19049;ES-GU;ES-CM;Bañuelos;2022-08-01;3;10;0.70;209.07;810.83;0.74
19050;ES-GU;ES-CM;Barriopedro;2022-08-01;0;5;1.00;0.00;613.59;1.00
19051;ES-GU;ES-CM;Berninches;2022-08-01;6;11;0.45;502.67;1587.26;0.68
19052;ES-GU;ES-CM;La Bodera;2022-08-01;1;18;0.94;31.80;1508.49;0.98
19053;ES-GU;ES-CM;Brihuega;2022-08-01;115;302;0.62;9332.48;28450.59;0.67
19054;ES-GU;ES-CM;Budia;2022-08-01;4;26;0.85;371.26;2759.15;0.87
19055;ES-GU;ES-CM;Bujalaro;2022-08-01;1;27;0.96;124.95;2085.94;0.94
19057;ES-GU;ES-CM;Bustares;2022-08-01;7;15;0.53;753.84;1659.96;0.55
19058;ES-GU;ES-CM;Cabanillas del Campo;2022-08-01;85;421;0.80;8273.83;85713.07;0.90
19059;ES-GU;ES-CM;Campillo de Dueñas;2022-08-01;12;18;0.33;813.92;2058.61;0.60
19060;ES-GU;ES-CM;Campillo de Ranas;2022-08-01;17;81;0.79;1122.82;6239.26;0.82
19061;ES-GU;ES-CM;Campisábalos;2022-08-01;5;27;0.81;297.68;2771.11;0.89
19064;ES-GU;ES-CM;Canredondo;2022-08-01;7;10;0.30;1120.48;2411.57;0.54
19065;ES-GU;ES-CM;Cantalojas;2022-08-01;10;70;0.86;1795.16;5621.44;0.68
19066;ES-GU;ES-CM;Cañizar;2022-08-01;2;19;0.89;76.69;1990.11;0.96
19067;ES-GU;ES-CM;El Cardoso de la Sierra;2022-08-01;11;43;0.74;781.12;3722.44;0.79
19070;ES-GU;ES-CM;Casa de Uceda;2022-08-01;1;13;0.92;116.39;2525.08;0.95
19071;ES-GU;ES-CM;El Casar;2022-08-01;81;511;0.84;15534.42;133310.69;0.88
19073;ES-GU;ES-CM;Casas de San Galindo;2022-08-01;3;15;0.80;171.48;1407.42;0.88
19074;ES-GU;ES-CM;Caspueñas;2022-08-01;1;21;0.95;55.52;1474.47;0.96
19075;ES-GU;ES-CM;Castejón de Henares;2022-08-01;0;16;1.00;0.00;2065.89;1.00
19076;ES-GU;ES-CM;Castellar de la Muela;2022-08-01;1;3;0.67;54.37;188.19;0.71
19078;ES-GU;ES-CM;Castilforte;2022-08-01;2;15;0.87;102.02;1136.33;0.91
19079;ES-GU;ES-CM;Castilnuevo;2022-08-01;0;7;1.00;0.00;630.21;1.00
19080;ES-GU;ES-CM;Cendejas de Enmedio;2022-08-01;2;35;0.94;83.70;2763.26;0.97
19081;ES-GU;ES-CM;Cendejas de la Torre;2022-08-01;2;21;0.90;200.80;2022.55;0.90
19082;ES-GU;ES-CM;Centenera;2022-08-01;2;17;0.88;82.16;1284.27;0.94
19086;ES-GU;ES-CM;Cifuentes;2022-08-01;80;227;0.65;9280.73;30202.02;0.69
19087;ES-GU;ES-CM;Cincovillas;2022-08-01;1;8;0.88;281.88;845.15;0.67
19088;ES-GU;ES-CM;Ciruelas;2022-08-01;4;29;0.86;225.92;3229.08;0.93
19089;ES-GU;ES-CM;Ciruelos del Pinar;2022-08-01;13;19;0.32;536.83;954.31;0.44
19090;ES-GU;ES-CM;Cobeta;2022-08-01;4;17;0.76;284.70;1119.07;0.75
19091;ES-GU;ES-CM;Cogollor;2022-08-01;6;24;0.75;331.91;2032.91;0.84
19092;ES-GU;ES-CM;Cogolludo;2022-08-01;31;119;0.74;3253.00;13275.51;0.75
19095;ES-GU;ES-CM;Condemios de Abajo;2022-08-01;9;27;0.67;375.03;1314.45;0.71
19096;ES-GU;ES-CM;Condemios de Arriba;2022-08-01;14;30;0.53;826.46;2896.63;0.71
19097;ES-GU;ES-CM;Congostrina;2022-08-01;0;16;1.00;0.00;1424.18;1.00
19098;ES-GU;ES-CM;Copernal;2022-08-01;12;17;0.29;989.97;1852.29;0.47
19099;ES-GU;ES-CM;Corduente;2022-08-01;38;91;0.58;4682.33;11081.82;0.58
19102;ES-GU;ES-CM;El Cubillo de Uceda;2022-08-01;8;17;0.53;973.44;1961.44;0.50
19103;ES-GU;ES-CM;Checa;2022-08-01;28;48;0.42;1350.43;2792.00;0.52
19104;ES-GU;ES-CM;Chequilla;2022-08-01;5;11;0.55;214.32;645.59;0.67
19105;ES-GU;ES-CM;Chiloeches;2022-08-01;111;406;0.73;11457.37;84157.01;0.86
19106;ES-GU;ES-CM;Chillarón del Rey;2022-08-01;5;18;0.72;310.92;1730.76;0.82
19107;ES-GU;ES-CM;Driebes;2022-08-01;3;42;0.93;522.44;5725.81;0.91
19108;ES-GU;ES-CM;Durón;2022-08-01;8;28;0.71;1355.68;3908.53;0.65
19109;ES-GU;ES-CM;Embid;2022-08-01;5;18;0.72;432.78;1677.15;0.74
19110;ES-GU;ES-CM;Escamilla;2022-08-01;8;25;0.68;556.29;2434.90;0.77
19111;ES-GU;ES-CM;Escariche;2022-08-01;8;31;0.74;421.22;3879.88;0.89
19112;ES-GU;ES-CM;Escopete;2022-08-01;2;21;0.90;135.89;3737.07;0.96
19113;ES-GU;ES-CM;Espinosa de Henares;2022-08-01;3;93;0.97;317.17;14465.00;0.98
