id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
23001;ES-J;ES-AN;Albanchez de Mágina;2022-08-01;20;82;0.76;3082.17;8990.58;0.66
23002;ES-J;ES-AN;Alcalá la Real;2022-08-01;163;521;0.69;32151.09;93314.41;0.66
23003;ES-J;ES-AN;Alcaudete;2022-08-01;54;316;0.83;6989.95;53383.75;0.87
23004;ES-J;ES-AN;Aldeaquemada;2022-08-01;3;54;0.94;205.24;6676.70;0.97
23005;ES-J;ES-AN;Andújar;2022-08-01;198;823;0.76;16803.26;100678.46;0.83
23006;ES-J;ES-AN;Arjona;2022-08-01;6;162;0.96;714.48;20334.40;0.96
23007;ES-J;ES-AN;Arjonilla;2022-08-01;19;154;0.88;1607.61;17417.57;0.91
23008;ES-J;ES-AN;Arquillos;2022-08-01;6;69;0.91;1170.26;12515.98;0.91
23009;ES-J;ES-AN;Baeza;2022-08-01;98;636;0.85;14422.15;86122.94;0.83
23010;ES-J;ES-AN;Bailén;2022-08-01;71;355;0.80;10083.62;58114.77;0.83
23011;ES-J;ES-AN;Baños de la Encina;2022-08-01;72;210;0.66;6459.45;22014.29;0.71
23012;ES-J;ES-AN;Beas de Segura;2022-08-01;26;178;0.85;3483.44;20570.68;0.83
23014;ES-J;ES-AN;Begíjar;2022-08-01;15;136;0.89;931.25;20176.43;0.95
23015;ES-J;ES-AN;Bélmez de la Moraleda;2022-08-01;7;72;0.90;522.47;6654.72;0.92
23016;ES-J;ES-AN;Benatae;2022-08-01;8;53;0.85;523.65;5218.78;0.90
23017;ES-J;ES-AN;Cabra del Santo Cristo;2022-08-01;14;71;0.80;1978.99;9635.44;0.79
23018;ES-J;ES-AN;Cambil;2022-08-01;51;128;0.60;3514.94;12968.82;0.73
23019;ES-J;ES-AN;Campillo de Arenas;2022-08-01;8;80;0.90;294.36;8662.66;0.97
23020;ES-J;ES-AN;Canena;2022-08-01;18;114;0.84;846.62;11607.24;0.93
23021;ES-J;ES-AN;Carboneros;2022-08-01;13;42;0.69;3503.42;7626.37;0.54
23024;ES-J;ES-AN;La Carolina;2022-08-01;114;432;0.74;14019.10;76271.13;0.82
23025;ES-J;ES-AN;Castellar;2022-08-01;10;109;0.91;799.89;17914.82;0.96
23026;ES-J;ES-AN;Castillo de Locubín;2022-08-01;24;150;0.84;2898.45;19518.73;0.85
23027;ES-J;ES-AN;Cazalilla;2022-08-01;8;45;0.82;804.88;5368.34;0.85
23028;ES-J;ES-AN;Cazorla;2022-08-01;26;285;0.91;3642.40;31397.74;0.88
