id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
15001;ES-C;ES-GA;Abegondo;2023-02-01;201;215;0.07;31498.71;32540.30;0.03
15002;ES-C;ES-GA;Ames;2023-02-01;368;547;0.33;48085.85;74817.95;0.36
15003;ES-C;ES-GA;Aranga;2023-02-01;51;51;0.00;8626.96;8626.96;0.00
15004;ES-C;ES-GA;Ares;2023-02-01;13;238;0.95;864.56;41576.75;0.98
15005;ES-C;ES-GA;Arteixo;2023-02-01;260;881;0.70;30015.03;110360.83;0.73
15006;ES-C;ES-GA;Arzúa;2023-02-01;107;173;0.38;16734.14;26023.82;0.36
15007;ES-C;ES-GA;A Baña;2023-02-01;145;183;0.21;23721.77;30584.57;0.22
15008;ES-C;ES-GA;Bergondo;2023-02-01;37;104;0.64;3200.52;14985.79;0.79
15009;ES-C;ES-GA;Betanzos;2023-02-01;63;253;0.75;7303.40;26845.84;0.73
15010;ES-C;ES-GA;Boimorto;2023-02-01;23;32;0.28;6393.74;7744.70;0.17
15011;ES-C;ES-GA;Boiro;2023-02-01;10;570;0.98;839.84;59703.59;0.99
15012;ES-C;ES-GA;Boqueixón;2023-02-01;49;88;0.44;10044.11;15402.62;0.35
15013;ES-C;ES-GA;Brión;2023-02-01;414;471;0.12;46589.00;55843.46;0.17
15014;ES-C;ES-GA;Cabana de Bergantiños;2023-02-01;281;283;0.01;52450.04;52936.49;0.01
15015;ES-C;ES-GA;Cabanas;2023-02-01;15;143;0.90;898.88;16825.42;0.95
15017;ES-C;ES-GA;Cambre;2023-02-01;248;500;0.50;43692.09;75768.01;0.42
15018;ES-C;ES-GA;A Capela;2023-02-01;62;62;0.00;4797.05;4797.05;0.00
15019;ES-C;ES-GA;Carballo;2023-02-01;183;626;0.71;57707.82;124878.02;0.54
15020;ES-C;ES-GA;Carnota;2023-02-01;299;305;0.02;40039.01;40567.36;0.01
15021;ES-C;ES-GA;Carral;2023-02-01;190;288;0.34;15991.95;29161.71;0.45
15022;ES-C;ES-GA;Cedeira;2023-02-01;180;322;0.44;24851.98;39677.53;0.37
15023;ES-C;ES-GA;Cee;2023-02-01;323;403;0.20;37340.43;47718.19;0.22
15024;ES-C;ES-GA;Cerceda;2023-02-01;35;90;0.61;3229.82;16881.89;0.81
15025;ES-C;ES-GA;Cerdido;2023-02-01;6;6;0.00;1154.37;1154.37;0.00
15027;ES-C;ES-GA;Coirós;2023-02-01;44;51;0.14;11675.51;13281.81;0.12
15028;ES-C;ES-GA;Corcubión;2023-02-01;88;113;0.22;6242.70;8893.88;0.30
15029;ES-C;ES-GA;Coristanco;2023-02-01;113;143;0.21;20733.08;25854.43;0.20
15030;ES-C;ES-GA;A Coruña;2023-02-01;2;3131;1.00;24.66;301167.54;1.00
15031;ES-C;ES-GA;Culleredo;2023-02-01;93;503;0.82;11341.33;74056.48;0.85
15032;ES-C;ES-GA;Curtis;2023-02-01;169;250;0.32;15733.98;33304.56;0.53
15033;ES-C;ES-GA;Dodro;2023-02-01;127;147;0.14;17538.90;20096.47;0.13
15034;ES-C;ES-GA;Dumbría;2023-02-01;262;265;0.01;23180.20;23386.20;0.01
15035;ES-C;ES-GA;Fene;2023-02-01;30;231;0.87;2034.42;31712.92;0.94
15036;ES-C;ES-GA;Ferrol;2023-02-01;403;1183;0.66;35282.18;146468.20;0.76
15038;ES-C;ES-GA;Frades;2023-02-01;27;83;0.67;3200.78;22117.43;0.86
15039;ES-C;ES-GA;Irixoa;2023-02-01;17;17;0.00;2693.28;2693.28;0.00
15040;ES-C;ES-GA;Laxe;2023-02-01;153;230;0.33;17904.11;26360.39;0.32
15041;ES-C;ES-GA;A Laracha;2023-02-01;304;440;0.31;38825.78;56991.46;0.32
15042;ES-C;ES-GA;Lousame;2023-02-01;8;172;0.95;676.56;25920.96;0.97
15043;ES-C;ES-GA;Malpica de Bergantiños;2023-02-01;360;447;0.19;55964.86;63515.02;0.12
15044;ES-C;ES-GA;Mañón;2023-02-01;131;192;0.32;10719.04;19169.29;0.44
15045;ES-C;ES-GA;Mazaricos;2023-02-01;478;501;0.05;52260.58;58226.70;0.10
15046;ES-C;ES-GA;Melide;2023-02-01;170;345;0.51;19654.94;44618.48;0.56
15047;ES-C;ES-GA;Mesía;2023-02-01;117;122;0.04;7544.85;8502.48;0.11
15048;ES-C;ES-GA;Miño;2023-02-01;108;224;0.52;16010.98;36142.60;0.56
15049;ES-C;ES-GA;Moeche;2023-02-01;21;33;0.36;2495.35;4558.08;0.45
15050;ES-C;ES-GA;Monfero;2023-02-01;33;33;0.00;4810.21;4810.21;0.00
15051;ES-C;ES-GA;Mugardos;2023-02-01;49;171;0.71;5678.45;31234.11;0.82
15052;ES-C;ES-GA;Muxía;2023-02-01;422;479;0.12;46766.66;51657.74;0.09
15053;ES-C;ES-GA;Muros;2023-02-01;331;404;0.18;42911.74;50205.27;0.15
15054;ES-C;ES-GA;Narón;2023-02-01;132;718;0.82;9071.55;94777.84;0.90
15055;ES-C;ES-GA;Neda;2023-02-01;17;124;0.86;1050.34;17124.51;0.94
15056;ES-C;ES-GA;Negreira;2023-02-01;62;237;0.74;8812.95;34475.31;0.74
15057;ES-C;ES-GA;Noia;2023-02-01;25;284;0.91;2198.22;32539.18;0.93
15059;ES-C;ES-GA;Ordes;2023-02-01;44;186;0.76;5090.54;27435.25;0.81
15060;ES-C;ES-GA;Oroso;2023-02-01;54;127;0.57;7709.59;17067.88;0.55
15061;ES-C;ES-GA;Ortigueira;2023-02-01;316;454;0.30;36191.36;59511.77;0.39
15062;ES-C;ES-GA;Outes;2023-02-01;98;154;0.36;18407.34;29699.98;0.38
15064;ES-C;ES-GA;Paderne;2023-02-01;31;43;0.28;6475.97;8185.99;0.21
15065;ES-C;ES-GA;Padrón;2023-02-01;222;290;0.23;33891.40;39806.05;0.15
15066;ES-C;ES-GA;O Pino;2023-02-01;109;141;0.23;20119.90;26685.58;0.25
15067;ES-C;ES-GA;A Pobra do Caramiñal;2023-02-01;89;354;0.75;5224.65;39075.57;0.87
15068;ES-C;;Ponteceso;2023-02-01;417;478;0.13;65376.40;74858.78;0.13
15069;ES-C;ES-GA;Pontedeume;2023-02-01;89;200;0.56;11473.08;23033.55;0.50
15070;ES-C;ES-GA;As Pontes de García Rodríguez;2023-02-01;109;343;0.68;9733.25;45646.65;0.79
15071;ES-C;ES-GA;Porto do Son;2023-02-01;137;323;0.58;23926.10;40627.56;0.41
15072;ES-C;ES-GA;Rianxo;2023-02-01;285;468;0.39;56188.40;78281.49;0.28
15073;ES-C;ES-GA;Ribeira;2023-02-01;238;603;0.61;30386.67;81290.02;0.63
15074;ES-C;ES-GA;Rois;2023-02-01;239;256;0.07;34266.18;36656.08;0.07
15075;ES-C;ES-GA;Sada;2023-02-01;98;294;0.67;17204.04;50073.33;0.66
