id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
27001;ES-LU;ES-GA;Abadín;2023-03-01;30;61;0.51;6057.75;12852.17;0.53
27002;ES-LU;ES-GA;Alfoz;2023-03-01;1;39;0.97;164.47;6910.64;0.98
27003;ES-LU;ES-GA;Antas de Ulla;2023-03-01;218;246;0.11;33764.66;39190.18;0.14
27004;ES-LU;ES-GA;Baleira;2023-03-01;185;257;0.28;24138.29;32551.16;0.26
27005;ES-LU;ES-GA;Barreiros;2023-03-01;42;87;0.52;5980.09;18015.88;0.67
27006;ES-LU;ES-GA;Becerreá;2023-03-01;293;348;0.16;39024.67;49353.41;0.21
27007;ES-LU;ES-GA;Begonte;2023-03-01;1;102;0.99;60.12;16183.57;1.00
27008;ES-LU;ES-GA;Bóveda;2023-03-01;143;160;0.11;19288.15;21965.71;0.12
27009;ES-LU;ES-GA;Carballedo;2023-03-01;355;412;0.14;39572.95;51077.66;0.23
27010;ES-LU;ES-GA;Castro de Rei;2023-03-01;317;466;0.32;39625.89;59855.23;0.34
27011;ES-LU;ES-GA;Castroverde;2023-03-01;376;423;0.11;47836.06;55648.27;0.14
27012;ES-LU;ES-GA;Cervantes;2023-03-01;332;373;0.11;39410.51;44385.83;0.11
27013;ES-LU;ES-GA;Cervo;2023-03-01;10;153;0.93;660.36;18413.50;0.96
27014;ES-LU;ES-GA;O Corgo;2023-03-01;427;464;0.08;53767.91;60153.44;0.11
27015;ES-LU;ES-GA;Cospeito;2023-03-01;62;132;0.53;15202.27;29341.87;0.48
27016;ES-LU;ES-GA;Chantada;2023-03-01;633;733;0.14;73152.34;90349.37;0.19
27017;ES-LU;ES-GA;Folgoso do Courel;2023-03-01;280;372;0.25;20507.78;31902.49;0.36
27018;ES-LU;ES-GA;A Fonsagrada;2023-03-01;466;532;0.12;54960.78;64534.70;0.15
27019;ES-LU;ES-GA;Foz;2023-03-01;5;166;0.97;500.98;31403.11;0.98
27020;ES-LU;ES-GA;Friol;2023-03-01;1;132;0.99;155.09;19829.12;0.99
27021;ES-LU;ES-GA;Xermade;2023-03-01;1;47;0.98;741.84;6984.45;0.89
27022;ES-LU;ES-GA;Guitiriz;2023-03-01;0;495;1.00;0.00;62779.60;1.00
27023;ES-LU;ES-GA;Guntín;2023-03-01;87;122;0.29;25363.92;37431.25;0.32
27024;ES-LU;ES-GA;O Incio;2023-03-01;260;348;0.25;33517.47;43536.78;0.23
27025;ES-LU;ES-GA;Xove;2023-03-01;3;41;0.93;269.26;7443.76;0.96
27026;ES-LU;ES-GA;Láncara;2023-03-01;321;350;0.08;37636.15;44216.46;0.15
27027;ES-LU;ES-GA;Lourenzá;2023-03-01;50;163;0.69;3702.60;20039.93;0.82
27028;ES-LU;ES-GA;Lugo;2023-03-01;15;2530;0.99;1326.31;355153.73;1.00
27029;ES-LU;ES-GA;Meira;2023-03-01;131;168;0.22;14905.02;21056.65;0.29
27030;ES-LU;ES-GA;Mondoñedo;2023-03-01;33;306;0.89;2345.44;33154.83;0.93
27031;ES-LU;ES-GA;Monforte de Lemos;2023-03-01;501;642;0.22;62168.14;99115.46;0.37
27032;ES-LU;ES-GA;Monterroso;2023-03-01;289;428;0.32;33672.62;50027.09;0.33
27033;ES-LU;ES-GA;Muras;2023-03-01;0;12;1.00;0.00;2273.16;1.00
27034;ES-LU;ES-GA;Navia de Suarna;2023-03-01;357;435;0.18;42382.00;51163.80;0.17
27035;ES-LU;ES-GA;Negueira de Muñiz;2023-03-01;4;43;0.91;205.04;4810.70;0.96
27037;ES-LU;ES-GA;As Nogais;2023-03-01;131;185;0.29;15572.23;24945.67;0.38
27038;ES-LU;ES-GA;Ourol;2023-03-01;3;13;0.77;125.50;1583.19;0.92
27039;ES-LU;ES-GA;Outeiro de Rei;2023-03-01;20;283;0.93;4841.28;55255.37;0.91
27040;ES-LU;ES-GA;Palas de Rei;2023-03-01;157;386;0.59;19410.80;51486.34;0.62
27041;ES-LU;ES-GA;Pantón;2023-03-01;211;263;0.20;36630.51;44554.39;0.18
27042;ES-LU;ES-GA;Paradela;2023-03-01;235;260;0.10;29835.66;34084.12;0.12
27043;ES-LU;ES-GA;O Páramo;2023-03-01;144;146;0.01;19503.31;20296.32;0.04
27044;ES-LU;ES-GA;A Pastoriza;2023-03-01;606;654;0.07;66959.27;74489.09;0.10
