id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
30001;ES-MU;ES-MC;Abanilla;2023-03-01;138;372;0.63;22272.07;52279.95;0.57
30002;ES-MU;ES-MC;Abarán;2023-03-01;70;248;0.72;8393.08;32140.89;0.74
30003;ES-MU;ES-MC;Águilas;2023-03-01;444;989;0.55;63467.83;152120.28;0.58
30004;ES-MU;ES-MC;Albudeite;2023-03-01;19;94;0.80;1016.72;10051.51;0.90
30005;ES-MU;ES-MC;Alcantarilla;2023-03-01;161;603;0.73;20026.44;94835.03;0.79
30006;ES-MU;ES-MC;Aledo;2023-03-01;26;78;0.67;2331.30;7899.71;0.70
30007;ES-MU;ES-MC;Alguazas;2023-03-01;62;176;0.65;8670.12;30533.83;0.72
30008;ES-MU;ES-MC;Alhama de Murcia;2023-03-01;136;809;0.83;13394.00;129207.91;0.90
30009;ES-MU;ES-MC;Archena;2023-03-01;129;501;0.74;9976.09;73372.98;0.86
30010;ES-MU;ES-MC;Beniel;2023-03-01;43;235;0.82;6162.69;32037.76;0.81
30011;ES-MU;ES-MC;Blanca;2023-03-01;25;164;0.85;1208.47;17375.34;0.93
30012;ES-MU;ES-MC;Bullas;2023-03-01;42;433;0.90;6122.11;72526.45;0.92
30013;ES-MU;ES-MC;Calasparra;2023-03-01;103;381;0.73;21443.65;65274.76;0.67
30014;ES-MU;ES-MC;Campos del Río;2023-03-01;21;113;0.81;1669.93;15461.48;0.89
30015;ES-MU;ES-MC;Caravaca de la Cruz;2023-03-01;368;810;0.55;38127.01;94278.88;0.60
30016;ES-MU;ES-MC;Cartagena;2023-03-01;1521;6545;0.77;173962.51;807921.95;0.78
30017;ES-MU;ES-MC;Cehegín;2023-03-01;172;794;0.78;14362.10;76432.95;0.81
30018;ES-MU;ES-MC;Ceutí;2023-03-01;32;408;0.92;2328.45;63466.19;0.96
30019;ES-MU;ES-MC;Cieza;2023-03-01;61;414;0.85;12117.59;71936.85;0.83
30020;ES-MU;ES-MC;Fortuna;2023-03-01;180;414;0.57;46855.02;87567.06;0.46
30021;ES-MU;ES-MC;Fuente Álamo de Murcia;2023-03-01;521;891;0.42;105139.12;158300.92;0.34
30022;ES-MU;ES-MC;Jumilla;2023-03-01;145;391;0.63;20541.65;66946.00;0.69
30023;ES-MU;ES-MC;Librilla;2023-03-01;71;255;0.72;10257.77;36205.33;0.72
30024;ES-MU;ES-MC;Lorca;2023-03-01;769;2173;0.65;69069.99;230686.29;0.70
30025;ES-MU;ES-MC;Lorquí;2023-03-01;93;384;0.76;15665.27;70945.18;0.78
30026;ES-MU;ES-MC;Mazarrón;2023-03-01;636;1566;0.59;65301.60;239096.62;0.73
30027;ES-MU;ES-MC;Molina de Segura;2023-03-01;591;1624;0.64;116099.71;370744.38;0.69
30028;ES-MU;ES-MC;Moratalla;2023-03-01;255;494;0.48;23003.77;48014.17;0.52
30029;ES-MU;ES-MC;Mula;2023-03-01;113;500;0.77;12312.52;64434.84;0.81
30030;ES-MU;ES-MC;Murcia;2023-03-01;3943;10122;0.61;598375.81;1593613.14;0.62
30031;ES-MU;ES-MC;Ojós;2023-03-01;5;32;0.84;228.20;2880.17;0.92
30032;ES-MU;ES-MC;Pliego;2023-03-01;24;220;0.89;1500.38;21615.65;0.93
30033;ES-MU;ES-MC;Puerto Lumbreras;2023-03-01;75;408;0.82;6756.94;59366.54;0.89
30034;ES-MU;ES-MC;Ricote;2023-03-01;13;98;0.87;625.14;8764.29;0.93
30035;ES-MU;ES-MC;San Javier;2023-03-01;308;1172;0.74;32620.63;202026.69;0.84
30036;ES-MU;ES-MC;San Pedro del Pinatar;2023-03-01;122;789;0.85;20779.57;147028.49;0.86
30037;ES-MU;ES-MC;Torre Pacheco;2023-03-01;339;2081;0.84;38426.73;295310.44;0.87
30038;ES-MU;ES-MC;Las Torres de Cotillas;2023-03-01;160;588;0.73;25679.53;128876.05;0.80
30039;ES-MU;ES-MC;Totana;2023-03-01;143;760;0.81;19095.14;108821.68;0.82
30040;ES-MU;ES-MC;Ulea;2023-03-01;14;67;0.79;475.94;5128.86;0.91
30041;ES-MU;ES-MC;La Unión;2023-03-01;58;793;0.93;3555.33;81453.72;0.96
30042;ES-MU;ES-MC;Villanueva del Río Segura;2023-03-01;29;116;0.75;2254.15;14159.93;0.84
30043;ES-MU;ES-MC;Yecla;2023-03-01;274;524;0.48;51512.56;107820.72;0.52
30901;ES-MU;ES-MC;Santomera;2023-03-01;79;407;0.81;21611.18;64115.51;0.66
30902;ES-MU;ES-MC;Los Alcázares;2023-03-01;19;754;0.97;1893.18;148095.81;0.99
