id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
41001;ES-SE;ES-AN;Aguadulce;2023-05-01;0;84;1.00;0.00;12068.02;1.00
41002;ES-SE;ES-AN;Alanís;2023-05-01;32;57;0.44;4773.23;7982.32;0.40
41003;ES-SE;ES-AN;Albaida del Aljarafe;2023-05-01;13;88;0.85;583.68;10780.20;0.95
41004;ES-SE;ES-AN;Alcalá de Guadaíra;2023-05-01;361;1775;0.80;37492.82;294163.94;0.87
41005;ES-SE;ES-AN;Alcalá del Río;2023-05-01;239;408;0.41;29632.10;51480.71;0.42
41006;ES-SE;ES-AN;Alcolea del Río;2023-05-01;38;141;0.73;3350.62;17472.90;0.81
41007;ES-SE;ES-AN;La Algaba;2023-05-01;111;471;0.76;4591.21;45611.91;0.90
41008;ES-SE;ES-AN;Algámitas;2023-05-01;18;57;0.68;1623.19;6273.93;0.74
41009;ES-SE;ES-AN;Almadén de la Plata;2023-05-01;22;68;0.68;3223.55;7730.94;0.58
41010;ES-SE;ES-AN;Almensilla;2023-05-01;22;148;0.85;7474.66;33977.30;0.78
41011;ES-SE;ES-AN;Arahal;2023-05-01;116;499;0.77;40446.90;98968.14;0.59
41012;ES-SE;ES-AN;Aznalcázar;2023-05-01;32;169;0.81;8274.62;27054.86;0.69
41013;ES-SE;ES-AN;Aznalcóllar;2023-05-01;60;277;0.78;9062.13;47165.84;0.81
41014;ES-SE;ES-AN;Badolatosa;2023-05-01;28;111;0.75;2128.89;15119.12;0.86
41015;ES-SE;ES-AN;Benacazón;2023-05-01;0;180;1.00;0.00;24993.77;1.00
41016;ES-SE;ES-AN;Bollullos de la Mitación;2023-05-01;42;363;0.88;3665.16;66216.05;0.94
41017;ES-SE;ES-AN;Bormujos;2023-05-01;114;451;0.75;12958.43;67108.08;0.81
41018;ES-SE;ES-AN;Brenes;2023-05-01;27;186;0.85;3533.38;37323.74;0.91
41019;ES-SE;ES-AN;Burguillos;2023-05-01;48;283;0.83;3265.04;39889.33;0.92
41020;ES-SE;ES-AN;Las Cabezas de San Juan;2023-05-01;158;602;0.74;19459.33;82125.00;0.76
41021;ES-SE;ES-AN;Camas;2023-05-01;264;562;0.53;27037.19;72663.90;0.63
41022;ES-SE;ES-AN;La Campana;2023-05-01;6;181;0.97;418.55;25196.15;0.98
41023;ES-SE;ES-AN;Cantillana;2023-05-01;35;321;0.89;2417.19;41422.13;0.94
41024;ES-SE;ES-AN;Carmona;2023-05-01;268;803;0.67;90698.79;177578.88;0.49
41025;ES-SE;ES-AN;Carrión de los Céspedes;2023-05-01;23;95;0.76;3643.45;14348.23;0.75
41026;ES-SE;ES-AN;Casariche;2023-05-01;42;206;0.80;3463.18;30787.02;0.89
41027;ES-SE;ES-AN;Castilblanco de los Arroyos;2023-05-01;69;214;0.68;24044.53;43438.72;0.45
41028;ES-SE;ES-AN;Castilleja de Guzmán;2023-05-01;11;81;0.86;600.88;11168.25;0.95
41029;ES-SE;ES-AN;Castilleja de la Cuesta;2023-05-01;39;319;0.88;2109.14;31964.40;0.93
41030;ES-SE;ES-AN;Castilleja del Campo;2023-05-01;11;34;0.68;797.33;3631.27;0.78
41031;ES-SE;ES-AN;El Castillo de las Guardas;2023-05-01;51;112;0.54;9819.39;20680.29;0.53
41032;ES-SE;ES-AN;Cazalla de la Sierra;2023-05-01;56;219;0.74;6525.98;26927.75;0.76
41033;ES-SE;ES-AN;Constantina;2023-05-01;36;143;0.75;3624.15;16415.27;0.78
41034;ES-SE;ES-AN;Coria del Río;2023-05-01;98;442;0.78;18598.57;93012.79;0.80
41035;ES-SE;ES-AN;Coripe;2023-05-01;12;73;0.84;764.88;7829.61;0.90
41036;ES-SE;ES-AN;El Coronil;2023-05-01;40;173;0.77;6867.39;25019.51;0.73
41037;ES-SE;ES-AN;Los Corrales;2023-05-01;19;117;0.84;1877.90;17740.06;0.89
41038;ES-SE;ES-AN;Dos Hermanas;2023-05-01;741;2247;0.67;84910.60;356906.01;0.76
41039;ES-SE;ES-AN;Écija;2023-05-01;271;833;0.67;36331.61;123378.19;0.71
41040;ES-SE;ES-AN;Espartinas;2023-05-01;114;659;0.83;6238.71;102884.14;0.94
41041;ES-SE;ES-AN;Estepa;2023-05-01;90;207;0.57;17575.61;42283.19;0.58
41042;ES-SE;ES-AN;Fuentes de Andalucía;2023-05-01;39;266;0.85;1378.30;38706.83;0.96
