id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
20001;ES-SS;ES-PV;Abaltzisketa;2023-06-01;0;0;1;0.00;0.00;1
20002;ES-SS;ES-PV;Aduna;2023-06-01;21;25;0.16;2386.68;2636.63;0.09
20003;ES-SS;ES-PV;Aizarnazabal;2023-06-01;10;23;0.57;737.96;2563.10;0.71
20004;ES-SS;ES-PV;Albiztur;2023-06-01;2;19;0.89;126.34;963.48;0.87
20005;ES-SS;ES-PV;Alegia;2023-06-01;6;41;0.85;713.44;3443.07;0.79
20006;ES-SS;ES-PV;Alkiza;2023-06-01;0;23;1.00;0.00;1053.80;1.00
20007;ES-SS;ES-PV;Altzo;2023-06-01;1;2;0.50;288.25;454.36;0.37
20008;ES-SS;ES-PV;Amezketa;2023-06-01;5;24;0.79;595.08;1006.46;0.41
20009;ES-SS;ES-PV;Andoain;2023-06-01;115;282;0.59;6071.30;21390.12;0.72
20010;ES-SS;ES-PV;Anoeta;2023-06-01;23;35;0.34;1606.32;2779.64;0.42
20011;ES-SS;ES-PV;Antzuola;2023-06-01;43;80;0.46;1700.80;4473.75;0.62
20012;ES-SS;ES-PV;Arama;2023-06-01;0;19;1.00;0.00;837.72;1.00
20013;ES-SS;ES-PV;Aretxabaleta;2023-06-01;61;106;0.42;5610.38;12113.96;0.54
20014;ES-SS;ES-PV;Asteasu;2023-06-01;7;44;0.84;560.86;5093.97;0.89
20015;ES-SS;ES-PV;Ataun;2023-06-01;4;16;0.75;298.96;970.05;0.69
20016;ES-SS;ES-PV;Aia;2023-06-01;28;51;0.45;2561.00;5589.15;0.54
20017;ES-SS;ES-PV;Azkoitia;2023-06-01;72;184;0.61;6912.24;19249.02;0.64
20018;ES-SS;ES-PV;Azpeitia;2023-06-01;141;253;0.44;9085.03;21824.06;0.58
20019;ES-SS;ES-PV;Beasain;2023-06-01;62;172;0.64;3607.95;18637.39;0.81
20020;ES-SS;ES-PV;Beizama;2023-06-01;1;4;0.75;132.96;324.81;0.59
20021;ES-SS;ES-PV;Belauntza;2023-06-01;6;12;0.50;797.00;1125.88;0.29
20022;ES-SS;ES-PV;Berastegi;2023-06-01;12;65;0.82;806.12;5743.55;0.86
20023;ES-SS;ES-PV;Berrobi;2023-06-01;19;28;0.32;1328.79;2926.44;0.55
20024;ES-SS;ES-PV;Bidania-Goiatz;2023-06-01;2;20;0.90;119.07;1857.05;0.94
20025;ES-SS;ES-PV;Zegama;2023-06-01;2;63;0.97;127.16;3461.01;0.96
20026;ES-SS;ES-PV;Zerain;2023-06-01;0;0;1;0.00;0.00;1
20027;ES-SS;ES-PV;Zestoa;2023-06-01;43;101;0.57;4922.46;11055.49;0.55
20028;ES-SS;ES-PV;Zizurkil;2023-06-01;13;29;0.55;1412.23;3392.48;0.58
20029;ES-SS;ES-PV;Deba;2023-06-01;29;95;0.69;3102.83;10615.81;0.71
20030;ES-SS;ES-PV;Eibar;2023-06-01;78;285;0.73;3698.73;32746.29;0.89
20031;ES-SS;ES-PV;Elduain;2023-06-01;14;22;0.36;2339.90;2717.34;0.14
20032;ES-SS;ES-PV;Elgoibar;2023-06-01;61;184;0.67;6074.97;19671.13;0.69
20033;ES-SS;ES-PV;Elgeta;2023-06-01;31;44;0.30;3942.38;5658.52;0.30
20034;ES-SS;ES-PV;Eskoriatza;2023-06-01;27;70;0.61;1984.43;7746.38;0.74
20035;ES-SS;ES-PV;Ezkio-Itsaso;2023-06-01;16;42;0.62;1144.77;3937.44;0.71
20036;ES-SS;ES-PV;Hondarribia/Fontarrabie;2023-06-01;93;259;0.64;8699.46;37621.31;0.77
20037;ES-SS;ES-PV;Gaintza;2023-06-01;0;1;1.00;0.00;92.63;1.00
20038;ES-SS;ES-PV;Gabiria;2023-06-01;8;23;0.65;468.92;1732.12;0.73
20039;ES-SS;ES-PV;Getaria;2023-06-01;29;74;0.61;2785.23;8777.56;0.68
20040;ES-SS;ES-PV;Hernani;2023-06-01;172;306;0.44;20596.13;40053.48;0.49
20041;ES-SS;ES-PV;Hernialde;2023-06-01;3;14;0.79;1110.85;4232.59;0.74
20042;ES-SS;ES-PV;Ibarra;2023-06-01;47;74;0.36;2482.76;5721.53;0.57
20043;ES-SS;ES-PV;Idiazabal;2023-06-01;33;73;0.55;2668.62;5568.00;0.52
20044;ES-SS;ES-PV;Ikaztegieta;2023-06-01;10;10;0.00;994.74;994.74;0.00
20045;ES-SS;ES-PV;Irun;2023-06-01;120;755;0.84;10850.81;84045.22;0.87
20046;ES-SS;ES-PV;Irura;2023-06-01;45;66;0.32;5496.60;7985.07;0.31
20047;ES-SS;ES-PV;Itsasondo;2023-06-01;0;14;1.00;0.00;989.00;1.00
20048;ES-SS;ES-PV;Larraul;2023-06-01;1;11;0.91;33.10;828.79;0.96
20049;ES-SS;ES-PV;Lazkao;2023-06-01;51;110;0.54;4772.37;12017.51;0.60
20050;ES-SS;ES-PV;Leaburu;2023-06-01;1;5;0.80;299.55;623.20;0.52
20051;ES-SS;ES-PV;Legazpi;2023-06-01;109;241;0.55;7934.46;24619.10;0.68
20052;ES-SS;ES-PV;Legorreta;2023-06-01;2;51;0.96;48.36;3266.69;0.99
20053;ES-SS;ES-PV;Lezo;2023-06-01;52;130;0.60;5649.49;18229.26;0.69
20054;ES-SS;ES-PV;Lizartza;2023-06-01;3;20;0.85;38.45;1438.94;0.97
20055;ES-SS;ES-PV;Arrasate / Mondragón;2023-06-01;100;278;0.64;9743.35;37514.56;0.74
20056;ES-SS;ES-PV;Mutriku;2023-06-01;25;97;0.74;2171.79;10268.41;0.79
20057;ES-SS;ES-PV;Mutiloa;2023-06-01;3;14;0.79;120.06;679.90;0.82
20058;ES-SS;ES-PV;Olaberria;2023-06-01;12;16;0.25;796.24;1601.61;0.50
20059;ES-SS;ES-PV;Oñati;2023-06-01;116;216;0.46;8520.07;19574.98;0.56
20060;ES-SS;ES-PV;Orexa;2023-06-01;4;10;0.60;457.82;965.47;0.53
20061;ES-SS;ES-PV;Orio;2023-06-01;51;102;0.50;4248.94;13477.94;0.68
20062;ES-SS;ES-PV;Ormaiztegi;2023-06-01;6;20;0.70;202.58;1181.01;0.83
20063;ES-SS;ES-PV;Oiartzun;2023-06-01;102;233;0.56;8679.81;29750.19;0.71
20064;ES-SS;ES-PV;Pasaia;2023-06-01;38;142;0.73;2502.35;15666.41;0.84
20065;ES-SS;ES-PV;Soraluze-Placencia de las Armas;2023-06-01;6;61;0.90;261.40;7753.17;0.97
20066;ES-SS;ES-PV;Errezil;2023-06-01;5;10;0.50;620.06;1075.51;0.42
20067;ES-SS;ES-PV;Errenteria;2023-06-01;116;420;0.72;7294.26;40023.12;0.82
20068;ES-SS;ES-PV;Leintz Gatzaga;2023-06-01;2;9;0.78;110.91;516.26;0.79
20069;ES-SS;ES-PV;Donostia - San Sebastián;2023-06-01;469;1905;0.75;41417.53;262325.20;0.84
20070;ES-SS;ES-PV;Segura;2023-06-01;10;59;0.83;288.92;4533.53;0.94
20071;ES-SS;ES-PV;Tolosa;2023-06-01;178;320;0.44;19212.08;36688.63;0.48
20072;ES-SS;ES-PV;Urnieta;2023-06-01;40;81;0.51;3506.20;11330.67;0.69
20073;ES-SS;ES-PV;Usurbil;2023-06-01;136;223;0.39;14808.41;27468.85;0.46
20074;ES-SS;ES-PV;Bergara;2023-06-01;65;248;0.74;4945.11;23747.22;0.79
20075;ES-SS;ES-PV;Villabona-Amasa;2023-06-01;13;64;0.80;892.36;4674.03;0.81
20076;ES-SS;ES-PV;Ordizia;2023-06-01;14;135;0.90;1325.64;15339.92;0.91
20077;ES-SS;ES-PV;Urretxu;2023-06-01;38;86;0.56;2278.09;8530.24;0.73
20078;ES-SS;ES-PV;Zaldibia;2023-06-01;1;22;0.95;26.46;1562.76;0.98
20079;ES-SS;ES-PV;Zarautz;2023-06-01;71;306;0.77;6477.67;35702.76;0.82
20080;ES-SS;ES-PV;Zumarraga;2023-06-01;61;147;0.59;3175.86;15152.87;0.79
20081;ES-SS;ES-PV;Zumaia;2023-06-01;38;230;0.83;4442.58;28381.35;0.84
20901;ES-SS;ES-PV;Mendaro;2023-06-01;29;50;0.42;4902.71;8508.61;0.42
20902;ES-SS;ES-PV;Lasarte-Oria;2023-06-01;88;174;0.49;8960.07;23062.53;0.61
20903;ES-SS;ES-PV;Astigarraga;2023-06-01;49;119;0.59;5256.06;12941.94;0.59
20904;ES-SS;ES-PV;Baliarrain;2023-06-01;12;13;0.08;807.26;996.97;0.19
20905;ES-SS;ES-PV;Orendain;2023-06-01;4;6;0.33;455.09;582.28;0.22
20906;ES-SS;ES-PV;Altzaga;2023-06-01;0;0;1;0.00;0.00;1
20907;ES-SS;ES-PV;Gaztelu;2023-06-01;0;0;1;0.00;0.00;1
-2854004;ES-SS;ES-PV;Enirio-Aralarko Mankomunitatea;2023-06-01;0;0;1;0.00;0.00;1
-2854005;ES-SS;ES-PV;Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;2023-06-01;0;0;1;0.00;0.00;1
-340988;ES-SS;ES-PV;Gipuzkoa eta Arabako Partzuergo Orokorra;2023-06-01;0;0;1;0.00;0.00;1
