id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
49002;ES-ZA;ES-CL;Abezames;2023-06-01;0;27;1.00;0.00;2109.73;1.00
49003;ES-ZA;ES-CL;Alcañices;2023-06-01;16;115;0.86;2199.84;14297.69;0.85
49004;ES-ZA;ES-CL;Alcubilla de Nogales;2023-06-01;0;29;1.00;0.00;3168.14;1.00
49005;ES-ZA;ES-CL;Alfaraz de Sayago;2023-06-01;0;62;1.00;0.00;5992.09;1.00
49006;ES-ZA;ES-CL;Algodre;2023-06-01;0;38;1.00;0.00;3141.27;1.00
49007;ES-ZA;ES-CL;Almaraz de Duero;2023-06-01;0;58;1.00;0.00;6892.05;1.00
49008;ES-ZA;ES-CL;Almeida de Sayago;2023-06-01;0;155;1.00;0.00;14270.94;1.00
49009;ES-ZA;ES-CL;Andavías;2023-06-01;0;63;1.00;0.00;8870.23;1.00
49010;ES-ZA;ES-CL;Arcenillas;2023-06-01;0;36;1.00;0.00;4624.53;1.00
49011;ES-ZA;ES-CL;Arcos de la Polvorosa;2023-06-01;16;16;0.00;2795.87;2795.87;0.00
49012;ES-ZA;ES-CL;Argañín;2023-06-01;0;38;1.00;0.00;4048.03;1.00
49013;ES-ZA;ES-CL;Argujillo;2023-06-01;0;55;1.00;0.00;4265.60;1.00
49014;ES-ZA;ES-CL;Arquillinos;2023-06-01;0;49;1.00;0.00;4914.72;1.00
49015;ES-ZA;ES-CL;Arrabalde;2023-06-01;0;52;1.00;0.00;5947.51;1.00
49016;ES-ZA;ES-CL;Aspariegos;2023-06-01;3;67;0.96;437.17;5527.77;0.92
49017;ES-ZA;ES-CL;Asturianos;2023-06-01;37;91;0.59;5040.56;10144.12;0.50
49018;ES-ZA;ES-CL;Ayoó de Vidriales;2023-06-01;0;63;1.00;0.00;8464.95;1.00
49019;ES-ZA;ES-CL;Barcial del Barco;2023-06-01;1;43;0.98;70.89;4756.93;0.99
49020;ES-ZA;ES-CL;Belver de los Montes;2023-06-01;0;48;1.00;0.00;6310.43;1.00
49021;ES-ZA;ES-CL;Benavente;2023-06-01;15;684;0.98;1385.14;64717.98;0.98
49022;ES-ZA;ES-CL;Benegiles;2023-06-01;0;42;1.00;0.00;4308.32;1.00
49023;ES-ZA;ES-CL;Bermillo de Sayago;2023-06-01;11;288;0.96;654.84;27508.66;0.98
49024;ES-ZA;ES-CL;La Bóveda de Toro;2023-06-01;0;87;1.00;0.00;8628.52;1.00
49025;ES-ZA;ES-CL;Bretó;2023-06-01;0;65;1.00;0.00;5264.49;1.00
49026;ES-ZA;ES-CL;Bretocino;2023-06-01;0;30;1.00;0.00;4232.43;1.00
49027;ES-ZA;ES-CL;Brime de Sog;2023-06-01;0;35;1.00;0.00;3881.33;1.00
49028;ES-ZA;ES-CL;Brime de Urz;2023-06-01;0;22;1.00;0.00;2306.36;1.00
49029;ES-ZA;ES-CL;Burganes de Valverde;2023-06-01;0;79;1.00;0.00;12784.47;1.00
49030;ES-ZA;ES-CL;Bustillo del Oro;2023-06-01;0;35;1.00;0.00;3447.00;1.00
49031;ES-ZA;ES-CL;Cabañas de Sayago;2023-06-01;0;25;1.00;0.00;3061.18;1.00
49032;ES-ZA;ES-CL;Calzadilla de Tera;2023-06-01;0;49;1.00;0.00;5387.86;1.00
49033;ES-ZA;ES-CL;Camarzana de Tera;2023-06-01;13;96;0.86;2634.69;13624.61;0.81
49034;ES-ZA;ES-CL;Cañizal;2023-06-01;0;78;1.00;0.00;9029.98;1.00
49035;ES-ZA;ES-CL;Cañizo;2023-06-01;1;35;0.97;96.30;5747.27;0.98
49036;ES-ZA;ES-CL;Carbajales de Alba;2023-06-01;0;77;1.00;0.00;8565.64;1.00
49037;ES-ZA;ES-CL;Carbellino;2023-06-01;0;69;1.00;0.00;7015.34;1.00
49038;ES-ZA;ES-CL;Casaseca de Campeán;2023-06-01;0;37;1.00;0.00;3186.53;1.00
49039;ES-ZA;ES-CL;Casaseca de las Chanas;2023-06-01;0;36;1.00;0.00;4364.39;1.00
49040;ES-ZA;ES-CL;Castrillo de la Guareña;2023-06-01;0;24;1.00;0.00;2113.77;1.00
49041;ES-ZA;ES-CL;Castrogonzalo;2023-06-01;1;80;0.99;51.31;10216.11;0.99
49042;ES-ZA;ES-CL;Castronuevo;2023-06-01;0;68;1.00;0.00;5984.72;1.00
49043;ES-ZA;ES-CL;Castroverde de Campos;2023-06-01;0;74;1.00;0.00;6816.25;1.00
49044;ES-ZA;ES-CL;Cazurra;2023-06-01;0;24;1.00;0.00;1714.02;1.00
49046;ES-ZA;ES-CL;Cerecinos de Campos;2023-06-01;0;56;1.00;0.00;6489.82;1.00
49047;ES-ZA;ES-CL;Cerecinos del Carrizal;2023-06-01;0;39;1.00;0.00;3713.24;1.00
49048;ES-ZA;ES-CL;Cernadilla;2023-06-01;0;95;1.00;0.00;7244.03;1.00
49050;ES-ZA;ES-CL;Cobreros;2023-06-01;55;146;0.62;9838.29;23399.36;0.58
49052;ES-ZA;ES-CL;Coomonte;2023-06-01;2;38;0.95;233.98;4516.06;0.95
49053;ES-ZA;ES-CL;Coreses;2023-06-01;0;107;1.00;0.00;18265.71;1.00
49054;ES-ZA;ES-CL;Corrales del Vino;2023-06-01;0;127;1.00;0.00;15027.92;1.00
49055;ES-ZA;ES-CL;Cotanes del Monte;2023-06-01;0;15;1.00;0.00;2071.87;1.00
49056;ES-ZA;ES-CL;Cubillos;2023-06-01;0;44;1.00;0.00;4881.43;1.00
49057;ES-ZA;ES-CL;Cubo de Benavente;2023-06-01;0;14;1.00;0.00;2678.83;1.00
49058;ES-ZA;ES-CL;El Cubo de Tierra del Vino;2023-06-01;0;45;1.00;0.00;5107.11;1.00
49059;ES-ZA;ES-CL;Cuelgamures;2023-06-01;0;19;1.00;0.00;1893.71;1.00
49061;ES-ZA;ES-CL;Entrala;2023-06-01;0;18;1.00;0.00;1776.84;1.00
49062;ES-ZA;ES-CL;Espadañedo;2023-06-01;36;89;0.60;3921.20;8685.03;0.55
49063;ES-ZA;ES-CL;Faramontanos de Tábara;2023-06-01;0;47;1.00;0.00;7494.42;1.00
49064;ES-ZA;ES-CL;Fariza;2023-06-01;62;163;0.62;6815.39;19044.95;0.64
49065;ES-ZA;ES-CL;Fermoselle;2023-06-01;0;134;1.00;0.00;12870.53;1.00
49066;ES-ZA;ES-CL;Ferreras de Abajo;2023-06-01;0;102;1.00;0.00;12299.53;1.00
49067;ES-ZA;ES-CL;Ferreras de Arriba;2023-06-01;34;60;0.43;4503.23;8047.79;0.44
