id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
-10985729;ES-LE;ES-CL;Mancomunidad de Villagatón y Quintana del Castillo;2023-11-01;0;0;1;0.00;0.00;1
24001;ES-LE;ES-CL;Acebedo;2023-11-01;32;61;0.48;2974.03;7145.94;0.58
24002;ES-LE;ES-CL;Algadefe;2023-11-01;0;39;1.00;0.00;6391.50;1.00
24003;ES-LE;ES-CL;Alija del Infantado;2023-11-01;20;90;0.78;1829.99;12518.15;0.85
24004;ES-LE;ES-CL;Almanza;2023-11-01;14;112;0.88;2014.31;12079.79;0.83
24005;ES-LE;ES-CL;La Antigua;2023-11-01;69;76;0.09;11255.08;12385.80;0.09
24006;ES-LE;ES-CL;Ardón;2023-11-01;2;118;0.98;341.10;13472.27;0.97
24007;ES-LE;ES-CL;Arganza;2023-11-01;0;136;1.00;0.00;14766.79;1.00
24008;ES-LE;ES-CL;Astorga;2023-11-01;4;377;0.99;378.83;52568.58;0.99
24009;ES-LE;ES-CL;Balboa;2023-11-01;0;71;1.00;0.00;6478.07;1.00
24010;ES-LE;ES-CL;La Bañeza;2023-11-01;51;277;0.82;7380.40;46602.39;0.84
24011;ES-LE;ES-CL;Barjas;2023-11-01;0;47;1.00;0.00;5492.24;1.00
24012;ES-LE;ES-CL;Los Barrios de Luna;2023-11-01;67;67;0.00;9185.61;9185.61;0.00
24014;ES-LE;ES-CL;Bembibre;2023-11-01;43;543;0.92;4911.65;56751.83;0.91
24015;ES-LE;ES-CL;Benavides;2023-11-01;39;203;0.81;5889.81;29100.33;0.80
24016;ES-LE;ES-CL;Benuza;2023-11-01;2;95;0.98;49.30;15919.27;1.00
24017;ES-LE;ES-CL;Bercianos del Páramo;2023-11-01;0;114;1.00;0.00;14096.70;1.00
24018;ES-LE;ES-CL;Bercianos del Real Camino;2023-11-01;0;66;1.00;0.00;6280.16;1.00
24019;ES-LE;ES-CL;Berlanga del Bierzo;2023-11-01;0;73;1.00;0.00;9181.60;1.00
24020;ES-LE;ES-CL;Boca de Huérgano;2023-11-01;119;147;0.19;10499.02;14047.81;0.25
24021;ES-LE;ES-CL;Boñar;2023-11-01;38;157;0.76;6488.26;23593.50;0.72
24022;ES-LE;ES-CL;Borrenes;2023-11-01;0;46;1.00;0.00;8456.42;1.00
24023;ES-LE;ES-CL;Brazuelo;2023-11-01;21;102;0.79;2041.86;11468.30;0.82
24024;ES-LE;ES-CL;El Burgo Ranero;2023-11-01;0;139;1.00;0.00;19302.08;1.00
24025;ES-LE;ES-CL;Burón;2023-11-01;73;114;0.36;6613.91;11140.46;0.41
24026;ES-LE;ES-CL;Bustillo del Páramo;2023-11-01;1;159;0.99;242.87;26698.12;0.99
24027;ES-LE;ES-CL;Cabañas Raras;2023-11-01;3;108;0.97;2573.83;24106.69;0.89
24028;ES-LE;ES-CL;Cabreros del Río;2023-11-01;0;48;1.00;0.00;8697.43;1.00
24029;ES-LE;ES-CL;Cabrillanes;2023-11-01;113;170;0.34;11369.53;18446.11;0.38
24030;ES-LE;ES-CL;Cacabelos;2023-11-01;19;319;0.94;2683.74;36747.31;0.93
24031;ES-LE;ES-CL;Calzada del Coto;2023-11-01;0;47;1.00;0.00;6431.04;1.00
24032;ES-LE;ES-CL;Campazas;2023-11-01;0;28;1.00;0.00;4296.40;1.00
24033;ES-LE;ES-CL;Campo de Villavidel;2023-11-01;0;30;1.00;0.00;4553.11;1.00
24034;ES-LE;ES-CL;Camponaraya;2023-11-01;7;210;0.97;417.69;34185.39;0.99
24036;ES-LE;ES-CL;Candín;2023-11-01;0;134;1.00;0.00;11863.81;1.00
24037;ES-LE;ES-CL;Cármenes;2023-11-01;59;87;0.32;5214.86;9048.35;0.42
24038;ES-LE;ES-CL;Carracedelo;2023-11-01;5;213;0.98;311.17;41238.66;0.99
24039;ES-LE;ES-CL;Carrizo;2023-11-01;0;125;1.00;0.00;24993.57;1.00
24040;ES-LE;ES-CL;Carrocera;2023-11-01;28;97;0.71;3924.67;10392.37;0.62
24041;ES-LE;ES-CL;Carucedo;2023-11-01;0;88;1.00;0.00;12470.91;1.00
24042;ES-LE;ES-CL;Castilfalé;2023-11-01;0;33;1.00;0.00;2782.00;1.00
24043;ES-LE;ES-CL;Castrillo de Cabrera;2023-11-01;2;42;0.95;376.69;6553.18;0.94
24044;ES-LE;ES-CL;Castrillo de la Valduerna;2023-11-01;0;27;1.00;0.00;2598.83;1.00
24046;ES-LE;ES-CL;Castrocalbón;2023-11-01;0;124;1.00;0.00;16348.11;1.00
24047;ES-LE;ES-CL;Castrocontrigo;2023-11-01;57;154;0.63;6616.11;21384.23;0.69
24049;ES-LE;ES-CL;Castropodame;2023-11-01;50;201;0.75;3571.33;23880.58;0.85
24050;ES-LE;ES-CL;Castrotierra de Valmadrigal;2023-11-01;0;34;1.00;0.00;3813.13;1.00
24051;ES-LE;ES-CL;Cea;2023-11-01;0;146;1.00;0.00;13361.12;1.00
24052;ES-LE;ES-CL;Cebanico;2023-11-01;0;73;1.00;0.00;6734.03;1.00
24053;ES-LE;ES-CL;Cebrones del Río;2023-11-01;15;62;0.76;1729.88;8351.41;0.79
24054;ES-LE;ES-CL;Cimanes de la Vega;2023-11-01;0;63;1.00;0.00;9257.71;1.00
24055;ES-LE;ES-CL;Cimanes del Tejar;2023-11-01;0;88;1.00;0.00;12251.22;1.00
24056;ES-LE;ES-CL;Cistierna;2023-11-01;42;217;0.81;6029.72;31412.79;0.81
24057;ES-LE;ES-CL;Congosto;2023-11-01;33;168;0.80;1762.87;18401.00;0.90
24058;ES-LE;ES-CL;Corbillos de los Oteros;2023-11-01;0;52;1.00;0.00;5628.34;1.00
24059;ES-LE;ES-CL;Corullón;2023-11-01;6;90;0.93;855.28;15097.91;0.94
24060;ES-LE;ES-CL;Crémenes;2023-11-01;107;154;0.31;7816.28;12553.70;0.38
24061;ES-LE;ES-CL;Cuadros;2023-11-01;1;219;1.00;46.09;27944.31;1.00
24062;ES-LE;ES-CL;Cubillas de los Oteros;2023-11-01;0;45;1.00;0.00;4660.24;1.00
24063;ES-LE;ES-CL;Cubillas de Rueda;2023-11-01;5;95;0.95;1076.78;10544.44;0.90
24064;ES-LE;ES-CL;Cubillos del Sil;2023-11-01;17;175;0.90;4448.05;32888.05;0.86
24065;ES-LE;ES-CL;Chozas de Abajo;2023-11-01;3;290;0.99;261.17;39770.93;0.99
24066;ES-LE;ES-CL;Destriana;2023-11-01;35;58;0.40;4699.26;8855.40;0.47
24067;ES-LE;ES-CL;Encinedo;2023-11-01;80;113;0.29;11895.35;15404.21;0.23
24068;ES-LE;ES-CL;La Ercina;2023-11-01;70;99;0.29;9088.53;13047.88;0.30
24069;ES-LE;ES-CL;Escobar de Campos;2023-11-01;0;16;1.00;0.00;1890.50;1.00
24070;ES-LE;ES-CL;Fabero;2023-11-01;2;237;0.99;163.64;36267.61;1.00
24071;ES-LE;ES-CL;Folgoso de la Ribera;2023-11-01;1;219;1.00;77.93;24392.27;1.00
24073;ES-LE;ES-CL;Fresno de la Vega;2023-11-01;0;64;1.00;0.00;9456.58;1.00
24074;ES-LE;ES-CL;Fuentes de Carbajal;2023-11-01;0;44;1.00;0.00;4605.12;1.00
24076;ES-LE;ES-CL;Garrafe de Torío;2023-11-01;3;205;0.99;324.09;31876.62;0.99
24077;ES-LE;ES-CL;Gordaliza del Pino;2023-11-01;0;37;1.00;0.00;4400.18;1.00
24078;ES-LE;ES-CL;Gordoncillo;2023-11-01;0;48;1.00;0.00;7304.81;1.00
24079;ES-LE;ES-CL;Gradefes;2023-11-01;1;196;0.99;42.61;22299.23;1.00
24080;ES-LE;ES-CL;Grajal de Campos;2023-11-01;0;56;1.00;0.00;6406.42;1.00
24081;ES-LE;ES-CL;Gusendos de los Oteros;2023-11-01;0;36;1.00;0.00;4825.90;1.00
24082;ES-LE;ES-CL;Hospital de Órbigo;2023-11-01;0;79;1.00;0.00;9701.05;1.00
24083;ES-LE;ES-CL;Igüeña;2023-11-01;2;242;0.99;221.48;24745.53;0.99
24084;ES-LE;ES-CL;Izagre;2023-11-01;16;53;0.70;1856.74;6182.02;0.70
24086;ES-LE;ES-CL;Joarilla de las Matas;2023-11-01;0;69;1.00;0.00;5766.57;1.00
24087;ES-LE;ES-CL;Laguna Dalga;2023-11-01;9;70;0.87;725.02;10019.01;0.93
24088;ES-LE;ES-CL;Laguna de Negrillos;2023-11-01;29;127;0.77;2769.30;17616.91;0.84
24089;ES-LE;ES-CL;León;2023-11-01;111;1548;0.93;7580.84;186621.27;0.96
24090;ES-LE;ES-CL;Lucillo;2023-11-01;48;180;0.73;3244.55;19338.33;0.83
24091;ES-LE;ES-CL;Luyego;2023-11-01;93;162;0.43;11083.77;19725.81;0.44
24092;ES-LE;ES-CL;Llamas de la Ribera;2023-11-01;0;83;1.00;0.00;12908.85;1.00
24093;ES-LE;ES-CL;Magaz de Cepeda;2023-11-01;21;112;0.81;2676.16;16000.24;0.83
24094;ES-LE;ES-CL;Mansilla de las Mulas;2023-11-01;0;137;1.00;0.00;19650.11;1.00
24095;ES-LE;ES-CL;Mansilla Mayor;2023-11-01;0;56;1.00;0.00;6938.73;1.00
24096;ES-LE;ES-CL;Maraña;2023-11-01;21;25;0.16;2374.68;3195.17;0.26
24097;ES-LE;ES-CL;Matadeón de los Oteros;2023-11-01;0;51;1.00;0.00;5698.64;1.00
24098;ES-LE;ES-CL;Matallana de Torío;2023-11-01;18;126;0.86;2505.00;16199.60;0.85
24099;ES-LE;ES-CL;Matanza;2023-11-01;0;57;1.00;0.00;7134.09;1.00
24100;ES-LE;ES-CL;Molinaseca;2023-11-01;57;143;0.60;3494.04;11435.18;0.69
24101;ES-LE;ES-CL;Murias de Paredes;2023-11-01;111;175;0.37;9004.93;14811.61;0.39
24102;ES-LE;ES-CL;Noceda del Bierzo;2023-11-01;0;102;1.00;0.00;14057.05;1.00
24103;ES-LE;ES-CL;Oencia;2023-11-01;15;101;0.85;720.82;10943.04;0.93
24104;ES-LE;ES-CL;Las Omañas;2023-11-01;0;57;1.00;0.00;8185.08;1.00
24105;ES-LE;ES-CL;Onzonilla;2023-11-01;3;127;0.98;295.57;16477.56;0.98
24106;ES-LE;ES-CL;Oseja de Sajambre;2023-11-01;95;100;0.05;7931.00;8304.21;0.04
24107;ES-LE;ES-CL;Pajares de los Oteros;2023-11-01;0;109;1.00;0.00;10311.06;1.00
24108;ES-LE;ES-CL;Palacios de la Valduerna;2023-11-01;2;74;0.97;81.23;8577.18;0.99
24109;ES-LE;ES-CL;Palacios del Sil;2023-11-01;0;197;1.00;0.00;17269.08;1.00
24110;ES-LE;ES-CL;Páramo del Sil;2023-11-01;2;219;0.99;142.99;22792.01;0.99
