id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
50001;ES-Z;ES-AR;Abanto;2024-03-01;5;22;0.77;794.87;2489.15;0.68
50002;ES-Z;ES-AR;Acered;2024-03-01;5;20;0.75;468.13;2295.11;0.80
50003;ES-Z;ES-AR;Agón;2024-03-01;7;21;0.67;751.17;1669.86;0.55
50004;ES-Z;ES-AR;Aguarón;2024-03-01;19;45;0.58;1768.16;5217.68;0.66
50005;ES-Z;ES-AR;Aguilón;2024-03-01;12;34;0.65;1089.97;2896.27;0.62
50006;ES-Z;ES-AR;Ainzón;2024-03-01;24;39;0.38;5141.13;8033.45;0.36
50007;ES-Z;ES-AR;Aladrén;2024-03-01;3;14;0.79;843.83;1981.08;0.57
50008;ES-Z;ES-AR;Alagón;2024-03-01;51;218;0.77;3164.53;23668.70;0.87
50009;ES-Z;ES-AR;Alarba;2024-03-01;8;21;0.62;698.90;2222.54;0.69
50010;ES-Z;ES-AR;Alberite de San Juan;2024-03-01;3;14;0.79;107.81;1118.13;0.90
50011;ES-Z;ES-AR;Albeta;2024-03-01;4;21;0.81;1096.20;2534.17;0.57
50012;ES-Z;ES-AR;Alborge;2024-03-01;1;19;0.95;85.30;2460.66;0.97
50013;ES-Z;ES-AR;Alcalá de Ebro;2024-03-01;3;28;0.89;1185.38;4056.00;0.71
50014;ES-Z;ES-AR;Alcalá de Moncayo;2024-03-01;10;17;0.41;1174.26;2136.24;0.45
50015;ES-Z;ES-AR;Alconchel de Ariza;2024-03-01;7;26;0.73;539.28;3074.17;0.82
50016;ES-Z;ES-AR;Aldehuela de Liestos;2024-03-01;8;16;0.50;636.68;1608.46;0.60
50017;ES-Z;ES-AR;Alfajarín;2024-03-01;45;127;0.65;7878.90;23380.92;0.66
50018;ES-Z;ES-AR;Alfamén;2024-03-01;29;79;0.63;4544.30;13230.84;0.66
50019;ES-Z;ES-AR;Alforque;2024-03-01;5;22;0.77;463.03;2250.12;0.79
50020;ES-Z;ES-AR;Alhama de Aragón;2024-03-01;4;35;0.89;186.00;4720.80;0.96
50021;ES-Z;ES-AR;Almochuel;2024-03-01;10;13;0.23;1002.96;1321.01;0.24
50022;ES-Z;ES-AR;La Almolda;2024-03-01;10;34;0.71;3026.87;7738.77;0.61
50023;ES-Z;ES-AR;Almonacid de la Cuba;2024-03-01;7;22;0.68;507.11;2938.29;0.83
50024;ES-Z;ES-AR;Almonacid de la Sierra;2024-03-01;31;67;0.54;3995.11;8654.49;0.54
50025;ES-Z;ES-AR;La Almunia de Doña Godina;2024-03-01;44;178;0.75;4521.88;27448.74;0.84
50026;ES-Z;ES-AR;Alpartir;2024-03-01;14;36;0.61;1736.96;3953.29;0.56
50027;ES-Z;ES-AR;Ambel;2024-03-01;7;44;0.84;1113.10;5327.13;0.79
50028;ES-Z;ES-AR;Anento;2024-03-01;5;9;0.44;497.69;998.28;0.50
50029;ES-Z;ES-AR;Aniñón;2024-03-01;19;46;0.59;1163.13;4164.14;0.72
50030;ES-Z;ES-AR;Añón de Moncayo;2024-03-01;21;33;0.36;4414.49;6044.30;0.27
50031;ES-Z;ES-AR;Aranda de Moncayo;2024-03-01;3;29;0.90;116.12;2677.09;0.96
50032;ES-Z;ES-AR;Arándiga;2024-03-01;13;35;0.63;1175.77;4254.41;0.72
50033;ES-Z;ES-AR;Ardisa;2024-03-01;7;21;0.67;321.86;2057.68;0.84
50034;ES-Z;ES-AR;Ariza;2024-03-01;67;122;0.45;8037.03;13366.18;0.40
50035;ES-Z;ES-AR;Artieda;2024-03-01;4;14;0.71;338.10;1200.12;0.72
50036;ES-Z;ES-AR;Asín;2024-03-01;8;8;0.00;1644.21;1644.21;0.00
50037;ES-Z;ES-AR;Atea;2024-03-01;10;26;0.62;905.95;3485.81;0.74
50038;ES-Z;ES-AR;Ateca;2024-03-01;25;87;0.71;1405.37;8846.42;0.84
50039;ES-Z;ES-AR;Azuara;2024-03-01;0;79;1.00;0.00;6878.25;1.00
50040;ES-Z;ES-AR;Badules;2024-03-01;0;18;1.00;0.00;2024.30;1.00
50041;ES-Z;ES-AR;Bagüés;2024-03-01;3;11;0.73;404.18;798.66;0.49
50042;ES-Z;ES-AR;Balconchán;2024-03-01;1;3;0.67;63.09;281.73;0.78
50043;ES-Z;ES-AR;Bárboles;2024-03-01;10;27;0.63;1403.04;3441.35;0.59
50044;ES-Z;ES-AR;Bardallur;2024-03-01;10;16;0.38;869.06;1992.87;0.56
50045;ES-Z;ES-AR;Belchite;2024-03-01;14;55;0.75;1186.29;12144.33;0.90
50046;ES-Z;ES-AR;Belmonte de Gracián;2024-03-01;14;24;0.42;957.16;2140.24;0.55
50047;ES-Z;ES-AR;Berdejo;2024-03-01;6;16;0.63;196.97;1391.58;0.86
50048;ES-Z;ES-AR;Berrueco;2024-03-01;10;19;0.47;493.60;1447.99;0.66
50050;ES-Z;ES-AR;Bijuesca;2024-03-01;2;6;0.67;107.02;811.59;0.87
50051;ES-Z;ES-AR;Biota;2024-03-01;51;51;0.00;7502.79;7502.79;0.00
50052;ES-Z;ES-AR;Bisimbre;2024-03-01;1;7;0.86;43.10;988.94;0.96
50053;ES-Z;ES-AR;Boquiñeni;2024-03-01;0;43;1.00;0.00;6016.14;1.00
50054;ES-Z;ES-AR;Bordalba;2024-03-01;2;19;0.89;94.86;2213.92;0.96
50055;ES-Z;ES-AR;Borja;2024-03-01;86;200;0.57;10285.57;24914.65;0.59
50056;ES-Z;ES-AR;Botorrita;2024-03-01;13;40;0.68;2440.29;6760.17;0.64
50057;ES-Z;ES-AR;Brea de Aragón;2024-03-01;20;55;0.64;1577.17;6406.38;0.75
50058;ES-Z;ES-AR;Bubierca;2024-03-01;3;11;0.73;361.64;1643.99;0.78
50059;ES-Z;ES-AR;Bujaraloz;2024-03-01;24;59;0.59;2371.14;8464.58;0.72
50060;ES-Z;ES-AR;Bulbuente;2024-03-01;13;24;0.46;2181.53;3587.68;0.39
50061;ES-Z;ES-AR;Bureta;2024-03-01;10;28;0.64;1281.20;3483.40;0.63
50062;ES-Z;ES-AR;El Burgo de Ebro;2024-03-01;77;160;0.52;12999.20;30013.84;0.57
50063;ES-Z;ES-AR;El Buste;2024-03-01;9;9;0.00;1419.06;1419.06;0.00
50064;ES-Z;ES-AR;Cabañas de Ebro;2024-03-01;3;31;0.90;163.67;3951.92;0.96
50065;ES-Z;ES-AR;Cabolafuente;2024-03-01;18;28;0.36;2700.85;4250.34;0.36
50066;ES-Z;ES-AR;Cadrete;2024-03-01;44;253;0.83;5167.11;44703.64;0.88
50067;ES-Z;ES-AR;Calatayud;2024-03-01;210;442;0.52;22938.38;56150.97;0.59
50068;ES-Z;ES-AR;Calatorao;2024-03-01;41;100;0.59;7336.76;16238.58;0.55
50069;ES-Z;ES-AR;Calcena;2024-03-01;17;34;0.50;1127.94;2590.78;0.56
50070;ES-Z;ES-AR;Calmarza;2024-03-01;5;23;0.78;210.33;1545.60;0.86
50071;ES-Z;ES-AR;Campillo de Aragón;2024-03-01;9;18;0.50;509.71;1648.57;0.69
50072;ES-Z;ES-AR;Carenas;2024-03-01;6;26;0.77;784.98;3556.15;0.78
50073;ES-Z;ES-AR;Cariñena;2024-03-01;62;149;0.58;8647.78;24765.17;0.65
50074;ES-Z;ES-AR;Caspe;2024-03-01;89;356;0.75;12607.23;45212.30;0.72
50075;ES-Z;ES-AR;Castejón de Alarba;2024-03-01;10;17;0.41;1170.53;1951.59;0.40
50076;ES-Z;ES-AR;Castejón de las Armas;2024-03-01;5;18;0.72;591.48;1980.68;0.70
50077;ES-Z;ES-AR;Castejón de Valdejasa;2024-03-01;3;36;0.92;371.92;3461.09;0.89
50078;ES-Z;ES-AR;Castiliscar;2024-03-01;10;42;0.76;1081.94;4398.72;0.75
50079;ES-Z;ES-AR;Cervera de la Cañada;2024-03-01;5;25;0.80;321.56;2601.77;0.88
50080;ES-Z;ES-AR;Cerveruela;2024-03-01;1;9;0.89;27.88;661.08;0.96
