id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
35001;ES-GC;ES-CN;Agaete;2024-10-01;26;195;0.87;2682.52;21521.68;0.88
35002;ES-GC;ES-CN;Agüimes;2024-10-01;54;653;0.92;3739.62;112702.03;0.97
35003;ES-GC;ES-CN;Antigua;2024-10-01;39;313;0.88;6453.28;69908.11;0.91
35004;ES-GC;ES-CN;Arrecife;2024-10-01;83;994;0.92;5637.66;125958.71;0.96
35005;ES-GC;ES-CN;Artenara;2024-10-01;5;29;0.83;537.04;6847.31;0.92
35006;ES-GC;ES-CN;Arucas;2024-10-01;49;681;0.93;2926.94;92356.51;0.97
35007;ES-GC;ES-CN;Betancuria;2024-10-01;12;48;0.75;2441.93;8558.27;0.71
35008;ES-GC;ES-CN;Firgas;2024-10-01;5;190;0.97;325.69;33434.20;0.99
35009;ES-GC;ES-CN;Gáldar;2024-10-01;57;651;0.91;3772.49;98048.13;0.96
35010;ES-GC;ES-CN;Haría;2024-10-01;13;262;0.95;432.80;36096.10;0.99
35011;ES-GC;ES-CN;Ingenio;2024-10-01;17;794;0.98;762.73;102053.66;0.99
35012;ES-GC;ES-CN;Mogán;2024-10-01;94;612;0.85;6739.54;90102.44;0.93
35013;ES-GC;ES-CN;Moya;2024-10-01;7;190;0.96;451.07;31097.55;0.99
35014;ES-GC;ES-CN;La Oliva;2024-10-01;226;1008;0.78;37793.56;208651.00;0.82
35015;ES-GC;ES-CN;Pájara;2024-10-01;104;510;0.80;10435.23;68929.86;0.85
35016;ES-GC;ES-CN;Las Palmas de Gran Canaria;2024-10-01;315;3780;0.92;28178.49;562016.16;0.95
35017;ES-GC;ES-CN;Puerto del Rosario;2024-10-01;259;824;0.69;59559.23;181557.24;0.67
35018;ES-GC;ES-CN;San Bartolomé;2024-10-01;57;463;0.88;3378.05;64033.09;0.95
35019;ES-GC;ES-CN;San Bartolomé de Tirajana;2024-10-01;210;1339;0.84;19529.41;217981.44;0.91
35020;ES-GC;ES-CN;La Aldea de San Nicolás;2024-10-01;10;194;0.95;540.74;40030.95;0.99
35021;ES-GC;ES-CN;Santa Brígida;2024-10-01;16;395;0.96;1157.84;75411.66;0.98
35022;ES-GC;ES-CN;Santa Lucía de Tirajana;2024-10-01;121;952;0.87;8143.88;149686.89;0.95
35023;ES-GC;ES-CN;Santa María de Guía de Gran Canaria;2024-10-01;44;310;0.86;1796.96;45338.00;0.96
35024;ES-GC;ES-CN;Teguise;2024-10-01;123;1120;0.89;7766.63;168885.40;0.95
35025;ES-GC;ES-CN;Tejeda;2024-10-01;6;57;0.89;376.21;11954.87;0.97
35026;ES-GC;ES-CN;Telde;2024-10-01;90;1920;0.95;6010.56;253227.36;0.98
35027;ES-GC;ES-CN;Teror;2024-10-01;13;303;0.96;554.15;39646.13;0.99
35028;ES-GC;ES-CN;Tías;2024-10-01;106;683;0.84;9601.06;117203.79;0.92
35029;ES-GC;ES-CN;Tinajo;2024-10-01;12;242;0.95;608.09;47401.98;0.99
35030;ES-GC;ES-CN;Tuineje;2024-10-01;107;380;0.72;21607.44;73968.19;0.71
35031;ES-GC;ES-CN;Valsequillo de Gran Canaria;2024-10-01;6;234;0.97;631.28;50557.73;0.99
35032;ES-GC;ES-CN;Valleseco;2024-10-01;5;86;0.94;293.97;19318.85;0.98
35033;ES-GC;ES-CN;Vega de San Mateo;2024-10-01;6;139;0.96;1270.72;29021.26;0.96
35034;ES-GC;ES-CN;Yaiza;2024-10-01;567;1567;0.64;43298.90;199647.72;0.78
