id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
03001;ES-A;ES-VC;l'Atzúbia;2025-01-01;0;59;1.00;0.00;6867.09;1.00
03002;ES-A;ES-VC;Agost;2025-01-01;14;115;0.88;1789.09;18509.88;0.90
03003;ES-A;ES-VC;Agres;2025-01-01;0;19;1.00;0.00;1834.29;1.00
03004;ES-A;ES-VC;Aigües;2025-01-01;12;61;0.80;2082.03;9297.68;0.78
03005;ES-A;ES-VC;Albatera;2025-01-01;73;243;0.70;17372.70;52542.51;0.67
03006;ES-A;ES-VC;Alcalalí;2025-01-01;0;146;1.00;0.00;15510.91;1.00
03007;ES-A;ES-VC;Alcosser;2025-01-01;0;12;1.00;0.00;1171.10;1.00
03008;ES-A;ES-VC;Alcoleja;2025-01-01;11;21;0.48;1308.04;2384.74;0.45
03009;ES-A;ES-VC;Alcoi / Alcoy;2025-01-01;112;855;0.87;14258.78;119507.51;0.88
03010;ES-A;ES-VC;Alfafara;2025-01-01;3;12;0.75;138.74;2244.98;0.94
03011;ES-A;ES-VC;l'Alfàs del Pi;2025-01-01;181;719;0.75;24945.71;119798.21;0.79
03012;ES-A;ES-VC;Algorfa;2025-01-01;8;228;0.96;1312.62;44501.55;0.97
03013;ES-A;ES-VC;Algueña;2025-01-01;16;163;0.90;1795.43;19233.59;0.91
03014;ES-A;ES-VC;Alacant / Alicante;2025-01-01;123;4237;0.97;4791.20;604566.54;0.99
03015;ES-A;ES-VC;Almoradí;2025-01-01;73;387;0.81;8745.22;69679.72;0.87
03016;ES-A;ES-VC;Almudaina;2025-01-01;1;18;0.94;113.16;1227.10;0.91
03017;ES-A;ES-VC;l'Alqueria d'Asnar;2025-01-01;7;28;0.75;513.38;3166.11;0.84
03018;ES-A;ES-VC;Altea;2025-01-01;215;691;0.69;47641.24;149012.39;0.68
03019;ES-A;ES-VC;Aspe;2025-01-01;66;452;0.85;12610.61;87296.18;0.86
03020;ES-A;ES-VC;Balones;2025-01-01;0;25;1.00;0.00;1451.20;1.00
03021;ES-A;ES-VC;Banyeres de Mariola;2025-01-01;64;298;0.79;8364.44;38752.40;0.78
03022;ES-A;ES-VC;Benasau;2025-01-01;0;12;1.00;0.00;1669.80;1.00
03023;ES-A;ES-VC;Beneixama;2025-01-01;5;69;0.93;621.67;14756.28;0.96
03024;ES-A;ES-VC;Benejúzar;2025-01-01;7;162;0.96;662.94;28029.62;0.98
03025;ES-A;ES-VC;Benferri;2025-01-01;9;134;0.93;1123.12;19983.07;0.94
03026;ES-A;ES-VC;Beniarbeig;2025-01-01;2;129;0.98;132.10;14418.90;0.99
03027;ES-A;ES-VC;Beniardà;2025-01-01;4;13;0.69;184.49;632.27;0.71
03028;ES-A;ES-VC;Beniarrés;2025-01-01;21;38;0.45;1548.56;3152.09;0.51
03029;ES-A;ES-VC;Benigembla;2025-01-01;3;34;0.91;223.33;3658.14;0.94
03030;ES-A;ES-VC;Benidoleig;2025-01-01;0;132;1.00;0.00;14209.08;1.00
03031;ES-A;ES-VC;Benidorm;2025-01-01;254;957;0.73;33923.78;153827.01;0.78
03032;ES-A;ES-VC;Benifallim;2025-01-01;1;19;0.95;165.47;1250.70;0.87
03033;ES-A;ES-VC;Benifato;2025-01-01;2;30;0.93;30.31;980.17;0.97
03034;ES-A;ES-VC;Benijófar;2025-01-01;38;227;0.83;5280.19;40206.00;0.87
03035;ES-A;ES-VC;Benilloba;2025-01-01;0;43;1.00;0.00;4380.12;1.00
03036;ES-A;ES-VC;Benillup;2025-01-01;0;6;1.00;0.00;665.75;1.00
03037;ES-A;ES-VC;Benimantell;2025-01-01;1;4;0.75;60.65;399.78;0.85
03038;ES-A;ES-VC;Benimarfull;2025-01-01;10;33;0.70;493.60;3607.83;0.86
03039;ES-A;ES-VC;Benimassot;2025-01-01;0;19;1.00;0.00;1053.22;1.00
03040;ES-A;ES-VC;Benimeli;2025-01-01;2;27;0.93;399.93;1986.45;0.80
03041;ES-A;ES-VC;Benissa;2025-01-01;79;670;0.88;19976.58;134120.32;0.85
03042;ES-A;ES-VC;el Poble Nou de Benitatxell / Benitachell;2025-01-01;199;316;0.37;48065.58;73634.70;0.35
03043;ES-A;ES-VC;Biar;2025-01-01;10;171;0.94;341.86;21091.82;0.98
03044;ES-A;ES-VC;Bigastro;2025-01-01;29;221;0.87;2762.82;28361.08;0.90
03045;ES-A;ES-VC;Bolulla;2025-01-01;2;22;0.91;238.81;1206.94;0.80
03046;ES-A;ES-VC;Busot;2025-01-01;49;173;0.72;4862.98;40588.40;0.88
03047;ES-A;ES-VC;Calp;2025-01-01;423;930;0.55;72064.66;176559.03;0.59
03048;ES-A;ES-VC;Callosa d'en Sarrià;2025-01-01;67;324;0.79;18906.12;28419.80;0.33
