id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
12001;ES-CS;ES-VC;Atzeneta del Maestrat;2025-03-01;0;92;1.00;0.00;8013.13;1.00
12002;ES-CS;ES-VC;Aín;2025-03-01;0;53;1.00;0.00;2106.66;1.00
12003;ES-CS;ES-VC;Albocàsser;2025-03-01;0;66;1.00;0.00;5718.45;1.00
12004;ES-CS;ES-VC;Alcalà de Xivert;2025-03-01;30;440;0.93;3160.44;69792.38;0.95
12005;ES-CS;ES-VC;l'Alcora;2025-03-01;2;494;1.00;420.07;48030.02;0.99
12006;ES-CS;ES-VC;Alcudia de Veo;2025-03-01;0;74;1.00;0.00;3293.94;1.00
12007;ES-CS;ES-VC;Alfondeguilla;2025-03-01;0;44;1.00;0.00;3610.00;1.00
12008;ES-CS;ES-VC;Algimia de Almonacid;2025-03-01;3;70;0.96;135.23;3716.05;0.96
12009;ES-CS;ES-VC;Almassora;2025-03-01;0;527;1.00;0.00;83515.59;1.00
12010;ES-CS;ES-VC;Almedíjar;2025-03-01;5;40;0.88;1055.13;4173.83;0.75
12011;ES-CS;ES-VC;Almenara;2025-03-01;2;267;0.99;77.77;44693.08;1.00
12012;ES-CS;ES-VC;Altura;2025-03-01;1;257;1.00;65.19;19912.04;1.00
12013;ES-CS;ES-VC;Arañuel;2025-03-01;2;9;0.78;174.90;704.16;0.75
12014;ES-CS;ES-VC;Ares del Maestrat;2025-03-01;0;64;1.00;0.00;3081.76;1.00
12015;ES-CS;ES-VC;Argelita;2025-03-01;2;35;0.94;51.18;1961.68;0.97
12016;ES-CS;ES-VC;Artana;2025-03-01;0;128;1.00;0.00;12431.26;1.00
12017;ES-CS;ES-VC;Ayódar;2025-03-01;4;53;0.92;182.43;4022.54;0.95
12018;ES-CS;ES-VC;Azuébar;2025-03-01;0;63;1.00;0.00;4257.87;1.00
12020;ES-CS;ES-VC;Barracas;2025-03-01;2;17;0.88;153.14;2394.25;0.94
12021;ES-CS;ES-VC;Betxí;2025-03-01;1;168;0.99;51.12;29321.73;1.00
12022;ES-CS;ES-VC;Bejís;2025-03-01;4;45;0.91;343.75;4263.30;0.92
12024;ES-CS;ES-VC;Benafer;2025-03-01;8;32;0.75;2334.33;4009.09;0.42
12025;ES-CS;ES-VC;Benafigos;2025-03-01;0;50;1.00;0.00;2159.65;1.00
12026;ES-CS;ES-VC;Benassal;2025-03-01;0;131;1.00;0.00;9836.14;1.00
12027;ES-CS;ES-VC;Benicarló;2025-03-01;24;472;0.95;4366.56;75062.43;0.94
12028;ES-CS;ES-VC;Benicàssim / Benicasim;2025-03-01;0;863;1.00;0.00;110488.42;1.00
12029;ES-CS;ES-VC;Benlloc;2025-03-01;0;65;1.00;0.00;6427.14;1.00
12031;ES-CS;ES-VC;Borriol;2025-03-01;0;334;1.00;0.00;48670.12;1.00
12032;ES-CS;ES-VC;Borriana / Burriana;2025-03-01;4;650;0.99;87.35;91414.91;1.00
12033;ES-CS;ES-VC;Cabanes;2025-03-01;21;274;0.92;3472.87;43487.06;0.92
12034;ES-CS;ES-VC;Càlig;2025-03-01;1;84;0.99;414.58;9154.33;0.95
12036;ES-CS;ES-VC;Canet lo Roig;2025-03-01;0;50;1.00;0.00;4836.55;1.00
12037;ES-CS;ES-VC;Castell de Cabres;2025-03-01;0;15;1.00;0.00;847.02;1.00
12038;ES-CS;ES-VC;Castellfort;2025-03-01;0;49;1.00;0.00;3124.93;1.00
12039;ES-CS;ES-VC;Castellnovo;2025-03-01;6;74;0.92;527.33;7894.44;0.93
12040;ES-CS;ES-VC;Castelló de la Plana / Castellón de la Plana;2025-03-01;211;2818;0.93;24728.97;362579.01;0.93
12041;ES-CS;ES-VC;Castillo de Villamalefa;2025-03-01;3;73;0.96;143.79;4652.23;0.97
12042;ES-CS;ES-VC;Catí;2025-03-01;1;58;0.98;36.39;5193.64;0.99
12043;ES-CS;ES-VC;Caudiel;2025-03-01;18;84;0.79;1459.18;7741.36;0.81
12044;ES-CS;ES-VC;Cervera del Maestre;2025-03-01;0;52;1.00;0.00;4859.62;1.00
12045;ES-CS;ES-VC;Cinctorres;2025-03-01;8;65;0.88;822.93;4842.38;0.83
12046;ES-CS;ES-VC;Cirat;2025-03-01;4;55;0.93;114.29;4078.50;0.97
12048;ES-CS;ES-VC;Cortes de Arenoso;2025-03-01;4;77;0.95;156.81;5677.51;0.97
12049;ES-CS;ES-VC;Costur;2025-03-01;0;57;1.00;0.00;4538.93;1.00
12050;ES-CS;ES-VC;les Coves de Vinromà;2025-03-01;4;85;0.95;1850.93;10765.80;0.83
12051;ES-CS;ES-VC;Culla;2025-03-01;1;42;0.98;1010.58;3106.11;0.67
12052;ES-CS;ES-VC;Xert;2025-03-01;2;79;0.97;258.03;5785.91;0.96
12053;ES-CS;ES-VC;Xilxes / Chilches;2025-03-01;1;184;0.99;29.14;28246.62;1.00
12055;ES-CS;ES-VC;Xodos / Chodos;2025-03-01;0;70;1.00;0.00;2675.35;1.00
12056;ES-CS;ES-VC;Chóvar;2025-03-01;2;67;0.97;93.76;4403.26;0.98
12057;ES-CS;ES-VC;Eslida;2025-03-01;0;95;1.00;0.00;6759.05;1.00
12058;ES-CS;ES-VC;Espadilla;2025-03-01;0;23;1.00;0.00;1796.64;1.00
12059;ES-CS;ES-VC;Fanzara;2025-03-01;4;59;0.93;310.99;3658.40;0.91
12060;ES-CS;ES-VC;Figueroles;2025-03-01;1;49;0.98;96.58;4959.88;0.98
12061;ES-CS;ES-VC;Forcall;2025-03-01;3;60;0.95;219.09;4048.28;0.95
12063;ES-CS;ES-VC;Fuente la Reina;2025-03-01;2;8;0.75;31.88;477.18;0.93
12064;ES-CS;ES-VC;Fuentes de Ayódar;2025-03-01;0;24;1.00;0.00;1090.36;1.00
12065;ES-CS;ES-VC;Gaibiel;2025-03-01;7;48;0.85;254.26;3991.28;0.94
12067;ES-CS;ES-VC;Geldo;2025-03-01;0;47;1.00;0.00;3916.32;1.00
12068;ES-CS;ES-VC;Herbers;2025-03-01;0;14;1.00;0.00;1147.67;1.00
12069;ES-CS;ES-VC;Higueras;2025-03-01;1;18;0.94;805.19;2027.66;0.60
12070;ES-CS;ES-VC;la Jana;2025-03-01;2;31;0.94;434.27;4657.65;0.91
