id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
16001;ES-CU;ES-CM;Abia de la Obispalía;2025-04-01;0;23;1.00;0.00;2403.65;1.00
16002;ES-CU;ES-CM;El Acebrón;2025-04-01;6;46;0.87;1171.04;5529.12;0.79
16003;ES-CU;ES-CM;Alarcón;2025-04-01;3;39;0.92;155.98;2692.22;0.94
16004;ES-CU;ES-CM;Albaladejo del Cuende;2025-04-01;8;38;0.79;513.64;4781.51;0.89
16005;ES-CU;ES-CM;Albalate de las Nogueras;2025-04-01;1;26;0.96;57.56;3006.12;0.98
16006;ES-CU;ES-CM;Albendea;2025-04-01;17;52;0.67;729.58;3979.02;0.82
16007;ES-CU;ES-CM;La Alberca de Záncara;2025-04-01;23;134;0.83;3672.64;24553.61;0.85
16008;ES-CU;ES-CM;Alcalá de la Vega;2025-04-01;15;88;0.83;1289.56;6675.25;0.81
16009;ES-CU;ES-CM;Alcantud;2025-04-01;4;38;0.89;74.93;3336.84;0.98
16010;ES-CU;ES-CM;Alcázar del Rey;2025-04-01;2;58;0.97;911.41;6145.14;0.85
16011;ES-CU;ES-CM;Alcohujate;2025-04-01;0;32;1.00;0.00;2798.97;1.00
16012;ES-CU;ES-CM;Alconchel de la Estrella;2025-04-01;6;29;0.79;570.75;3692.62;0.85
16013;ES-CU;ES-CM;Algarra;2025-04-01;0;9;1.00;0.00;891.24;1.00
16014;ES-CU;ES-CM;Aliaguilla;2025-04-01;3;123;0.98;163.88;11199.70;0.99
16015;ES-CU;ES-CM;La Almarcha;2025-04-01;5;70;0.93;738.25;10354.51;0.93
16016;ES-CU;ES-CM;Almendros;2025-04-01;3;42;0.93;273.45;4779.83;0.94
16017;ES-CU;ES-CM;Almodóvar del Pinar;2025-04-01;3;46;0.93;188.19;5089.44;0.96
16018;ES-CU;ES-CM;Almonacid del Marquesado;2025-04-01;11;49;0.78;632.08;5308.00;0.88
16019;ES-CU;ES-CM;Altarejos;2025-04-01;9;77;0.88;361.33;8082.36;0.96
16020;ES-CU;ES-CM;Arandilla del Arroyo;2025-04-01;1;16;0.94;48.37;852.19;0.94
16022;ES-CU;ES-CM;Arcos de la Sierra;2025-04-01;1;29;0.97;41.44;2481.19;0.98
16023;ES-CU;ES-CM;Chillarón de Cuenca;2025-04-01;34;71;0.52;2894.70;7844.80;0.63
16024;ES-CU;ES-CM;Arguisuelas;2025-04-01;12;64;0.81;567.10;5659.92;0.90
16025;ES-CU;ES-CM;Arrancacepas;2025-04-01;8;14;0.43;517.08;1284.78;0.60
16026;ES-CU;ES-CM;Atalaya del Cañavate;2025-04-01;0;29;1.00;0.00;3856.02;1.00
16027;ES-CU;ES-CM;Barajas de Melo;2025-04-01;5;179;0.97;272.78;29996.03;0.99
16029;ES-CU;ES-CM;Barchín del Hoyo;2025-04-01;2;36;0.94;304.38;4495.53;0.93
16030;ES-CU;ES-CM;Bascuñana de San Pedro;2025-04-01;1;18;0.94;12.38;1426.15;0.99
16031;ES-CU;ES-CM;Beamud;2025-04-01;46;65;0.29;1313.74;3183.40;0.59
16032;ES-CU;ES-CM;Belinchón;2025-04-01;4;49;0.92;342.78;5797.02;0.94
16033;ES-CU;ES-CM;Belmonte;2025-04-01;11;156;0.93;513.70;21929.56;0.98
16034;ES-CU;ES-CM;Belmontejo;2025-04-01;8;43;0.81;710.74;4115.08;0.83
16035;ES-CU;ES-CM;Beteta;2025-04-01;46;94;0.51;3235.23;6984.29;0.54
16036;ES-CU;ES-CM;Boniches;2025-04-01;1;23;0.96;745.22;3723.86;0.80
16038;ES-CU;ES-CM;Buciegas;2025-04-01;0;18;1.00;0.00;1469.16;1.00
16039;ES-CU;ES-CM;Buenache de Alarcón;2025-04-01;6;47;0.87;393.95;7017.77;0.94
16040;ES-CU;ES-CM;Buenache de la Sierra;2025-04-01;1;24;0.96;112.97;1703.40;0.93
16041;ES-CU;ES-CM;Buendía;2025-04-01;7;92;0.92;441.15;8636.94;0.95
16042;ES-CU;ES-CM;Campillo de Altobuey;2025-04-01;21;119;0.82;2264.50;19729.10;0.89
16043;ES-CU;ES-CM;Campillos-Paravientos;2025-04-01;1;20;0.95;48.89;3005.49;0.98
16044;ES-CU;ES-CM;Campillos-Sierra;2025-04-01;2;35;0.94;23.23;1952.53;0.99
16045;ES-CU;ES-CM;Canalejas del Arroyo;2025-04-01;1;52;0.98;19.49;7683.51;1.00
16046;ES-CU;ES-CM;Cañada del Hoyo;2025-04-01;2;45;0.96;230.12;3818.09;0.94
16047;ES-CU;ES-CM;Cañada Juncosa;2025-04-01;7;45;0.84;604.76;5922.70;0.90
16048;ES-CU;ES-CM;Cañamares;2025-04-01;12;65;0.82;464.43;7808.39;0.94
16049;ES-CU;ES-CM;El Cañavate;2025-04-01;7;28;0.75;495.60;3913.85;0.87
16050;ES-CU;ES-CM;Cañaveras;2025-04-01;23;44;0.48;2505.82;7252.21;0.65
16051;ES-CU;ES-CM;Cañaveruelas;2025-04-01;9;55;0.84;283.96;3669.03;0.92
16052;ES-CU;ES-CM;Cañete;2025-04-01;17;72;0.76;944.03;9294.24;0.90
16053;ES-CU;ES-CM;Cañizares;2025-04-01;30;103;0.71;1972.94;7652.62;0.74
16055;ES-CU;ES-CM;Carboneras de Guadazaón;2025-04-01;38;89;0.57;2975.89;10851.38;0.73
16056;ES-CU;ES-CM;Cardenete;2025-04-01;8;62;0.87;526.49;9160.06;0.94
16057;ES-CU;ES-CM;Carrascosa;2025-04-01;19;30;0.37;1082.01;2907.16;0.63
16058;ES-CU;ES-CM;Carrascosa de Haro;2025-04-01;0;32;1.00;0.00;2658.54;1.00
16060;ES-CU;ES-CM;Casas de Benítez;2025-04-01;23;75;0.69;2109.27;12212.20;0.83
16061;ES-CU;ES-CM;Casas de Fernando Alonso;2025-04-01;11;88;0.88;964.15;18856.43;0.95
16062;ES-CU;ES-CM;Casas de Garcimolina;2025-04-01;3;24;0.88;65.99;1796.57;0.96
16063;ES-CU;ES-CM;Casas de Guijarro;2025-04-01;6;23;0.74;333.26;3035.19;0.89
16064;ES-CU;ES-CM;Casas de Haro;2025-04-01;21;82;0.74;1226.16;13821.58;0.91
16065;ES-CU;ES-CM;Casas de los Pinos;2025-04-01;6;55;0.89;420.19;6184.27;0.93
16066;ES-CU;ES-CM;Casasimarro;2025-04-01;18;162;0.89;8685.54;35689.64;0.76
16067;ES-CU;ES-CM;Castejón;2025-04-01;1;67;0.99;20.18;5496.36;1.00
16068;ES-CU;ES-CM;Castillejo de Iniesta;2025-04-01;12;27;0.56;827.52;4018.11;0.79
16070;ES-CU;ES-CM;Castillejo-Sierra;2025-04-01;0;33;1.00;0.00;2047.32;1.00
16071;ES-CU;ES-CM;Castillo-Albaráñez;2025-04-01;3;13;0.77;241.53;1476.92;0.84
16072;ES-CU;ES-CM;Castillo de Garcimuñoz;2025-04-01;5;90;0.94;268.36;6712.40;0.96
16073;ES-CU;ES-CM;Cervera del Llano;2025-04-01;7;36;0.81;788.46;5270.50;0.85
16074;ES-CU;ES-CM;La Cierva;2025-04-01;1;33;0.97;163.37;2056.56;0.92
16078;ES-CU;ES-CM;Cuenca;2025-04-01;325;1327;0.76;32923.35;151018.97;0.78
16079;ES-CU;ES-CM;Cueva del Hierro;2025-04-01;2;19;0.89;85.11;1459.86;0.94
16081;ES-CU;ES-CM;Chumillas;2025-04-01;7;24;0.71;363.66;2175.50;0.83
16082;ES-CU;ES-CM;Enguídanos;2025-04-01;4;51;0.92;184.31;5508.28;0.97
16083;ES-CU;ES-CM;Fresneda de Altarejos;2025-04-01;2;20;0.90;162.19;2047.68;0.92
16084;ES-CU;ES-CM;Fresneda de la Sierra;2025-04-01;0;21;1.00;0.00;1667.53;1.00
16085;ES-CU;ES-CM;La Frontera;2025-04-01;2;50;0.96;83.34;4939.57;0.98
16086;ES-CU;ES-CM;Fuente de Pedro Naharro;2025-04-01;18;89;0.80;2903.75;17125.73;0.83
16087;ES-CU;ES-CM;Fuentelespino de Haro;2025-04-01;1;33;0.97;89.20;3885.80;0.98
16088;ES-CU;ES-CM;Fuentelespino de Moya;2025-04-01;1;21;0.95;304.87;2602.84;0.88
16089;ES-CU;ES-CM;Fuentes;2025-04-01;16;69;0.77;384.01;5047.53;0.92
16091;ES-CU;ES-CM;Fuertescusa;2025-04-01;18;41;0.56;857.97;2820.47;0.70
16092;ES-CU;ES-CM;Gabaldón;2025-04-01;4;28;0.86;379.05;2521.46;0.85
16093;ES-CU;ES-CM;Garaballa;2025-04-01;0;19;1.00;0.00;2642.11;1.00
16094;ES-CU;ES-CM;Gascueña;2025-04-01;3;44;0.93;63.45;4876.73;0.99
16095;ES-CU;ES-CM;Graja de Campalbo;2025-04-01;4;9;0.56;549.82;1426.85;0.61
16096;ES-CU;ES-CM;Graja de Iniesta;2025-04-01;7;33;0.79;973.08;4307.92;0.77
16097;ES-CU;ES-CM;Henarejos;2025-04-01;0;53;1.00;0.00;5162.59;1.00
16098;ES-CU;ES-CM;El Herrumblar;2025-04-01;5;101;0.95;453.93;11539.03;0.96
16099;ES-CU;ES-CM;La Hinojosa;2025-04-01;8;26;0.69;715.16;4189.72;0.83
16100;ES-CU;ES-CM;Los Hinojosos;2025-04-01;11;85;0.87;525.67;11729.00;0.96
16101;ES-CU;ES-CM;El Hito;2025-04-01;1;34;0.97;96.21;3587.82;0.97
16102;ES-CU;ES-CM;Honrubia;2025-04-01;13;70;0.81;965.04;10953.98;0.91
16103;ES-CU;ES-CM;Hontanaya;2025-04-01;19;59;0.68;1644.09;7023.48;0.77
16104;ES-CU;ES-CM;Hontecillas;2025-04-01;6;22;0.73;1105.45;3987.74;0.72
16106;ES-CU;ES-CM;Horcajo de Santiago;2025-04-01;37;229;0.84;3894.72;35573.03;0.89
16107;ES-CU;ES-CM;Huélamo;2025-04-01;6;18;0.67;1056.13;2758.61;0.62
16108;ES-CU;ES-CM;Huelves;2025-04-01;6;32;0.81;592.97;3419.52;0.83
16109;ES-CU;ES-CM;Huérguina;2025-04-01;10;27;0.63;840.81;2244.42;0.63
16110;ES-CU;ES-CM;Huerta de la Obispalía;2025-04-01;0;24;1.00;0.00;2627.92;1.00
16111;ES-CU;ES-CM;Huerta del Marquesado;2025-04-01;4;40;0.90;156.42;3632.25;0.96
16112;ES-CU;ES-CM;Huete;2025-04-01;27;288;0.91;1858.58;28567.62;0.93
16113;ES-CU;ES-CM;Iniesta;2025-04-01;82;254;0.68;7238.05;32054.52;0.77
16115;ES-CU;ES-CM;Laguna del Marquesado;2025-04-01;4;26;0.85;254.90;1904.47;0.87
16116;ES-CU;ES-CM;Lagunaseca;2025-04-01;10;20;0.50;898.25;2283.13;0.61
16117;ES-CU;ES-CM;Landete;2025-04-01;3;140;0.98;210.61;13891.95;0.98
16118;ES-CU;ES-CM;Ledaña;2025-04-01;6;124;0.95;369.78;15926.82;0.98
16119;ES-CU;ES-CM;Leganiel;2025-04-01;0;53;1.00;0.00;5360.19;1.00
16121;ES-CU;ES-CM;Las Majadas;2025-04-01;26;46;0.43;2020.10;4984.13;0.59
16122;ES-CU;ES-CM;Mariana;2025-04-01;4;21;0.81;313.94;2548.28;0.88
16123;ES-CU;ES-CM;Masegosa;2025-04-01;11;33;0.67;1554.37;3207.11;0.52
16124;ES-CU;ES-CM;Las Mesas;2025-04-01;13;144;0.91;1948.04;22026.80;0.91
16125;ES-CU;ES-CM;Minglanilla;2025-04-01;23;208;0.89;1516.42;18843.11;0.92
16126;ES-CU;ES-CM;Mira;2025-04-01;20;94;0.79;1565.56;8886.37;0.82
16128;ES-CU;ES-CM;Monreal del Llano;2025-04-01;4;16;0.75;523.85;2058.83;0.75
16129;ES-CU;ES-CM;Montalbanejo;2025-04-01;5;36;0.86;577.84;4259.13;0.86
16130;ES-CU;ES-CM;Montalbo;2025-04-01;7;113;0.94;1691.86;16954.25;0.90
16131;ES-CU;ES-CM;Monteagudo de las Salinas;2025-04-01;2;20;0.90;69.29;1623.03;0.96
16132;ES-CU;ES-CM;Mota de Altarejos;2025-04-01;1;18;0.94;29.07;1881.03;0.98
16133;ES-CU;ES-CM;Mota del Cuervo;2025-04-01;39;283;0.86;3111.70;51959.38;0.94
16134;ES-CU;ES-CM;Motilla del Palancar;2025-04-01;26;202;0.87;3374.55;34705.13;0.90
16135;ES-CU;ES-CM;Moya;2025-04-01;4;54;0.93;185.75;5438.50;0.97
16137;ES-CU;ES-CM;Narboneta;2025-04-01;11;27;0.59;664.53;2622.30;0.75
16139;ES-CU;ES-CM;Olivares de Júcar;2025-04-01;10;41;0.76;769.94;6076.83;0.87
16140;ES-CU;ES-CM;Olmeda de la Cuesta;2025-04-01;12;37;0.68;843.47;3463.97;0.76
16141;ES-CU;ES-CM;Olmeda del Rey;2025-04-01;5;32;0.84;237.93;5206.70;0.95
16142;ES-CU;ES-CM;Olmedilla de Alarcón;2025-04-01;3;20;0.85;408.53;2825.81;0.86
16143;ES-CU;ES-CM;Olmedilla de Eliz;2025-04-01;0;14;1.00;0.00;1319.20;1.00
16145;ES-CU;ES-CM;Osa de la Vega;2025-04-01;6;53;0.89;327.61;9277.33;0.96
16146;ES-CU;ES-CM;Pajarón;2025-04-01;11;41;0.73;311.79;2919.07;0.89
16147;ES-CU;ES-CM;Pajaroncillo;2025-04-01;6;19;0.68;370.87;1731.36;0.79
16148;ES-CU;ES-CM;Palomares del Campo;2025-04-01;14;56;0.75;1360.42;8601.35;0.84
16149;ES-CU;ES-CM;Palomera;2025-04-01;5;29;0.83;167.40;2141.53;0.92
16150;ES-CU;ES-CM;Paracuellos;2025-04-01;7;17;0.59;869.66;3069.60;0.72
16151;ES-CU;ES-CM;Paredes;2025-04-01;1;24;0.96;175.65;2141.15;0.92
16152;ES-CU;ES-CM;La Parra de las Vegas;2025-04-01;0;23;1.00;0.00;3043.60;1.00
16153;ES-CU;ES-CM;El Pedernoso;2025-04-01;22;91;0.76;2514.24;17768.33;0.86
16154;ES-CU;ES-CM;Las Pedroñeras;2025-04-01;27;272;0.90;2965.44;58279.52;0.95
16155;ES-CU;ES-CM;El Peral;2025-04-01;1;62;0.98;66.63;8528.44;0.99
16156;ES-CU;ES-CM;La Peraleja;2025-04-01;1;53;0.98;102.61;4813.81;0.98
16157;ES-CU;ES-CM;La Pesquera;2025-04-01;24;40;0.40;1838.67;4536.96;0.59
16158;ES-CU;ES-CM;El Picazo;2025-04-01;24;144;0.83;3078.48;16527.18;0.81
16159;ES-CU;ES-CM;Pinarejo;2025-04-01;12;45;0.73;1448.02;5392.65;0.73
16160;ES-CU;ES-CM;Pineda de Gigüela;2025-04-01;9;40;0.78;961.87;3800.15;0.75
16161;ES-CU;ES-CM;Piqueras del Castillo;2025-04-01;2;22;0.91;31.07;2242.31;0.99
16162;ES-CU;ES-CM;Portalrubio de Guadamejud;2025-04-01;0;20;1.00;0.00;2583.54;1.00
16163;ES-CU;ES-CM;Portilla;2025-04-01;4;40;0.90;231.86;2668.50;0.91
16165;ES-CU;ES-CM;Poyatos;2025-04-01;2;20;0.90;159.17;1853.53;0.91
16166;ES-CU;ES-CM;Pozoamargo;2025-04-01;3;26;0.88;157.69;4088.95;0.96
16167;ES-CU;ES-CM;Pozorrubio;2025-04-01;6;41;0.85;666.27;6277.91;0.89
16169;ES-CU;ES-CM;El Pozuelo;2025-04-01;1;34;0.97;226.94;2456.02;0.91
16170;ES-CU;ES-CM;Priego;2025-04-01;11;85;0.87;844.71;8296.50;0.90
16171;ES-CU;ES-CM;El Provencio;2025-04-01;8;167;0.95;583.21;22461.48;0.97
16172;ES-CU;ES-CM;Puebla de Almenara;2025-04-01;15;40;0.63;1601.21;7199.15;0.78
16173;ES-CU;ES-CM;El Valle de Altomira;2025-04-01;3;135;0.98;141.80;12585.71;0.99
16174;ES-CU;ES-CM;Puebla del Salvador;2025-04-01;7;27;0.74;679.74;3182.06;0.79
16175;ES-CU;ES-CM;Quintanar del Rey;2025-04-01;40;183;0.78;6011.11;38312.12;0.84
16176;ES-CU;ES-CM;Rada de Haro;2025-04-01;3;14;0.79;400.80;1903.79;0.79
16177;ES-CU;ES-CM;Reíllo;2025-04-01;12;51;0.76;614.09;4247.48;0.86
16181;ES-CU;ES-CM;Rozalén del Monte;2025-04-01;9;24;0.63;685.81;2164.18;0.68
16185;ES-CU;ES-CM;Saceda-Trasierra;2025-04-01;5;21;0.76;328.48;2776.97;0.88
16186;ES-CU;ES-CM;Saelices;2025-04-01;22;69;0.68;2359.16;9413.86;0.75
16187;ES-CU;ES-CM;Salinas del Manzano;2025-04-01;13;36;0.64;710.14;3045.11;0.77
16188;ES-CU;ES-CM;Salmeroncillos;2025-04-01;1;24;0.96;42.42;1857.31;0.98
16189;ES-CU;ES-CM;Salvacañete;2025-04-01;15;27;0.44;1734.60;3744.24;0.54
16190;ES-CU;ES-CM;San Clemente;2025-04-01;52;265;0.80;6242.25;47839.21;0.87
16191;ES-CU;ES-CM;San Lorenzo de la Parrilla;2025-04-01;10;94;0.89;1359.90;13613.97;0.90
16192;ES-CU;ES-CM;San Martín de Boniches;2025-04-01;1;38;0.97;22.56;2501.22;0.99
16193;ES-CU;ES-CM;San Pedro Palmiches;2025-04-01;9;32;0.72;554.50;3352.58;0.83
16194;ES-CU;ES-CM;Santa Cruz de Moya;2025-04-01;15;38;0.61;847.76;3785.84;0.78
16195;ES-CU;ES-CM;Santa María del Campo Rus;2025-04-01;2;80;0.98;130.69;13286.82;0.99
16196;ES-CU;ES-CM;Santa María de los Llanos;2025-04-01;22;103;0.79;2293.58;16382.78;0.86
16197;ES-CU;ES-CM;Santa María del Val;2025-04-01;5;14;0.64;339.85;1569.08;0.78
16198;ES-CU;ES-CM;Sisante;2025-04-01;8;134;0.94;3207.73;21286.50;0.85
16199;ES-CU;ES-CM;Solera de Gabaldón;2025-04-01;0;11;1.00;0.00;1131.50;1.00
16202;ES-CU;ES-CM;Talayuelas;2025-04-01;9;156;0.94;783.15;17285.42;0.95
16203;ES-CU;ES-CM;Tarancón;2025-04-01;70;493;0.86;15954.19;82014.54;0.81
16204;ES-CU;ES-CM;Tébar;2025-04-01;8;36;0.78;457.58;5214.32;0.91
16205;ES-CU;ES-CM;Tejadillos;2025-04-01;6;23;0.74;454.44;2446.80;0.81
16206;ES-CU;ES-CM;Tinajas;2025-04-01;0;49;1.00;0.00;5431.84;1.00
16209;ES-CU;ES-CM;Torralba;2025-04-01;5;23;0.78;668.23;2922.58;0.77
16211;ES-CU;ES-CM;Torrejoncillo del Rey;2025-04-01;5;215;0.98;253.32;18097.79;0.99
16212;ES-CU;ES-CM;Torrubia del Campo;2025-04-01;8;51;0.84;762.79;6380.96;0.88
16213;ES-CU;ES-CM;Torrubia del Castillo;2025-04-01;1;13;0.92;43.34;1431.52;0.97
16215;ES-CU;ES-CM;Tragacete;2025-04-01;4;59;0.93;186.61;4935.50;0.96
16216;ES-CU;ES-CM;Tresjuncos;2025-04-01;8;71;0.89;734.10;8963.09;0.92
16217;ES-CU;ES-CM;Tribaldos;2025-04-01;6;34;0.82;543.69;4428.23;0.88
16218;ES-CU;ES-CM;Uclés;2025-04-01;14;50;0.72;1599.29;5930.52;0.73
16219;ES-CU;ES-CM;Uña;2025-04-01;0;34;1.00;0.00;2444.86;1.00
16224;ES-CU;ES-CM;Valdemeca;2025-04-01;23;36;0.36;1370.55;2402.21;0.43
16225;ES-CU;ES-CM;Valdemorillo de la Sierra;2025-04-01;3;15;0.80;380.47;1872.44;0.80
16227;ES-CU;ES-CM;Valdemoro-Sierra;2025-04-01;29;57;0.49;1929.08;4427.68;0.56
16228;ES-CU;ES-CM;Valdeolivas;2025-04-01;7;32;0.78;444.30;4202.59;0.89
16231;ES-CU;ES-CM;Valhermoso de la Fuente;2025-04-01;4;24;0.83;231.23;2521.96;0.91
16234;ES-CU;ES-CM;Valsalobre;2025-04-01;0;15;1.00;0.00;1279.95;1.00
16236;ES-CU;ES-CM;Valverde de Júcar;2025-04-01;12;111;0.89;695.69;15186.72;0.95
