id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
33001;ES-O;ES-AS;Allande;2025-04-01;408;420;0.03;41418.30;42894.37;0.03
33002;ES-O;ES-AS;Aller;2025-04-01;298;396;0.25;28254.69;40342.72;0.30
33003;ES-O;ES-AS;Amieva;2025-04-01;79;79;0.00;8643.80;8643.80;0.00
33004;ES-O;ES-AS;Avilés;2025-04-01;309;1065;0.71;33318.25;118357.79;0.72
33005;ES-O;ES-AS;Belmonte de Miranda;2025-04-01;141;168;0.16;15416.56;17224.68;0.10
33006;ES-O;ES-AS;Bimenes;2025-04-01;49;50;0.02;5930.57;5988.08;0.01
33007;ES-O;ES-AS;Boal;2025-04-01;49;58;0.16;12108.87;14603.90;0.17
33008;ES-O;ES-AS;Cabrales;2025-04-01;8;104;0.92;199.67;5421.12;0.96
33009;ES-O;ES-AS;Cabranes;2025-04-01;92;92;0.00;9425.10;9425.10;0.00
33010;ES-O;ES-AS;Candamo;2025-04-01;102;102;0.00;17468.94;17468.94;0.00
33011;ES-O;ES-AS;Cangas del Narcea;2025-04-01;1265;1359;0.07;135567.78;145610.66;0.07
33012;ES-O;ES-AS;Cangas de Onís;2025-04-01;200;264;0.24;21282.60;27515.37;0.23
33013;ES-O;ES-AS;Caravia;2025-04-01;5;73;0.93;149.57;8439.25;0.98
33014;ES-O;ES-AS;Carreño;2025-04-01;106;276;0.62;11963.52;30808.63;0.61
33015;ES-O;ES-AS;Caso;2025-04-01;254;292;0.13;25043.92;29603.51;0.15
33016;ES-O;ES-AS;Castrillón;2025-04-01;259;487;0.47;53253.66;93259.98;0.43
33017;ES-O;ES-AS;Castropol;2025-04-01;209;282;0.26;36168.17;48153.09;0.25
33018;ES-O;ES-AS;Coaña;2025-04-01;151;151;0.00;31992.91;31992.91;0.00
33019;ES-O;ES-AS;Colunga;2025-04-01;224;295;0.24;29083.93;41271.17;0.30
33020;ES-O;ES-AS;Corvera de Asturias;2025-04-01;104;359;0.71;13843.83;41070.22;0.66
33021;ES-O;ES-AS;Cudillero;2025-04-01;282;294;0.04;61028.96;62723.99;0.03
