id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
18001;ES-GR;ES-AN;Agrón;2025-07-01;0;45;1.00;0.00;3951.95;1.00
18002;ES-GR;ES-AN;Alamedilla;2025-07-01;0;82;1.00;0.00;6985.70;1.00
18003;ES-GR;ES-AN;Albolote;2025-07-01;2;647;1.00;103.59;79783.58;1.00
18004;ES-GR;ES-AN;Albondón;2025-07-01;0;138;1.00;0.00;9380.06;1.00
18005;ES-GR;ES-AN;Albuñán;2025-07-01;0;67;1.00;0.00;7663.31;1.00
18006;ES-GR;ES-AN;Albuñol;2025-07-01;6;425;0.99;263.61;25357.61;0.99
18007;ES-GR;ES-AN;Albuñuelas;2025-07-01;0;127;1.00;0.00;7796.59;1.00
18010;ES-GR;ES-AN;Aldeire;2025-07-01;1;121;0.99;120.50;10646.49;0.99
18011;ES-GR;ES-AN;Alfacar;2025-07-01;0;295;1.00;0.00;27382.99;1.00
18012;ES-GR;ES-AN;Algarinejo;2025-07-01;0;166;1.00;0.00;16684.62;1.00
18013;ES-GR;ES-AN;Alhama de Granada;2025-07-01;2;303;0.99;143.14;26253.20;0.99
18014;ES-GR;ES-AN;Alhendín;2025-07-01;7;469;0.99;148.98;49206.87;1.00
18015;ES-GR;ES-AN;Alicún de Ortega;2025-07-01;0;43;1.00;0.00;4063.02;1.00
18016;ES-GR;ES-AN;Almegíjar;2025-07-01;1;79;0.99;13.34;3459.53;1.00
18017;ES-GR;ES-AN;Almuñécar;2025-07-01;10;949;0.99;593.34;115647.83;0.99
18018;ES-GR;ES-AN;Alquife;2025-07-01;1;150;0.99;33.71;12696.20;1.00
18020;ES-GR;ES-AN;Arenas del Rey;2025-07-01;0;68;1.00;0.00;7041.76;1.00
18021;ES-GR;ES-AN;Armilla;2025-07-01;2;536;1.00;75.21;54804.64;1.00
18022;ES-GR;ES-AN;Atarfe;2025-07-01;1;849;1.00;73.76;89177.62;1.00
18023;ES-GR;ES-AN;Baza;2025-07-01;1;1444;1.00;3.21;109374.92;1.00
18024;ES-GR;ES-AN;Beas de Granada;2025-07-01;0;93;1.00;0.00;9360.02;1.00
18025;ES-GR;ES-AN;Beas de Guadix;2025-07-01;1;50;0.98;70.68;3330.58;0.98
18027;ES-GR;ES-AN;Benalúa;2025-07-01;4;316;0.99;84.45;19821.45;1.00
18028;ES-GR;ES-AN;Benalúa de las Villas;2025-07-01;1;73;0.99;2.65;7658.81;1.00
18029;ES-GR;ES-AN;Benamaurel;2025-07-01;4;287;0.99;138.91;38525.19;1.00
18030;ES-GR;ES-AN;Bérchules;2025-07-01;0;155;1.00;0.00;6948.76;1.00
18032;ES-GR;ES-AN;Bubión;2025-07-01;6;76;0.92;94.79;4579.28;0.98
18033;ES-GR;ES-AN;Busquístar;2025-07-01;1;75;0.99;43.23;3883.39;0.99
18034;ES-GR;ES-AN;Cacín;2025-07-01;0;93;1.00;0.00;8390.30;1.00
18035;ES-GR;ES-AN;Cádiar;2025-07-01;1;194;0.99;34.48;12792.79;1.00
18036;ES-GR;ES-AN;Cájar;2025-07-01;0;185;1.00;0.00;17971.89;1.00
18037;ES-GR;ES-AN;Calicasas;2025-07-01;0;36;1.00;0.00;2537.68;1.00
18038;ES-GR;ES-AN;Campotéjar;2025-07-01;0;76;1.00;0.00;10681.84;1.00
18039;ES-GR;ES-AN;Caniles;2025-07-01;4;326;0.99;974.05;38882.60;0.97
18040;ES-GR;ES-AN;Cáñar;2025-07-01;3;61;0.95;93.53;2814.28;0.97
18042;ES-GR;ES-AN;Capileira;2025-07-01;2;95;0.98;48.24;4599.19;0.99
18043;ES-GR;ES-AN;Carataunas;2025-07-01;0;30;1.00;0.00;2241.69;1.00
18044;ES-GR;ES-AN;Cástaras;2025-07-01;0;63;1.00;0.00;2558.25;1.00
18045;ES-GR;ES-AN;Castilléjar;2025-07-01;26;245;0.89;1817.26;34263.79;0.95
18046;ES-GR;ES-AN;Castril;2025-07-01;0;304;1.00;0.00;30917.27;1.00
18047;ES-GR;ES-AN;Cenes de la Vega;2025-07-01;8;159;0.95;415.30;22352.98;0.98
18048;ES-GR;ES-AN;Cijuela;2025-07-01;0;90;1.00;0.00;14946.84;1.00
18049;ES-GR;ES-AN;Cogollos de Guadix;2025-07-01;0;74;1.00;0.00;7125.70;1.00
18050;ES-GR;ES-AN;Cogollos de la Vega;2025-07-01;0;130;1.00;0.00;11735.46;1.00
18051;ES-GR;ES-AN;Colomera;2025-07-01;0;107;1.00;0.00;8457.32;1.00
18053;ES-GR;ES-AN;Cortes de Baza;2025-07-01;5;332;0.98;477.08;38190.93;0.99
18054;ES-GR;ES-AN;Cortes y Graena;2025-07-01;0;138;1.00;0.00;13672.80;1.00
18056;ES-GR;ES-AN;Cúllar;2025-07-01;2;444;1.00;139.66;48244.74;1.00
18057;ES-GR;ES-AN;Cúllar Vega;2025-07-01;0;235;1.00;0.00;28779.67;1.00
18059;ES-GR;ES-AN;Chauchina;2025-07-01;0;254;1.00;0.00;29727.21;1.00
18061;ES-GR;ES-AN;Chimeneas;2025-07-01;1;161;0.99;12.46;14540.55;1.00
18062;ES-GR;ES-AN;Churriana de la Vega;2025-07-01;0;423;1.00;0.00;45480.17;1.00
18063;ES-GR;ES-AN;Darro;2025-07-01;5;190;0.97;112.20;15625.10;0.99
18064;ES-GR;ES-AN;Dehesas de Guadix;2025-07-01;0;55;1.00;0.00;5279.70;1.00
18065;ES-GR;ES-AN;Dehesas Viejas;2025-07-01;0;61;1.00;0.00;6740.14;1.00
18066;ES-GR;ES-AN;Deifontes;2025-07-01;0;123;1.00;0.00;15261.87;1.00
18067;ES-GR;ES-AN;Diezma;2025-07-01;0;118;1.00;0.00;7067.85;1.00
18068;ES-GR;ES-AN;Dílar;2025-07-01;2;167;0.99;335.82;24297.69;0.99
18069;ES-GR;ES-AN;Dólar;2025-07-01;0;118;1.00;0.00;9726.04;1.00
18070;ES-GR;ES-AN;Dúdar;2025-07-01;0;37;1.00;0.00;4901.05;1.00
18071;ES-GR;ES-AN;Dúrcal;2025-07-01;2;316;0.99;34.26;38618.51;1.00
18072;ES-GR;ES-AN;Escúzar;2025-07-01;1;163;0.99;141.58;34230.47;1.00
18074;ES-GR;ES-AN;Ferreira;2025-07-01;1;76;0.99;28.10;6803.52;1.00
18076;ES-GR;ES-AN;Fonelas;2025-07-01;0;86;1.00;0.00;9683.50;1.00
18077;ES-GR;ES-AN;Fornes;2025-07-01;0;54;1.00;0.00;5135.67;1.00
18078;ES-GR;ES-AN;Freila;2025-07-01;0;182;1.00;0.00;13308.11;1.00
18079;ES-GR;ES-AN;Fuente Vaqueros;2025-07-01;0;193;1.00;0.00;21323.32;1.00
18082;ES-GR;ES-AN;Galera;2025-07-01;9;252;0.96;1306.72;25455.70;0.95
18083;ES-GR;ES-AN;Gobernador;2025-07-01;0;51;1.00;0.00;3421.45;1.00
18084;ES-GR;ES-AN;Gójar;2025-07-01;0;217;1.00;0.00;26012.42;1.00
18085;ES-GR;ES-AN;Gor;2025-07-01;0;116;1.00;0.00;18998.62;1.00
18086;ES-GR;ES-AN;Gorafe;2025-07-01;0;90;1.00;0.00;7952.26;1.00
18087;ES-GR;ES-AN;Granada;2025-07-01;4;4065;1.00;152.92;304016.44;1.00
18088;ES-GR;ES-AN;Guadahortuna;2025-07-01;0;137;1.00;0.00;11500.32;1.00
18089;ES-GR;ES-AN;Guadix;2025-07-01;18;1248;0.99;1059.05;99270.21;0.99
18093;ES-GR;ES-AN;Gualchos;2025-07-01;3;282;0.99;173.61;20468.98;0.99
18094;ES-GR;ES-AN;Güéjar Sierra;2025-07-01;0;201;1.00;0.00;15200.14;1.00
18095;ES-GR;ES-AN;Güevéjar;2025-07-01;0;120;1.00;0.00;12583.89;1.00
18096;ES-GR;ES-AN;Huélago;2025-07-01;1;63;0.98;15.15;5411.38;1.00
