id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
05001;ES-AV;ES-CL;Adanero;2025-11-01;0;57;1.00;0.00;7059.71;1.00
05002;ES-AV;ES-CL;La Adrada;2025-11-01;0;272;1.00;0.00;46705.84;1.00
05005;ES-AV;ES-CL;Albornos;2025-11-01;0;28;1.00;0.00;3325.03;1.00
05007;ES-AV;ES-CL;Aldeanueva de Santa Cruz;2025-11-01;0;27;1.00;0.00;2138.23;1.00
05008;ES-AV;ES-CL;Aldeaseca;2025-11-01;0;24;1.00;0.00;3297.04;1.00
05010;ES-AV;ES-CL;La Aldehuela;2025-11-01;0;34;1.00;0.00;3262.22;1.00
05012;ES-AV;ES-CL;Amavida;2025-11-01;10;48;0.79;590.90;3709.59;0.84
05013;ES-AV;ES-CL;El Arenal;2025-11-01;0;119;1.00;0.00;9665.82;1.00
05014;ES-AV;ES-CL;Arenas de San Pedro;2025-11-01;1;431;1.00;19.75;47453.08;1.00
05015;ES-AV;ES-CL;Arevalillo;2025-11-01;5;34;0.85;443.37;2426.87;0.82
05016;ES-AV;ES-CL;Arévalo;2025-11-01;1;350;1.00;193.06;40156.40;1.00
05017;ES-AV;ES-CL;Aveinte;2025-11-01;0;42;1.00;0.00;3550.03;1.00
05018;ES-AV;ES-CL;Avellaneda;2025-11-01;2;23;0.91;141.23;1369.33;0.90
05019;ES-AV;ES-CL;Ávila;2025-11-01;9;1300;0.99;573.48;161506.90;1.00
05021;ES-AV;ES-CL;El Barco de Ávila;2025-11-01;2;182;0.99;169.36;21243.85;0.99
05022;ES-AV;ES-CL;El Barraco;2025-11-01;40;339;0.88;2981.65;41961.68;0.93
05023;ES-AV;ES-CL;Barromán;2025-11-01;0;29;1.00;0.00;3954.60;1.00
05024;ES-AV;ES-CL;Becedas;2025-11-01;0;72;1.00;0.00;6930.92;1.00
05025;ES-AV;ES-CL;Becedillas;2025-11-01;3;35;0.91;124.93;3704.67;0.97
05026;ES-AV;ES-CL;Bercial de Zapardiel;2025-11-01;0;35;1.00;0.00;3516.68;1.00
